,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 완산구 중앙동,전라북도 전주시 완산구 풍남동,전라북도 전주시 완산구 노송동,전라북도 전주시 완산구 완산동,전라북도 전주시 완산구 동서학동,전라북도 전주시 완산구 서서학동,전라북도 전주시 완산구 중화산1동,전라북도 전주시 완산구 중화산2동,전라북도 전주시 완산구 서신동,전라북도 전주시 완산구 평화1동,전라북도 전주시 완산구 평화2동,전라북도 전주시 완산구 삼천1동,전라북도 전주시 완산구 삼천2동,전라북도 전주시 완산구 삼천3동,전라북도 전주시 완산구 효자1동,전라북도 전주시 완산구 효자2동,전라북도 전주시 완산구 효자3동,전라북도 전주시 완산구 효자4동,전라북도 전주시 완산구 효자5동,전라북도 전주시 덕진구,전라북도 전주시 덕진구 진북동,전라북도 전주시 덕진구 인후1동,전라북도 전주시 덕진구 인후2동,전라북도 전주시 덕진구 인후3동,전라북도 전주시 덕진구 덕진동,전라북도 전주시 덕진구 금암1동,전라북도 전주시 덕진구 금암2동,전라북도 전주시 덕진구 팔복동,전라북도 전주시 덕진구 우아1동,전라북도 전주시 덕진구 우아2동,전라북도 전주시 덕진구 호성동,전라북도 전주시 덕진구 송천1동,전라북도 전주시 덕진구 송천2동,전라북도 전주시 덕진구 조촌동,전라북도 전주시 덕진구 여의동,전라북도 전주시 덕진구 혁신동,전라북도 전주시효자출장소
2021년08월_계_총인구수,"657,577","337,747","7,481","4,045","12,216","5,368","6,335","8,615","14,497","19,586","41,269","12,891","46,137","11,579","13,486","22,084","10,856","10,158","14,745","39,558","36,841","319,830","14,199","18,480","11,285","32,229","20,694","7,744","9,912","7,585","10,375","14,511","20,275","62,398","26,492","12,607","30,802","20,242",0
2021년08월_계_연령구간인구수,"657,577","337,747","7,481","4,045","12,216","5,368","6,335","8,615","14,497","19,586","41,269","12,891","46,137","11,579","13,486","22,084","10,856","10,158","14,745","39,558","36,841","319,830","14,199","18,480","11,285","32,229","20,694","7,744","9,912","7,585","10,375","14,511","20,275","62,398","26,492","12,607","30,802","20,242",0
2021년08월_계_0~9세,"52,240","23,719",314,99,590,257,282,295,883,"1,334","3,268",558,"3,836",672,665,"1,484",578,509,941,"4,286","2,868","28,521",599,"1,423",544,"2,484","1,988",202,403,286,681,826,"1,408","7,964","2,013",861,"3,778","3,061",0
2021년08월_계_10~19세,"70,378","35,084",457,145,793,383,427,612,"1,288","2,581","4,875",812,"5,292","1,045","1,192","2,371",927,874,"1,488","4,997","4,525","35,294","1,048","2,325",699,"4,024","1,627",328,622,469,825,"1,211","2,471","8,813","3,074",989,"3,088","3,681",0
2021년08월_계_20~29세,"93,119","49,129",846,398,"1,401",562,670,"1,019","2,274","3,239","6,355","1,387","5,848","1,658","1,986","3,092","1,380","1,444","2,033","6,147","7,390","43,990","1,702","2,332","1,568","4,748","3,473","2,368","1,526",874,"1,439","2,060","2,722","7,925","3,956","1,548","3,767","1,982",0
2021년08월_계_30~39세,"81,366","39,545",773,339,"1,269",545,550,732,"1,640","2,347","5,283","1,276","5,084","1,193","1,341","2,122","1,053","1,089","1,609","5,277","6,023","41,821","1,295","1,853","1,307","3,963","3,523",950,"1,035",745,"1,407","1,889","1,946","9,307","2,934","1,754","5,171","2,742",0
2021년08월_계_40~49세,"105,488","52,040",891,491,"1,631",712,777,"1,122","1,908","3,348","6,866","1,717","7,440","1,605","1,704","3,300","1,479","1,349","2,061","6,901","6,738","53,448","1,793","3,098","1,423","6,046","3,073",839,"1,208","1,067","1,513","2,406","3,104","12,030","4,032","1,820","5,232","4,764",0
2021년08월_계_50~59세,"106,805","57,204","1,228",633,"1,937",858,"1,035","1,487","2,445","3,334","7,098","2,233","7,790","2,185","2,580","4,364","1,805","1,775","2,500","6,177","5,740","49,601","2,273","2,850","1,814","5,228","2,781","1,059","1,583","1,403","1,744","2,628","3,554","8,792","4,670","2,183","4,593","2,446",0
2021년08월_계_60~69세,"80,097","44,013","1,422",875,"2,145",917,"1,292","1,700","2,226","2,010","4,153","2,394","6,254","1,813","2,330","2,984","1,805","1,691","2,224","3,641","2,137","36,084","2,379","2,322","1,906","3,005","2,218","1,002","1,667","1,393","1,535","1,936","2,921","4,678","3,260","1,822","3,018","1,022",0
2021년08월_계_70~79세,"44,690","24,263",985,686,"1,563",719,817,"1,102","1,188",914,"2,192","1,628","3,047",943,"1,176","1,463","1,229","1,018","1,232","1,429",932,"20,427","1,940","1,566","1,366","1,801","1,348",633,"1,265",928,816,989,"1,374","1,920","1,705",999,"1,423",354,0
