카테고리,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2020년11월_계_총인구수,"116,888","8,384","13,769","4,177","4,269","3,042","3,624","3,570","6,143","2,495","6,308","3,469","3,965","2,272","34,966","16,435"
2020년11월_계_연령구간인구수,"116,888","8,384","13,769","4,177","4,269","3,042","3,624","3,570","6,143","2,495","6,308","3,469","3,965","2,272","34,966","16,435"
2020년11월_계_0~9세,"7,283",347,900,122,110,118,75,83,197,65,390,59,101,62,"3,362","1,292"
2020년11월_계_10~19세,"9,887",675,"1,112",183,239,152,169,156,333,130,421,132,201,141,"3,974","1,869"
2020년11월_계_20~29세,"11,424",718,"1,333",288,301,201,229,266,379,120,446,238,436,145,"4,517","1,807"
2020년11월_계_30~39세,"10,825",570,"1,297",252,250,227,222,210,343,118,551,169,242,130,"4,612","1,632"
2020년11월_계_40~49세,"15,426",994,"1,684",364,405,305,398,353,566,242,654,316,442,214,"5,866","2,623"
2020년11월_계_50~59세,"19,752","1,487","2,191",700,783,479,699,677,"1,221",435,"1,076",589,732,368,"5,442","2,873"
2020년11월_계_60~69세,"19,933","1,672","2,405",935,959,651,829,829,"1,467",608,"1,157",873,818,536,"3,933","2,261"
2020년11월_계_70~79세,"13,052","1,167","1,627",731,703,505,556,566,951,441,896,617,542,370,"2,071","1,309"
2020년11월_계_80~89세,"8,033",634,"1,048",537,475,347,387,368,588,275,619,407,382,253,"1,032",681
2020년11월_계_90~99세,"1,183",104,163,63,42,52,54,58,91,55,93,65,64,50,146,83
2020년11월_계_100세 이상,90,16,9,2,2,5,6,4,7,6,5,4,5,3,11,5
2020년11월_남_총인구수,"58,426","4,078","6,873","2,103","2,167","1,532","1,813","1,830","3,195","1,261","3,210","1,762","2,087","1,096","17,448","7,971"
2020년11월_남_연령구간인구수,"58,426","4,078","6,873","2,103","2,167","1,532","1,813","1,830","3,195","1,261","3,210","1,762","2,087","1,096","17,448","7,971"
2020년11월_남_0~9세,"3,739",184,460,63,53,65,38,44,107,28,211,36,51,32,"1,714",653
2020년11월_남_10~19세,"5,105",340,571,97,118,77,94,74,185,71,241,72,89,64,"2,060",952
2020년11월_남_20~29세,"6,394",410,760,164,171,114,122,156,235,65,258,140,265,84,"2,454",996
2020년11월_남_30~39세,"5,728",293,717,161,151,132,117,126,186,74,291,99,160,76,"2,353",792
2020년11월_남_40~49세,"8,182",524,936,237,250,174,216,219,325,148,358,180,285,117,"2,913","1,300"
2020년11월_남_50~59세,"10,405",763,"1,147",368,428,282,392,381,680,239,570,321,421,202,"2,753","1,458"
2020년11월_남_60~69세,"10,001",798,"1,200",481,514,324,433,433,788,321,607,465,425,276,"1,895","1,041"
2020년11월_남_70~79세,"5,780",495,709,305,321,238,258,263,449,208,407,288,246,148,912,533
2020년11월_남_80~89세,"2,769",235,335,207,152,111,124,124,218,88,240,138,133,81,352,231
2020년11월_남_90~99세,303,29,37,20,9,14,19,10,21,18,26,22,11,16,38,13
2020년11월_남_100세 이상,20,7,1,0,0,1,0,0,1,1,1,1,1,0,4,2
2020년11월_여_총인구수,"58,462","4,306","6,896","2,074","2,102","1,510","1,811","1,740","2,948","1,234","3,098","1,707","1,878","1,176","17,518","8,464"
2020년11월_여_연령구간인구수,"58,462","4,306","6,896","2,074","2,102","1,510","1,811","1,740","2,948","1,234","3,098","1,707","1,878","1,176","17,518","8,464"
2020년11월_여_0~9세,"3,544",163,440,59,57,53,37,39,90,37,179,23,50,30,"1,648",639
2020년11월_여_10~19세,"4,782",335,541,86,121,75,75,82,148,59,180,60,112,77,"1,914",917
2020년11월_여_20~29세,"5,030",308,573,124,130,87,107,110,144,55,188,98,171,61,"2,063",811
2020년11월_여_30~39세,"5,097",277,580,91,99,95,105,84,157,44,260,70,82,54,"2,259",840
2020년11월_여_40~49세,"7,244",470,748,127,155,131,182,134,241,94,296,136,157,97,"2,953","1,323"
2020년11월_여_50~59세,"9,347",724,"1,044",332,355,197,307,296,541,196,506,268,311,166,"2,689","1,415"
2020년11월_여_60~69세,"9,932",874,"1,205",454,445,327,396,396,679,287,550,408,393,260,"2,038","1,220"
2020년11월_여_70~79세,"7,272",672,918,426,382,267,298,303,502,233,489,329,296,222,"1,159",776
2020년11월_여_80~89세,"5,264",399,713,330,323,236,263,244,370,187,379,269,249,172,680,450
2020년11월_여_90~99세,880,75,126,43,33,38,35,48,70,37,67,43,53,34,108,70
2020년11월_여_100세 이상,70,9,8,2,2,4,6,4,6,5,4,3,4,3,7,3
