,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2021년03월_계_총인구수,"434,826","16,711","23,153","15,507","14,983","24,322","14,944","15,556","18,413","23,261","15,186","25,295","35,766","16,642","39,187","26,668","19,720","24,100","13,716","16,398","35,298"
2021년03월_계_연령구간인구수,"434,826","16,711","23,153","15,507","14,983","24,322","14,944","15,556","18,413","23,261","15,186","25,295","35,766","16,642","39,187","26,668","19,720","24,100","13,716","16,398","35,298"
2021년03월_계_0~9세,"28,774",756,"1,097",574,796,"1,970",440,974,"1,386","1,478",582,"1,629","3,892","1,412","2,645","2,052","1,059","1,721",591,"1,758","1,962"
2021년03월_계_10~19세,"37,077","1,178","1,876",965,"1,302","2,830",866,931,"1,768","1,852",970,"2,143","4,872","1,438","3,657","2,577","1,504","1,925",870,"1,361","2,192"
2021년03월_계_20~29세,"66,403","2,769","4,220","4,453","2,013","2,969","5,071","2,644","2,284","3,236","3,063","3,258","3,407","2,071","5,726","3,092","3,490","3,380","1,964","2,098","5,195"
2021년03월_계_30~39세,"59,486","2,485","3,247","2,497","1,976","2,957","2,000","2,590","2,611","3,117","1,846","3,193","4,562","2,389","5,120","3,569","2,728","3,313","1,727","2,653","4,906"
2021년03월_계_40~49세,"69,264","2,529","3,585","1,985","2,118","4,459","1,638","2,377","3,177","3,547","1,887","4,165","7,812","2,912","6,354","4,521","2,839","3,658","1,922","2,664","5,115"
2021년03월_계_50~59세,"69,159","2,728","3,653","1,942","2,703","4,074","2,003","2,516","2,842","3,757","2,362","4,158","4,997","2,742","6,308","4,235","3,014","4,221","2,398","2,574","5,932"
2021년03월_계_60~69세,"55,316","2,088","2,752","1,500","2,163","2,746","1,454","1,928","2,255","3,358","2,219","3,611","3,242","2,083","4,815","3,564","2,703","3,340","2,192","1,929","5,374"
2021년03월_계_70~79세,"33,014","1,327","1,792","1,042","1,278","1,464",968,"1,079","1,393","1,989","1,460","2,139","2,048","1,114","2,865","2,126","1,586","1,724","1,415",974,"3,231"
2021년03월_계_80~89세,"14,283",705,815,468,560,721,444,455,615,813,691,866,815,425,"1,466",832,697,730,563,344,"1,258"
2021년03월_계_90~99세,"1,949",128,102,69,70,129,54,58,79,111,104,127,116,54,223,100,97,87,72,38,131
2021년03월_계_100세 이상,101,18,14,12,4,3,6,4,3,3,2,6,3,2,8,0,3,1,2,5,2
2021년03월_남_총인구수,"209,902","7,789","11,030","6,523","7,012","11,539","7,535","7,512","8,866","11,303","7,532","12,255","17,014","8,034","19,385","12,888","9,501","11,821","6,783","8,100","17,480"
2021년03월_남_연령구간인구수,"209,902","7,789","11,030","6,523","7,012","11,539","7,535","7,512","8,866","11,303","7,532","12,255","17,014","8,034","19,385","12,888","9,501","11,821","6,783","8,100","17,480"
2021년03월_남_0~9세,"14,694",364,570,282,389,989,222,489,737,766,296,866,"1,988",736,"1,367","1,029",563,857,295,897,992
2021년03월_남_10~19세,"18,814",629,988,421,634,"1,425",442,447,872,959,497,"1,116","2,374",759,"1,981","1,232",752,"1,006",433,681,"1,166"
2021년03월_남_20~29세,"31,968","1,245","1,870","1,441",931,"1,447","2,651","1,293","1,132","1,629","1,701","1,697","1,646",985,"3,039","1,474","1,503","1,730",971,"1,022","2,561"
2021년03월_남_30~39세,"29,634","1,186","1,610","1,145",971,"1,382","1,129","1,320","1,281","1,596","1,050","1,546","2,049","1,156","2,558","1,757","1,413","1,739",915,"1,296","2,535"
2021년03월_남_40~49세,"34,177","1,212","1,738",954,995,"2,104",840,"1,192","1,537","1,756",930,"2,051","3,755","1,388","3,143","2,270","1,432","1,814","1,040","1,356","2,670"
2021년03월_남_50~59세,"34,104","1,290","1,818",958,"1,289","1,955",985,"1,213","1,401","1,817","1,158","1,997","2,550","1,364","3,141","2,122","1,524","2,053","1,220","1,310","2,939"
2021년03월_남_60~69세,"26,043",971,"1,342",677,"1,012","1,292",685,912,"1,046","1,551",996,"1,647","1,460",990,"2,298","1,703","1,308","1,580","1,042",926,"2,605"
2021년03월_남_70~79세,"14,408",554,752,445,565,633,402,468,594,883,618,956,867,480,"1,231",941,710,748,631,475,"1,455"
2021년03월_남_80~89세,"5,559",296,313,175,206,279,166,173,246,318,260,345,304,162,556,335,274,276,218,131,526
2021년03월_남_90~99세,475,35,26,23,20,33,11,4,20,26,26,32,21,13,67,25,22,18,18,5,30
2021년03월_남_100세 이상,26,7,3,2,0,0,2,1,0,2,0,2,0,1,4,0,0,0,0,1,1
2021년03월_여_총인구수,"224,924","8,922","12,123","8,984","7,971","12,783","7,409","8,044","9,547","11,958","7,654","13,040","18,752","8,608","19,802","13,780","10,219","12,279","6,933","8,298","17,818"
2021년03월_여_연령구간인구수,"224,924","8,922","12,123","8,984","7,971","12,783","7,409","8,044","9,547","11,958","7,654","13,040","18,752","8,608","19,802","13,780","10,219","12,279","6,933","8,298","17,818"
2021년03월_여_0~9세,"14,080",392,527,292,407,981,218,485,649,712,286,763,"1,904",676,"1,278","1,023",496,864,296,861,970
2021년03월_여_10~19세,"18,263",549,888,544,668,"1,405",424,484,896,893,473,"1,027","2,498",679,"1,676","1,345",752,919,437,680,"1,026"
2021년03월_여_20~29세,"34,435","1,524","2,350","3,012","1,082","1,522","2,420","1,351","1,152","1,607","1,362","1,561","1,761","1,086","2,687","1,618","1,987","1,650",993,"1,076","2,634"
2021년03월_여_30~39세,"29,852","1,299","1,637","1,352","1,005","1,575",871,"1,270","1,330","1,521",796,"1,647","2,513","1,233","2,562","1,812","1,315","1,574",812,"1,357","2,371"
2021년03월_여_40~49세,"35,087","1,317","1,847","1,031","1,123","2,355",798,"1,185","1,640","1,791",957,"2,114","4,057","1,524","3,211","2,251","1,407","1,844",882,"1,308","2,445"
2021년03월_여_50~59세,"35,055","1,438","1,835",984,"1,414","2,119","1,018","1,303","1,441","1,940","1,204","2,161","2,447","1,378","3,167","2,113","1,490","2,168","1,178","1,264","2,993"
2021년03월_여_60~69세,"29,273","1,117","1,410",823,"1,151","1,454",769,"1,016","1,209","1,807","1,223","1,964","1,782","1,093","2,517","1,861","1,395","1,760","1,150","1,003","2,769"
