,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2020년07월_계_총인구수,"426,611","16,501","15,483","16,525","18,947","23,500","11,631","20,564","18,940","12,271","15,332","24,570","11,331","11,964","16,962","13,074","14,420","22,918","19,441","11,848","15,744","31,902","28,167","34,576"
2020년07월_계_연령구간인구수,"426,611","16,501","15,483","16,525","18,947","23,500","11,631","20,564","18,940","12,271","15,332","24,570","11,331","11,964","16,962","13,074","14,420","22,918","19,441","11,848","15,744","31,902","28,167","34,576"
2020년07월_계_0~9세,"30,475","1,370",995,"1,982","1,542","1,938",544,"1,412","1,345","1,161",906,"2,096",578,772,"1,059","1,064",971,"1,090","1,133",398,"1,109","2,333","2,057","2,620"
2020년07월_계_10~19세,"52,180","2,162","1,774","2,047","4,235","2,597","1,227","4,012","2,247","1,762","1,478","4,298",903,821,"1,337","1,005","1,183","1,980","1,904",732,"1,822","4,837","3,427","4,390"
2020년07월_계_20~29세,"55,856","2,073","2,355","2,102","1,871","2,999","1,907","2,516","2,267","1,242","2,146","2,732","1,790","1,504","2,130","1,274","2,271","3,339","2,594","1,432","1,957","4,493","3,896","4,966"
2020년07월_계_30~39세,"43,677","1,580","1,986","2,183","1,317","2,474","1,214","1,493","1,697","1,199","1,544","2,066","1,404","1,600","2,100","1,621","1,889","2,340","2,015",973,"1,546","2,883","2,993","3,560"
2020년07월_계_40~49세,"73,820","2,958","2,580","3,283","4,674","3,799","1,765","4,595","3,261","2,490","2,285","4,973","1,789","1,929","2,523","1,968","2,363","3,312","2,932","1,394","2,614","5,785","4,686","5,862"
2020년07월_계_50~59세,"75,403","2,914","2,630","2,569","2,733","4,109","2,137","3,384","3,208","1,809","2,926","4,203","1,964","2,054","2,936","2,070","2,762","4,289","3,671","2,247","2,893","5,934","5,167","6,794"
2020년07월_계_60~69세,"51,020","1,732","1,745","1,263","1,316","2,932","1,517","1,654","2,286","1,387","2,106","2,360","1,493","1,710","2,573","2,113","1,787","3,409","2,884","2,352","2,343","3,234","3,345","3,479"
2020년07월_계_70~79세,"28,657","1,119",966,719,845,"1,728",846,"1,016","1,667",836,"1,230","1,177",968,"1,028","1,514","1,325",803,"2,077","1,427","1,470",978,"1,511","1,631","1,776"
2020년07월_계_80~89세,"13,647",533,402,321,364,827,430,431,854,349,622,567,386,478,672,547,341,943,781,745,416,783,841,"1,014"
2020년07월_계_90~99세,"1,777",54,48,48,49,95,42,49,103,31,82,92,55,65,111,79,46,134,98,101,63,105,119,108
2020년07월_계_100세 이상,99,6,2,8,1,2,2,2,5,5,7,6,1,3,7,8,4,5,2,4,3,4,5,7
