,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2021년01월_계_총인구수,"477,332","26,703","45,840","28,972","9,794","5,518","8,184","62,081","39,322","22,837","62,247","41,065","42,016","33,147","49,606"
2021년01월_계_연령구간인구수,"477,332","26,703","45,840","28,972","9,794","5,518","8,184","62,081","39,322","22,837","62,247","41,065","42,016","33,147","49,606"
2021년01월_계_0~9세,"55,468","1,670","6,207","2,331",322,147,262,"6,022","5,013","1,587","6,840","5,761","6,432","5,269","7,605"
2021년01월_계_10~19세,"48,102","2,283","4,344","2,490",539,250,450,"6,444","5,539","2,097","6,972","5,037","3,619","2,831","5,207"
2021년01월_계_20~29세,"52,445","3,227","4,315","2,985",909,525,815,"7,949","3,930","3,213","7,788","3,855","5,375","2,941","4,618"
2021년01월_계_30~39세,"76,728","2,920","8,453","3,861",863,396,650,"8,443","5,697","2,865","9,279","6,734","9,911","7,395","9,261"
2021년01월_계_40~49세,"89,210","4,036","8,611","4,805","1,254",596,880,"10,809","8,435","3,791","11,685","9,039","8,048","6,418","10,803"
2021년01월_계_50~59세,"67,232","5,150","5,848","5,022","2,176","1,172","1,689","10,476","5,020","4,220","8,944","4,797","3,885","3,221","5,612"
2021년01월_계_60~69세,"50,063","4,188","4,928","4,256","2,062","1,285","1,759","6,726","3,193","2,815","5,975","3,311","2,877","2,850","3,838"
2021년01월_계_70~79세,"25,901","2,035","2,173","2,152","1,075",711,"1,038","3,455","1,752","1,497","3,290","1,792","1,369","1,640","1,922"
2021년01월_계_80~89세,"10,575","1,038",816,906,507,355,559,"1,549",656,658,"1,311",650,431,497,642
2021년01월_계_90~99세,"1,533",151,132,155,85,76,75,198,84,87,155,87,67,83,98
2021년01월_계_100세 이상,75,5,13,9,2,5,7,10,3,7,8,2,2,2,0
2021년01월_남_총인구수,"239,165","14,279","22,880","15,264","5,712","3,033","4,459","30,598","19,186","11,435","30,477","20,221","20,919","16,428","24,274"
2021년01월_남_연령구간인구수,"239,165","14,279","22,880","15,264","5,712","3,033","4,459","30,598","19,186","11,435","30,477","20,221","20,919","16,428","24,274"
2021년01월_남_0~9세,"28,281",860,"3,233","1,170",176,69,142,"2,997","2,505",835,"3,496","2,952","3,266","2,689","3,891"
2021년01월_남_10~19세,"24,514","1,238","2,245","1,279",292,123,251,"3,304","2,810","1,100","3,555","2,479","1,770","1,411","2,657"
2021년01월_남_20~29세,"27,065","1,932","2,159","1,621",569,319,492,"4,228","1,966","1,707","3,798","2,010","2,585","1,438","2,241"
2021년01월_남_30~39세,"37,701","1,651","4,053","2,156",544,232,387,"4,069","2,634","1,467","4,453","3,188","4,989","3,675","4,203"
2021년01월_남_40~49세,"46,467","2,261","4,474","2,714",800,373,548,"5,311","4,170","1,940","5,775","4,629","4,366","3,464","5,642"
2021년01월_남_50~59세,"34,298","2,795","2,891","2,757","1,380",675,953,"5,196","2,536","2,106","4,444","2,430","1,854","1,535","2,746"
2021년01월_남_60~69세,"24,374","2,221","2,383","2,176","1,189",707,945,"3,344","1,471","1,351","2,841","1,494","1,286","1,242","1,724"
2021년01월_남_70~79세,"12,081",913,"1,105","1,023",536,385,496,"1,512",816,669,"1,553",788,627,768,890
2021년01월_남_80~89세,"4,002",362,307,333,204,134,219,583,258,244,523,235,162,183,255
2021년01월_남_90~99세,362,44,28,31,22,15,24,51,18,16,37,16,13,22,25
2021년01월_남_100세 이상,20,2,2,4,0,1,2,3,2,0,2,0,1,1,0
2021년01월_여_총인구수,"238,167","12,424","22,960","13,708","4,082","2,485","3,725","31,483","20,136","11,402","31,770","20,844","21,097","16,719","25,332"
2021년01월_여_연령구간인구수,"238,167","12,424","22,960","13,708","4,082","2,485","3,725","31,483","20,136","11,402","31,770","20,844","21,097","16,719","25,332"
2021년01월_여_0~9세,"27,187",810,"2,974","1,161",146,78,120,"3,025","2,508",752,"3,344","2,809","3,166","2,580","3,714"
2021년01월_여_10~19세,"23,588","1,045","2,099","1,211",247,127,199,"3,140","2,729",997,"3,417","2,558","1,849","1,420","2,550"
2021년01월_여_20~29세,"25,380","1,295","2,156","1,364",340,206,323,"3,721","1,964","1,506","3,990","1,845","2,790","1,503","2,377"
2021년01월_여_30~39세,"39,027","1,269","4,400","1,705",319,164,263,"4,374","3,063","1,398","4,826","3,546","4,922","3,720","5,058"
2021년01월_여_40~49세,"42,743","1,775","4,137","2,091",454,223,332,"5,498","4,265","1,851","5,910","4,410","3,682","2,954","5,161"
2021년01월_여_50~59세,"32,934","2,355","2,957","2,265",796,497,736,"5,280","2,484","2,114","4,500","2,367","2,031","1,686","2,866"
2021년01월_여_60~69세,"25,689","1,967","2,545","2,080",873,578,814,"3,382","1,722","1,464","3,134","1,817","1,591","1,608","2,114"
2021년01월_여_70~79세,"13,820","1,122","1,068","1,129",539,326,542,"1,943",936,828,"1,737","1,004",742,872,"1,032"
2021년01월_여_80~89세,"6,573",676,509,573,303,221,340,966,398,414,788,415,269,314,387
2021년01월_여_90~99세,"1,171",107,104,124,63,61,51,147,66,71,118,71,54,61,73
2021년01월_여_100세 이상,55,3,11,5,2,4,5,7,1,7,6,2,1,1,0
