카테고리,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2021년03월_계_총인구수,"27,474","10,200","1,528","2,004","1,720","1,715","1,415","1,965","2,176","1,295","1,113","2,343"
2021년03월_계_연령구간인구수,"27,474","10,200","1,528","2,004","1,720","1,715","1,415","1,965","2,176","1,295","1,113","2,343"
2021년03월_계_0~9세,"1,450",836,60,61,66,42,55,67,112,36,51,64
2021년03월_계_10~19세,"2,191","1,307",92,104,85,68,72,118,139,34,49,123
2021년03월_계_20~29세,"2,021","1,039",96,102,86,93,73,116,128,97,71,120
2021년03월_계_30~39세,"1,918",974,94,97,111,102,100,92,118,68,62,100
2021년03월_계_40~49세,"3,248","1,606",135,209,181,137,119,186,205,124,120,226
2021년03월_계_50~59세,"4,465","1,536",270,327,267,311,243,356,396,205,154,400
2021년03월_계_60~69세,"4,893","1,344",301,409,330,412,274,444,442,259,206,472
2021년03월_계_70~79세,"4,132",944,255,391,326,288,255,335,380,259,215,484
2021년03월_계_80~89세,"2,761",527,198,267,240,232,205,215,218,184,170,305
2021년03월_계_90~99세,374,84,22,34,26,29,18,36,38,24,14,49
2021년03월_계_100세 이상,21,3,5,3,2,1,1,0,0,5,1,0
2021년03월_남_총인구수,"13,401","4,962",733,985,854,855,701,968,"1,049",631,523,"1,140"
2021년03월_남_연령구간인구수,"13,401","4,962",733,985,854,855,701,968,"1,049",631,523,"1,140"
2021년03월_남_0~9세,748,447,27,32,31,21,29,29,59,11,28,34
2021년03월_남_10~19세,"1,127",664,48,52,44,38,41,65,70,20,25,60
2021년03월_남_20~29세,"1,136",566,58,53,57,56,41,66,79,62,32,66
2021년03월_남_30~39세,937,437,40,57,67,63,50,48,51,37,31,56
2021년03월_남_40~49세,"1,843",836,73,143,112,90,78,109,110,76,76,140
2021년03월_남_50~59세,"2,417",806,155,175,152,165,141,177,217,120,90,219
2021년03월_남_60~69세,"2,504",645,162,233,167,230,139,241,225,129,99,234
2021년03월_남_70~79세,"1,698",372,112,148,144,118,107,145,157,101,90,204
2021년03월_남_80~89세,893,171,54,87,74,66,71,74,68,65,51,112
2021년03월_남_90~99세,97,18,4,5,6,8,4,14,13,9,1,15
2021년03월_남_100세 이상,1,0,0,0,0,0,0,0,0,1,0,0
2021년03월_여_총인구수,"14,073","5,238",795,"1,019",866,860,714,997,"1,127",664,590,"1,203"
2021년03월_여_연령구간인구수,"14,073","5,238",795,"1,019",866,860,714,997,"1,127",664,590,"1,203"
2021년03월_여_0~9세,702,389,33,29,35,21,26,38,53,25,23,30
2021년03월_여_10~19세,"1,064",643,44,52,41,30,31,53,69,14,24,63
2021년03월_여_20~29세,885,473,38,49,29,37,32,50,49,35,39,54
2021년03월_여_30~39세,981,537,54,40,44,39,50,44,67,31,31,44
2021년03월_여_40~49세,"1,405",770,62,66,69,47,41,77,95,48,44,86
2021년03월_여_50~59세,"2,048",730,115,152,115,146,102,179,179,85,64,181
2021년03월_여_60~69세,"2,389",699,139,176,163,182,135,203,217,130,107,238
2021년03월_여_70~79세,"2,434",572,143,243,182,170,148,190,223,158,125,280
2021년03월_여_80~89세,"1,868",356,144,180,166,166,134,141,150,119,119,193
2021년03월_여_90~99세,277,66,18,29,20,21,14,22,25,15,13,34
2021년03월_여_100세 이상,20,3,5,3,2,1,1,0,0,4,1,0
