카테고리,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 영귀미면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면
2021년12월_계_총인구수,"68,365","34,186","4,528","2,434","2,384","3,719","4,075","6,197","3,776","3,922","3,144"
2021년12월_계_연령구간인구수,"68,365","34,186","4,528","2,434","2,384","3,719","4,075","6,197","3,776","3,922","3,144"
2021년12월_계_0~9세,"3,535","2,423",96,43,41,125,111,373,93,117,113
2021년12월_계_10~19세,"4,962","3,423",153,98,78,177,176,411,116,188,142
2021년12월_계_20~29세,"6,495","3,989",353,136,109,266,218,764,224,264,172
2021년12월_계_30~39세,"5,720","3,658",269,95,96,195,223,585,205,231,163
2021년12월_계_40~49세,"7,973","5,138",358,157,168,291,346,528,352,364,271
2021년12월_계_50~59세,"12,122","5,884",737,422,460,745,753,939,709,779,694
2021년12월_계_60~69세,"15,114","5,457","1,347",769,777,"1,061","1,192","1,379","1,143","1,064",925
2021년12월_계_70~79세,"7,104","2,479",677,390,355,475,626,661,542,506,393
2021년12월_계_80~89세,"4,657","1,510",460,274,268,337,378,486,335,371,238
2021년12월_계_90~99세,661,219,76,48,30,44,49,71,55,37,32
2021년12월_계_100세 이상,22,6,2,2,2,3,3,0,2,1,1
2021년12월_남_총인구수,"35,184","17,266","2,414","1,212","1,244","1,906","2,114","3,312","1,976","2,067","1,673"
2021년12월_남_연령구간인구수,"35,184","17,266","2,414","1,212","1,244","1,906","2,114","3,312","1,976","2,067","1,673"
2021년12월_남_0~9세,"1,811","1,233",54,26,27,71,53,183,46,56,62
2021년12월_남_10~19세,"2,503","1,751",86,47,41,90,103,160,58,97,70
2021년12월_남_20~29세,"3,938","2,296",245,80,68,163,131,558,136,156,105
2021년12월_남_30~39세,"3,114","1,940",154,51,52,102,128,335,135,132,85
2021년12월_남_40~49세,"4,261","2,586",234,91,111,157,207,304,204,217,150
2021년12월_남_50~59세,"6,436","3,059",416,222,239,398,409,505,363,433,392
2021년12월_남_60~69세,"7,881","2,736",697,405,418,553,618,746,631,577,500
2021년12월_남_70~79세,"3,401","1,075",354,177,180,244,314,330,257,265,205
2021년12월_남_80~89세,"1,676",537,154,102,97,116,138,177,130,129,96
2021년12월_남_90~99세,161,53,20,11,11,12,12,14,16,5,7
2021년12월_남_100세 이상,2,0,0,0,0,0,1,0,0,0,1
2021년12월_여_총인구수,"33,181","16,920","2,114","1,222","1,140","1,813","1,961","2,885","1,800","1,855","1,471"
2021년12월_여_연령구간인구수,"33,181","16,920","2,114","1,222","1,140","1,813","1,961","2,885","1,800","1,855","1,471"
2021년12월_여_0~9세,"1,724","1,190",42,17,14,54,58,190,47,61,51
2021년12월_여_10~19세,"2,459","1,672",67,51,37,87,73,251,58,91,72
2021년12월_여_20~29세,"2,557","1,693",108,56,41,103,87,206,88,108,67
2021년12월_여_30~39세,"2,606","1,718",115,44,44,93,95,250,70,99,78
2021년12월_여_40~49세,"3,712","2,552",124,66,57,134,139,224,148,147,121
2021년12월_여_50~59세,"5,686","2,825",321,200,221,347,344,434,346,346,302
2021년12월_여_60~69세,"7,233","2,721",650,364,359,508,574,633,512,487,425
2021년12월_여_70~79세,"3,703","1,404",323,213,175,231,312,331,285,241,188
2021년12월_여_80~89세,"2,981",973,306,172,171,221,240,309,205,242,142
2021년12월_여_90~99세,500,166,56,37,19,32,37,57,39,32,25
2021년12월_여_100세 이상,20,6,2,2,2,3,2,0,2,1,0
