,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심3.4동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2020년07월_계_총인구수,"342,657","7,788","10,839","8,935","13,365","6,610","13,454","12,587","7,582","14,301","15,000","4,209","21,978","15,086","15,990","18,505","15,374","44,007","11,207","21,470",0,"29,725","18,791","15,854"
2020년07월_계_연령구간인구수,"342,657","7,788","10,839","8,935","13,365","6,610","13,454","12,587","7,582","14,301","15,000","4,209","21,978","15,086","15,990","18,505","15,374","44,007","11,207","21,470",0,"29,725","18,791","15,854"
2020년07월_계_0~9세,"25,805",287,"1,088",723,468,234,867,950,167,558,785,201,"2,383",732,891,918,802,"3,999",661,"2,536",0,"2,732","3,128",695
2020년07월_계_10~19세,"26,970",466,846,594,729,419,935,"1,041",375,884,"1,065",266,"2,332",970,951,"1,374",951,"3,769",669,"2,724",0,"3,032","1,435","1,143"
2020년07월_계_20~29세,"41,787",881,"1,033",996,"1,916",803,"1,535","1,671","1,297","1,828","1,910",613,"2,329","2,001","2,175","2,429","1,883","5,352","1,441","2,199",0,"3,861","2,023","1,611"
2020년07월_계_30~39세,"44,552",701,"1,523","1,290","1,548",584,"1,619","1,629","1,070","1,471","1,678",466,"2,962","1,610","1,942","1,805","1,674","5,943","1,384","3,265",0,"4,304","4,733","1,351"
2020년07월_계_40~49세,"51,581",995,"1,887","1,228","1,796",859,"1,961","1,959","1,027","1,764","2,154",508,"4,009","1,876","2,058","2,372","1,990","6,947","1,444","4,196",0,"4,998","3,375","2,178"
2020년07월_계_50~59세,"57,368","1,384","1,551","1,436","2,659","1,259","2,237","2,217","1,307","2,640","2,553",752,"3,334","3,026","3,034","3,621","2,851","7,139","2,196","2,833",0,"4,653","1,711","2,975"
2020년07월_계_60~69세,"50,262","1,410","1,405","1,388","2,315","1,251","2,082","1,619","1,244","2,625","2,553",698,"2,644","2,738","2,681","3,210","2,739","6,063","1,848","1,933",0,"3,485","1,477","2,854"
2020년07월_계_70~79세,"30,117","1,092","1,009",857,"1,370",803,"1,479",977,736,"1,731","1,552",464,"1,375","1,492","1,554","1,855","1,709","3,222","1,104","1,225",0,"1,861",662,"1,988"
2020년07월_계_80~89세,"12,650",511,436,371,495,364,666,464,322,720,658,220,530,582,630,826,689,"1,388",403,498,0,722,210,945
2020년07월_계_90~99세,"1,442",56,50,49,59,30,66,52,33,70,82,21,76,54,72,89,84,178,52,59,0,69,35,106
2020년07월_계_100세 이상,123,5,11,3,10,4,7,8,4,10,10,0,4,5,2,6,2,7,5,2,0,8,2,8
2020년07월_남_총인구수,"168,899","3,898","5,138","4,402","6,766","3,149","6,469","6,236","3,810","7,065","7,235","2,242","10,783","7,503","8,039","8,941","7,745","21,550","5,659","10,474",0,"14,698","9,297","7,800"
2020년07월_남_연령구간인구수,"168,899","3,898","5,138","4,402","6,766","3,149","6,469","6,236","3,810","7,065","7,235","2,242","10,783","7,503","8,039","8,941","7,745","21,550","5,659","10,474",0,"14,698","9,297","7,800"
2020년07월_남_0~9세,"13,175",151,549,378,235,116,449,491,92,308,390,94,"1,180",366,466,456,420,"2,074",323,"1,283",0,"1,395","1,591",368
2020년07월_남_10~19세,"14,135",263,454,304,396,234,520,596,211,467,532,147,"1,185",515,493,716,510,"1,977",364,"1,354",0,"1,570",730,597
2020년07월_남_20~29세,"22,374",494,556,497,997,459,835,914,608,997,"1,024",405,"1,263","1,094","1,211","1,329","1,024","2,842",792,"1,129",0,"2,063",927,914
2020년07월_남_30~39세,"23,435",417,736,702,876,314,840,817,617,842,899,280,"1,410",907,"1,093",968,957,"3,022",768,"1,593",0,"2,215","2,445",717
2020년07월_남_40~49세,"26,609",551,973,631,"1,012",433,"1,001",950,573,918,"1,093",296,"2,025","1,011","1,100","1,194","1,090","3,558",780,"2,054",0,"2,470","1,806","1,090"
2020년07월_남_50~59세,"27,824",717,721,703,"1,350",568,"1,051","1,097",689,"1,291","1,222",383,"1,645","1,443","1,448","1,673","1,437","3,416","1,064","1,439",0,"2,236",765,"1,466"
2020년07월_남_60~69세,"23,343",656,597,650,"1,096",552,903,779,544,"1,185","1,146",347,"1,250","1,293","1,304","1,472","1,307","2,837",874,876,0,"1,637",674,"1,364"
2020년07월_남_70~79세,"13,158",452,385,383,602,344,602,404,344,760,670,205,621,661,683,818,737,"1,384",500,542,0,844,289,928
2020년07월_남_80~89세,"4,504",187,152,148,181,122,249,173,121,277,234,82,190,200,227,294,245,409,178,190,0,245,64,336
2020년07월_남_90~99세,306,10,11,6,17,5,17,11,10,18,22,3,14,12,14,20,17,29,14,14,0,19,6,17
2020년07월_남_100세 이상,36,0,4,0,4,2,2,4,1,2,3,0,0,1,0,1,1,2,2,0,0,4,0,3
2020년07월_여_총인구수,"173,758","3,890","5,701","4,533","6,599","3,461","6,985","6,351","3,772","7,236","7,765","1,967","11,195","7,583","7,951","9,564","7,629","22,457","5,548","10,996",0,"15,027","9,494","8,054"
2020년07월_여_연령구간인구수,"173,758","3,890","5,701","4,533","6,599","3,461","6,985","6,351","3,772","7,236","7,765","1,967","11,195","7,583","7,951","9,564","7,629","22,457","5,548","10,996",0,"15,027","9,494","8,054"
2020년07월_여_0~9세,"12,630",136,539,345,233,118,418,459,75,250,395,107,"1,203",366,425,462,382,"1,925",338,"1,253",0,"1,337","1,537",327
