카테고리,충청남도 예산군,충청남도 예산군 예산읍,충청남도 예산군 삽교읍,충청남도 예산군 대술면,충청남도 예산군 신양면,충청남도 예산군 광시면,충청남도 예산군 대흥면,충청남도 예산군 응봉면,충청남도 예산군 덕산면,충청남도 예산군 봉산면,충청남도 예산군 고덕면,충청남도 예산군 신암면,충청남도 예산군 오가면
2021년11월_계_총인구수,"76,830","32,658","10,133","2,396","3,029","3,104","1,757","2,513","6,667","2,489","4,407","3,416","4,261"
2021년11월_계_연령구간인구수,"76,830","32,658","10,133","2,396","3,029","3,104","1,757","2,513","6,667","2,489","4,407","3,416","4,261"
2021년11월_계_0~9세,"3,340","1,908",578,42,57,68,39,53,228,71,111,90,95
2021년11월_계_10~19세,"5,476","3,245",648,76,149,119,57,125,393,146,226,109,183
2021년11월_계_20~29세,"6,453","3,386","1,073",115,139,157,73,190,460,126,259,207,268
2021년11월_계_30~39세,"5,760","2,692","1,231",116,152,127,69,135,450,134,209,199,246
2021년11월_계_40~49세,"9,057","4,756","1,168",207,264,256,136,228,748,230,391,286,387
2021년11월_계_50~59세,"12,987","5,642","1,528",410,454,521,273,444,"1,266",405,722,559,763
2021년11월_계_60~69세,"15,628","5,741","1,748",611,777,724,499,615,"1,493",578,987,833,"1,022"
2021년11월_계_70~79세,"10,360","3,299","1,189",449,567,574,333,392,929,419,864,617,728
2021년11월_계_80~89세,"6,837","1,748",859,325,413,497,236,289,606,319,572,464,509
2021년11월_계_90~99세,902,233,108,42,54,59,42,40,89,61,63,52,59
2021년11월_계_100세 이상,30,8,3,3,3,2,0,2,5,0,3,0,1
2021년11월_남_총인구수,"38,602","16,199","5,100","1,228","1,526","1,528",893,"1,317","3,325","1,262","2,243","1,746","2,235"
2021년11월_남_연령구간인구수,"38,602","16,199","5,100","1,228","1,526","1,528",893,"1,317","3,325","1,262","2,243","1,746","2,235"
2021년11월_남_0~9세,"1,742","1,000",285,21,31,37,22,29,120,39,56,49,53
2021년11월_남_10~19세,"2,837","1,667",331,36,83,62,34,72,203,69,114,61,105
2021년11월_남_20~29세,"3,695","1,867",590,69,87,86,49,117,283,79,158,132,178
2021년11월_남_30~39세,"3,176","1,402",682,63,94,73,40,86,249,84,121,124,158
2021년11월_남_40~49세,"4,936","2,396",652,149,142,154,85,153,415,134,250,162,244
2021년11월_남_50~59세,"7,010","2,919",813,236,264,300,148,227,666,232,421,339,445
2021년11월_남_60~69세,"7,819","2,792",852,320,399,380,266,329,718,295,504,438,526
2021년11월_남_70~79세,"4,690","1,470",551,206,254,258,158,178,428,192,399,271,325
2021년11월_남_80~89세,"2,484",628,313,121,162,164,88,114,220,122,209,157,186
2021년11월_남_90~99세,209,56,31,6,10,14,3,12,23,16,10,13,15
2021년11월_남_100세 이상,4,2,0,1,0,0,0,0,0,0,1,0,0
2021년11월_여_총인구수,"38,228","16,459","5,033","1,168","1,503","1,576",864,"1,196","3,342","1,227","2,164","1,670","2,026"
2021년11월_여_연령구간인구수,"38,228","16,459","5,033","1,168","1,503","1,576",864,"1,196","3,342","1,227","2,164","1,670","2,026"
2021년11월_여_0~9세,"1,598",908,293,21,26,31,17,24,108,32,55,41,42
2021년11월_여_10~19세,"2,639","1,578",317,40,66,57,23,53,190,77,112,48,78
2021년11월_여_20~29세,"2,758","1,519",483,46,52,71,24,73,177,47,101,75,90
2021년11월_여_30~39세,"2,584","1,290",549,53,58,54,29,49,201,50,88,75,88
2021년11월_여_40~49세,"4,121","2,360",516,58,122,102,51,75,333,96,141,124,143
2021년11월_여_50~59세,"5,977","2,723",715,174,190,221,125,217,600,173,301,220,318
2021년11월_여_60~69세,"7,809","2,949",896,291,378,344,233,286,775,283,483,395,496
2021년11월_여_70~79세,"5,670","1,829",638,243,313,316,175,214,501,227,465,346,403
2021년11월_여_80~89세,"4,353","1,120",546,204,251,333,148,175,386,197,363,307,323
2021년11월_여_90~99세,693,177,77,36,44,45,39,28,66,45,53,39,44
2021년11월_여_100세 이상,26,6,3,2,3,2,0,2,5,0,2,0,1
