,부산광역시 기장군,부산광역시 기장군 기장읍,부산광역시 기장군 장안읍,부산광역시 기장군 정관읍,부산광역시 기장군 일광면,부산광역시 기장군 철마면
2021년02월_계_총인구수,"176,112","52,869","8,684","81,735","24,798","8,026"
2021년02월_계_연령구간인구수,"176,112","52,869","8,684","81,735","24,798","8,026"
2021년02월_계_0~9세,"19,146","3,141",406,"12,034","3,185",380
2021년02월_계_10~19세,"17,642","4,382",430,"10,640","1,761",429
2021년02월_계_20~29세,"17,140","6,304","1,030","6,633","2,453",720
2021년02월_계_30~39세,"24,917","5,544","1,036","13,108","4,550",679
2021년02월_계_40~49세,"32,609","8,202",961,"18,536","3,908","1,002"
2021년02월_계_50~59세,"24,360","9,354","1,568","8,459","3,575","1,404"
2021년02월_계_60~69세,"21,760","8,299","1,667","6,941","3,076","1,777"
2021년02월_계_70~79세,"12,487","5,017",968,"3,866","1,541","1,095"
2021년02월_계_80~89세,"5,260","2,295",517,"1,329",644,475
2021년02월_계_90~99세,746,310,90,184,99,63
2021년02월_계_100세 이상,45,21,11,5,6,2
2021년02월_남_총인구수,"87,194","25,797","4,650","40,381","12,315","4,051"
2021년02월_남_연령구간인구수,"87,194","25,797","4,650","40,381","12,315","4,051"
2021년02월_남_0~9세,"9,761","1,653",210,"6,132","1,586",180
2021년02월_남_10~19세,"9,160","2,278",247,"5,519",888,228
2021년02월_남_20~29세,"9,100","3,363",611,"3,348","1,348",430
2021년02월_남_30~39세,"12,361","2,915",611,"6,198","2,279",358
2021년02월_남_40~49세,"16,715","4,105",565,"9,486","2,005",554
2021년02월_남_50~59세,"12,335","4,626",878,"4,364","1,751",716
2021년02월_남_60~69세,"10,124","3,883",857,"3,026","1,508",850
2021년02월_남_70~79세,"5,692","2,120",489,"1,797",729,557
2021년02월_남_80~89세,"1,805",803,156,482,201,163
2021년02월_남_90~99세,133,49,20,29,20,15
2021년02월_남_100세 이상,8,2,6,0,0,0
2021년02월_여_총인구수,"88,918","27,072","4,034","41,354","12,483","3,975"
2021년02월_여_연령구간인구수,"88,918","27,072","4,034","41,354","12,483","3,975"
2021년02월_여_0~9세,"9,385","1,488",196,"5,902","1,599",200
2021년02월_여_10~19세,"8,482","2,104",183,"5,121",873,201
2021년02월_여_20~29세,"8,040","2,941",419,"3,285","1,105",290
2021년02월_여_30~39세,"12,556","2,629",425,"6,910","2,271",321
2021년02월_여_40~49세,"15,894","4,097",396,"9,050","1,903",448
2021년02월_여_50~59세,"12,025","4,728",690,"4,095","1,824",688
2021년02월_여_60~69세,"11,636","4,416",810,"3,915","1,568",927
2021년02월_여_70~79세,"6,795","2,897",479,"2,069",812,538
2021년02월_여_80~89세,"3,455","1,492",361,847,443,312
2021년02월_여_90~99세,613,261,70,155,79,48
2021년02월_여_100세 이상,37,19,5,5,6,2
