,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2021년06월_계_총인구수,"229,222","5,522","9,393","11,339","8,002","8,450","16,612","16,029","12,983","17,927","27,107","2,339","9,824","29,170","19,859","33,610","1,056"
2021년06월_계_연령구간인구수,"229,222","5,522","9,393","11,339","8,002","8,450","16,612","16,029","12,983","17,927","27,107","2,339","9,824","29,170","19,859","33,610","1,056"
2021년06월_계_0~9세,"12,576",98,301,322,254,302,850,"1,116",512,864,"2,636",68,498,"1,164","1,329","2,194",68
2021년06월_계_10~19세,"17,277",257,466,544,346,428,"1,389","1,336",783,"1,194","2,470",96,676,"1,993","1,940","3,244",115
2021년06월_계_20~29세,"32,546",518,"1,104","1,238",799,875,"2,459","2,236","1,549","5,773","3,335",211,"1,036","4,427","2,539","4,368",79
2021년06월_계_30~39세,"24,486",438,921,"1,094",769,813,"1,741","1,937","1,393","1,973","3,683",204,911,"2,934","2,206","3,392",77
2021년06월_계_40~49세,"31,546",717,"1,111","1,322",938,"1,078","2,362","2,262","1,752","2,194","4,725",241,"1,203","3,589","3,015","4,876",161
2021년06월_계_50~59세,"39,367","1,054","1,847","2,214","1,526","1,408","2,895","2,769","2,228","2,211","3,723",459,"1,748","5,472","3,618","6,037",158
2021년06월_계_60~69세,"39,508","1,292","2,178","2,525","1,954","1,790","2,743","2,521","2,648","1,995","3,444",552,"1,942","5,225","3,027","5,444",228
2021년06월_계_70~79세,"21,633",767,"1,050","1,462","1,030","1,213","1,436","1,174","1,539","1,148","2,035",326,"1,215","2,967","1,474","2,688",109
2021년06월_계_80~89세,"9,057",337,380,557,346,487,646,591,518,508,888,161,530,"1,246",641,"1,172",49
2021년06월_계_90~99세,"1,160",32,34,52,36,55,89,84,57,66,158,20,63,150,68,185,11
2021년06월_계_100세 이상,66,12,1,9,4,1,2,3,4,1,10,1,2,3,2,10,1
2021년06월_남_총인구수,"112,056","2,833","4,688","5,679","4,237","4,050","7,977","7,685","6,239","9,296","13,051","1,250","4,829","14,233","9,444","16,056",509
2021년06월_남_연령구간인구수,"112,056","2,833","4,688","5,679","4,237","4,050","7,977","7,685","6,239","9,296","13,051","1,250","4,829","14,233","9,444","16,056",509
2021년06월_남_0~9세,"6,450",51,152,171,148,163,456,570,261,410,"1,387",38,259,594,680,"1,077",33
2021년06월_남_10~19세,"8,910",140,235,268,179,213,723,671,430,600,"1,365",56,360,"1,006",945,"1,658",61
2021년06월_남_20~29세,"17,602",295,607,693,453,470,"1,270","1,161",824,"3,360","1,719",116,603,"2,393","1,308","2,283",47
2021년06월_남_30~39세,"12,772",279,492,616,450,442,890,"1,004",738,"1,106","1,747",128,466,"1,607","1,101","1,670",36
2021년06월_남_40~49세,"15,707",424,609,733,571,598,"1,123","1,070",905,"1,134","2,325",132,580,"1,784","1,411","2,231",77
2021년06월_남_50~59세,"18,750",558,926,"1,118",791,676,"1,353","1,299","1,025","1,083","1,712",245,835,"2,573","1,663","2,813",80
2021년06월_남_60~69세,"18,421",610,"1,027","1,206",996,801,"1,264","1,148","1,161",888,"1,535",311,888,"2,469","1,420","2,586",111
2021년06월_남_70~79세,"9,862",347,500,651,514,513,636,541,698,502,911,157,590,"1,307",687,"1,259",49
2021년06월_남_80~89세,"3,309",124,132,216,128,158,236,200,187,198,325,61,222,467,216,428,11
2021년06월_남_90~99세,264,3,8,7,6,15,26,20,10,15,24,6,26,32,13,50,3
2021년06월_남_100세 이상,9,2,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1
2021년06월_여_총인구수,"117,166","2,689","4,705","5,660","3,765","4,400","8,635","8,344","6,744","8,631","14,056","1,089","4,995","14,937","10,415","17,554",547
2021년06월_여_연령구간인구수,"117,166","2,689","4,705","5,660","3,765","4,400","8,635","8,344","6,744","8,631","14,056","1,089","4,995","14,937","10,415","17,554",547
2021년06월_여_0~9세,"6,126",47,149,151,106,139,394,546,251,454,"1,249",30,239,570,649,"1,117",35
2021년06월_여_10~19세,"8,367",117,231,276,167,215,666,665,353,594,"1,105",40,316,987,995,"1,586",54
2021년06월_여_20~29세,"14,944",223,497,545,346,405,"1,189","1,075",725,"2,413","1,616",95,433,"2,034","1,231","2,085",32
2021년06월_여_30~39세,"11,714",159,429,478,319,371,851,933,655,867,"1,936",76,445,"1,327","1,105","1,722",41
2021년06월_여_40~49세,"15,839",293,502,589,367,480,"1,239","1,192",847,"1,060","2,400",109,623,"1,805","1,604","2,645",84
2021년06월_여_50~59세,"20,617",496,921,"1,096",735,732,"1,542","1,470","1,203","1,128","2,011",214,913,"2,899","1,955","3,224",78
2021년06월_여_60~69세,"21,087",682,"1,151","1,319",958,989,"1,479","1,373","1,487","1,107","1,909",241,"1,054","2,756","1,607","2,858",117
2021년06월_여_70~79세,"11,771",420,550,811,516,700,800,633,841,646,"1,124",169,625,"1,660",787,"1,429",60
2021년06월_여_80~89세,"5,748",213,248,341,218,329,410,391,331,310,563,100,308,779,425,744,38
2021년06월_여_90~99세,896,29,26,45,30,40,63,64,47,51,134,14,37,118,55,135,8
2021년06월_여_100세 이상,57,10,1,9,3,0,2,2,4,1,9,1,2,2,2,9,0
