카테고리,강원도 속초시,강원도 속초시 영랑동,강원도 속초시 동명동,강원도 속초시 금호동,강원도 속초시 교동,강원도 속초시 노학동,강원도 속초시 조양동,강원도 속초시 청호동,강원도 속초시 대포동
2021년05월_계_총인구수,"82,241","4,414","3,647","6,030","9,615","21,600","29,183","4,650","3,102"
2021년05월_계_연령구간인구수,"82,241","4,414","3,647","6,030","9,615","21,600","29,183","4,650","3,102"
2021년05월_계_0~9세,"5,759",165,245,213,528,"1,378","2,887",263,80
2021년05월_계_10~19세,"7,300",231,248,446,845,"2,187","2,973",257,113
2021년05월_계_20~29세,"8,876",405,316,590,"1,113","2,419","3,400",387,246
2021년05월_계_30~39세,"9,077",394,342,439,973,"2,214","3,977",517,221
2021년05월_계_40~49세,"12,269",494,495,730,"1,355","3,377","4,936",565,317
2021년05월_계_50~59세,"14,996",869,702,"1,185","1,727","4,067","4,914",898,634
2021년05월_계_60~69세,"13,271","1,031",672,"1,267","1,733","3,371","3,512",918,767
2021년05월_계_70~79세,"6,782",535,410,703,854,"1,630","1,697",492,461
2021년05월_계_80~89세,"3,288",249,186,373,414,805,761,282,218
2021년05월_계_90~99세,603,38,31,82,70,150,121,68,43
2021년05월_계_100세 이상,20,3,0,2,3,2,5,3,2
2021년05월_남_총인구수,"40,750","2,279","1,842","2,942","4,730","10,754","14,259","2,336","1,608"
2021년05월_남_연령구간인구수,"40,750","2,279","1,842","2,942","4,730","10,754","14,259","2,336","1,608"
2021년05월_남_0~9세,"2,931",82,134,116,266,689,"1,462",141,41
2021년05월_남_10~19세,"3,792",132,132,224,455,"1,115","1,533",125,76
2021년05월_남_20~29세,"4,980",247,177,345,615,"1,376","1,856",224,140
2021년05월_남_30~39세,"4,860",226,181,255,547,"1,189","2,032",287,143
2021년05월_남_40~49세,"6,166",281,268,374,689,"1,660","2,405",304,185
2021년05월_남_50~59세,"7,415",461,354,573,821,"2,030","2,352",490,334
2021년05월_남_60~69세,"6,401",501,331,606,832,"1,678","1,617",459,377
2021년05월_남_70~79세,"2,947",251,196,301,351,732,710,197,209
2021년05월_남_80~89세,"1,140",92,62,137,140,260,263,92,94
2021년05월_남_90~99세,112,5,7,10,14,25,27,16,8
2021년05월_남_100세 이상,6,1,0,1,0,0,2,1,1
2021년05월_여_총인구수,"41,491","2,135","1,805","3,088","4,885","10,846","14,924","2,314","1,494"
2021년05월_여_연령구간인구수,"41,491","2,135","1,805","3,088","4,885","10,846","14,924","2,314","1,494"
2021년05월_여_0~9세,"2,828",83,111,97,262,689,"1,425",122,39
2021년05월_여_10~19세,"3,508",99,116,222,390,"1,072","1,440",132,37
2021년05월_여_20~29세,"3,896",158,139,245,498,"1,043","1,544",163,106
2021년05월_여_30~39세,"4,217",168,161,184,426,"1,025","1,945",230,78
2021년05월_여_40~49세,"6,103",213,227,356,666,"1,717","2,531",261,132
2021년05월_여_50~59세,"7,581",408,348,612,906,"2,037","2,562",408,300
2021년05월_여_60~69세,"6,870",530,341,661,901,"1,693","1,895",459,390
2021년05월_여_70~79세,"3,835",284,214,402,503,898,987,295,252
2021년05월_여_80~89세,"2,148",157,124,236,274,545,498,190,124
2021년05월_여_90~99세,491,33,24,72,56,125,94,52,35
2021년05월_여_100세 이상,14,2,0,1,3,2,3,2,1
