,경기도 안양시,경기도 안양시 만안구,경기도 안양시 만안구 안양1동,경기도 안양시 만안구 안양2동,경기도 안양시 만안구 안양3동,경기도 안양시 만안구 안양4동,경기도 안양시 만안구 안양5동,경기도 안양시 만안구 안양6동,경기도 안양시 만안구 안양7동,경기도 안양시 만안구 안양8동,경기도 안양시 만안구 안양9동,경기도 안양시 만안구 석수1동,경기도 안양시 만안구 석수2동,경기도 안양시 만안구 석수3동,경기도 안양시 만안구 박달1동,경기도 안양시 만안구 박달2동,경기도 안양시 동안구,경기도 안양시 동안구 비산1동,경기도 안양시 동안구 비산2동,경기도 안양시 동안구 비산3동,경기도 안양시 동안구 부흥동,경기도 안양시 동안구 달안동,경기도 안양시 동안구 관양1동,경기도 안양시 동안구 관양2동,경기도 안양시 동안구 부림동,경기도 안양시 동안구 평촌동,경기도 안양시 동안구 평안동,경기도 안양시 동안구 귀인동,경기도 안양시 동안구 호계1동,경기도 안양시 동안구 호계2동,경기도 안양시 동안구 호계3동,경기도 안양시 동안구 범계동,경기도 안양시 동안구 신촌동,경기도 안양시 동안구 갈산동
2021년10월_계_총인구수,"547,258","239,203","12,509","21,361","16,569","6,978","10,290","26,237","15,829","10,689","17,327","19,442","31,489","13,259","14,926","22,298","308,055","21,117","10,914","12,925","17,145","10,802","36,063","18,945","26,739","14,605","23,506","16,653","18,029","19,753","21,454","15,521","12,867","11,017"
2021년10월_계_연령구간인구수,"547,258","239,203","12,509","21,361","16,569","6,978","10,290","26,237","15,829","10,689","17,327","19,442","31,489","13,259","14,926","22,298","308,055","21,117","10,914","12,925","17,145","10,802","36,063","18,945","26,739","14,605","23,506","16,653","18,029","19,753","21,454","15,521","12,867","11,017"
2021년10월_계_0~9세,"37,997","14,988",843,"1,101",768,242,443,"1,786","1,740",420,912,"1,338","2,020",839,610,"1,926","23,009","1,648",778,621,"1,299",648,"1,882","1,153","2,055","1,253","2,276","1,306","2,467","1,374","1,553","1,131",887,678
2021년10월_계_10~19세,"50,994","18,254","1,061","1,424","1,253",447,687,"1,572","1,312",652,"1,199","1,473","2,522","1,283","1,094","2,275","32,740","2,116","1,040",948,"2,199",681,"2,796","1,396","2,334","1,629","3,702","3,484","1,590","1,564","1,944","2,219","1,542","1,556"
2021년10월_계_20~29세,"75,534","33,899","1,904","3,396","2,446","1,028","1,399","3,984","1,912","1,571","2,336","2,473","4,411","1,884","2,074","3,081","41,635","2,823","1,546","1,894","2,052","1,410","5,667","2,900","3,567","2,063","2,501","1,776","1,992","3,091","3,139","1,981","1,794","1,439"
2021년10월_계_30~39세,"77,094","33,336","1,845","2,877","2,119",888,"1,290","5,046","2,677","1,432","2,132","2,646","4,008","1,471","1,638","3,267","43,758","2,677","1,386","1,672","2,080","2,238","4,683","2,905","5,605","1,831","3,119","1,218","3,838","2,979","2,926","1,980","1,566","1,055"
2021년10월_계_40~49세,"85,717","34,357","1,918","2,834","2,257",954,"1,416","3,838","2,658","1,392","2,217","2,815","4,613","1,989","2,043","3,413","51,360","3,312","1,611","1,669","3,166","1,760","4,725","2,891","4,864","2,343","5,149","3,927","3,244","2,695","3,171","2,874","2,082","1,877"
2021년10월_계_50~59세,"96,063","42,889","2,213","3,904","3,003","1,252","1,838","4,172","2,583","1,992","3,242","3,488","5,972","2,491","3,030","3,709","53,174","3,851","2,051","2,530","2,755","1,652","6,886","3,421","4,008","2,902","3,454","2,679","2,393","3,647","4,016","2,615","2,373","1,941"
2021년10월_계_60~69세,"75,024","36,546","1,637","3,426","2,844","1,109","1,803","3,545","1,848","1,955","3,088","3,086","4,622","2,028","2,517","3,038","38,478","3,023","1,595","2,148","2,126","1,370","5,674","2,546","2,613","1,593","2,015","1,333","1,659","2,917","3,161","1,538","1,712","1,455"
2021년10월_계_70~79세,"31,904","16,596",739,"1,642","1,309",645,904,"1,497",775,862,"1,459","1,388","2,201",824,"1,291","1,060","15,308","1,112",628,922,949,605,"2,446","1,138","1,055",604,739,577,582,993,"1,001",693,622,642
2021년10월_계_80~89세,"14,583","7,276",293,654,513,361,448,709,267,362,651,619,982,401,565,451,"7,307",475,234,450,440,370,"1,121",509,564,345,465,305,212,418,460,394,239,306
2021년10월_계_90~99세,"2,259","1,019",55,97,56,52,59,85,54,47,78,116,134,49,61,76,"1,240",78,44,69,76,67,173,83,73,36,83,48,47,74,80,95,50,64
2021년10월_계_100세 이상,89,43,1,6,1,0,3,3,3,4,13,0,4,0,3,2,46,2,1,2,3,1,10,3,1,6,3,0,5,1,3,1,0,4
2021년10월_남_총인구수,"270,572","119,745","6,262","10,707","8,260","3,493","5,107","13,423","7,763","5,558","8,563","9,552","15,763","6,676","7,477","11,141","150,827","10,317","5,281","6,474","8,207","4,889","17,590","9,609","12,982","7,165","11,436","8,213","9,077","9,706","10,724","7,427","6,354","5,376"
2021년10월_남_연령구간인구수,"270,572","119,745","6,262","10,707","8,260","3,493","5,107","13,423","7,763","5,558","8,563","9,552","15,763","6,676","7,477","11,141","150,827","10,317","5,281","6,474","8,207","4,889","17,590","9,609","12,982","7,165","11,436","8,213","9,077","9,706","10,724","7,427","6,354","5,376"
