카테고리,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2020년04월_계_총인구수,"94,461","17,189","20,523","2,952","3,078","13,140","15,713","7,115","4,600","10,151"
2020년04월_계_연령구간인구수,"94,461","17,189","20,523","2,952","3,078","13,140","15,713","7,115","4,600","10,151"
2020년04월_계_0~9세,"6,410",974,"1,472",54,71,"1,652","1,194",276,185,532
2020년04월_계_10~19세,"7,937","1,462","2,126",121,129,987,"1,624",459,230,799
2020년04월_계_20~29세,"9,768","1,764","2,323",178,192,"1,458","1,790",656,366,"1,041"
2020년04월_계_30~39세,"10,219","1,610","2,187",173,177,"2,429","1,764",630,334,915
2020년04월_계_40~49세,"14,119","2,415","3,422",241,236,"2,202","2,879",916,499,"1,309"
2020년04월_계_50~59세,"17,873","3,296","3,934",548,567,"1,820","3,142","1,599",950,"2,017"
2020년04월_계_60~69세,"14,571","2,928","2,713",684,766,"1,423","1,867","1,352","1,002","1,836"
2020년04월_계_70~79세,"8,256","1,735","1,440",535,551,729,894,731,599,"1,042"
2020년04월_계_80~89세,"4,570",866,784,370,333,358,486,428,376,569
2020년04월_계_90~99세,684,132,107,46,54,66,72,64,55,88
2020년04월_계_100세 이상,54,7,15,2,2,16,1,4,4,3
2020년04월_남_총인구수,"50,020","8,775","10,910","1,523","1,601","7,035","8,562","3,930","2,513","5,171"
2020년04월_남_연령구간인구수,"50,020","8,775","10,910","1,523","1,601","7,035","8,562","3,930","2,513","5,171"
2020년04월_남_0~9세,"3,329",496,770,29,35,870,612,162,98,257
2020년04월_남_10~19세,"4,146",741,"1,170",67,80,499,848,249,109,383
2020년04월_남_20~29세,"5,680",998,"1,393",109,108,768,"1,068",401,243,592
2020년04월_남_30~39세,"5,698",887,"1,199",108,106,"1,294","1,023",388,202,491
2020년04월_남_40~49세,"7,952","1,300","1,865",158,155,"1,249","1,582",589,320,734
2020년04월_남_50~59세,"9,896","1,760","2,184",298,311,994,"1,829",911,548,"1,061"
2020년04월_남_60~69세,"7,698","1,470","1,392",364,422,823,"1,003",734,547,943
2020년04월_남_70~79세,"3,879",796,636,240,263,370,415,340,303,516
2020년04월_남_80~89세,"1,553",285,275,142,106,139,164,140,127,175
2020년04월_남_90~99세,164,39,23,8,14,15,18,14,14,19
2020년04월_남_100세 이상,25,3,3,0,1,14,0,2,2,0
2020년04월_여_총인구수,"44,441","8,414","9,613","1,429","1,477","6,105","7,151","3,185","2,087","4,980"
2020년04월_여_연령구간인구수,"44,441","8,414","9,613","1,429","1,477","6,105","7,151","3,185","2,087","4,980"
2020년04월_여_0~9세,"3,081",478,702,25,36,782,582,114,87,275
2020년04월_여_10~19세,"3,791",721,956,54,49,488,776,210,121,416
2020년04월_여_20~29세,"4,088",766,930,69,84,690,722,255,123,449
2020년04월_여_30~39세,"4,521",723,988,65,71,"1,135",741,242,132,424
2020년04월_여_40~49세,"6,167","1,115","1,557",83,81,953,"1,297",327,179,575
2020년04월_여_50~59세,"7,977","1,536","1,750",250,256,826,"1,313",688,402,956
2020년04월_여_60~69세,"6,873","1,458","1,321",320,344,600,864,618,455,893
2020년04월_여_70~79세,"4,377",939,804,295,288,359,479,391,296,526
2020년04월_여_80~89세,"3,017",581,509,228,227,219,322,288,249,394
2020년04월_여_90~99세,520,93,84,38,40,51,54,50,41,69
2020년04월_여_100세 이상,29,4,12,2,1,2,1,2,2,3
