,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면
2020년12월_계_총인구수,"38,662","21,098","1,094","1,472","1,736","2,181","2,261","1,256","1,754","3,784","2,026"
2020년12월_계_연령구간인구수,"38,662","21,098","1,094","1,472","1,736","2,181","2,261","1,256","1,754","3,784","2,026"
2020년12월_계_0~9세,"1,677","1,294",21,26,29,37,47,38,48,95,42
2020년12월_계_10~19세,"2,869","2,116",29,53,73,94,96,52,71,198,87
2020년12월_계_20~29세,"3,311","2,344",47,71,90,142,121,97,101,222,76
2020년12월_계_30~39세,"2,780","1,886",52,62,63,105,114,88,119,191,100
2020년12월_계_40~49세,"4,614","2,970",103,115,161,204,222,134,183,336,186
2020년12월_계_50~59세,"7,364","3,786",219,339,405,451,432,270,327,742,393
2020년12월_계_60~69세,"8,091","3,374",272,383,477,563,640,310,425,"1,018",629
2020년12월_계_70~79세,"4,834","2,098",206,255,261,345,345,158,283,541,342
2020년12월_계_80~89세,"2,715","1,068",128,151,152,209,210,98,167,386,146
2020년12월_계_90~99세,355,142,15,16,22,24,29,10,29,45,23
2020년12월_계_100세 이상,52,20,2,1,3,7,5,1,1,10,2
2020년12월_남_총인구수,"19,986","10,791",570,766,896,"1,141","1,192",702,948,"1,944","1,036"
2020년12월_남_연령구간인구수,"19,986","10,791",570,766,896,"1,141","1,192",702,948,"1,944","1,036"
2020년12월_남_0~9세,889,693,14,12,16,19,19,20,27,48,21
2020년12월_남_10~19세,"1,536","1,147",16,21,37,41,56,28,31,115,44
2020년12월_남_20~29세,"1,918","1,329",30,45,57,89,75,63,59,128,43
2020년12월_남_30~39세,"1,518",985,28,39,33,59,75,50,87,111,51
2020년12월_남_40~49세,"2,535","1,530",67,75,87,130,137,79,123,195,112
2020년12월_남_50~59세,"4,071","2,066",133,190,215,259,247,168,195,396,202
2020년12월_남_60~69세,"4,224","1,705",138,220,257,305,349,169,223,542,316
2020년12월_남_70~79세,"2,191",912,92,106,135,151,160,84,128,247,176
2020년12월_남_80~89세,989,384,48,52,54,79,64,38,63,145,62
2020년12월_남_90~99세,99,34,3,5,5,6,8,3,12,14,9
2020년12월_남_100세 이상,16,6,1,1,0,3,2,0,0,3,0
2020년12월_여_총인구수,"18,676","10,307",524,706,840,"1,040","1,069",554,806,"1,840",990
2020년12월_여_연령구간인구수,"18,676","10,307",524,706,840,"1,040","1,069",554,806,"1,840",990
2020년12월_여_0~9세,788,601,7,14,13,18,28,18,21,47,21
2020년12월_여_10~19세,"1,333",969,13,32,36,53,40,24,40,83,43
2020년12월_여_20~29세,"1,393","1,015",17,26,33,53,46,34,42,94,33
2020년12월_여_30~39세,"1,262",901,24,23,30,46,39,38,32,80,49
2020년12월_여_40~49세,"2,079","1,440",36,40,74,74,85,55,60,141,74
2020년12월_여_50~59세,"3,293","1,720",86,149,190,192,185,102,132,346,191
2020년12월_여_60~69세,"3,867","1,669",134,163,220,258,291,141,202,476,313
2020년12월_여_70~79세,"2,643","1,186",114,149,126,194,185,74,155,294,166
2020년12월_여_80~89세,"1,726",684,80,99,98,130,146,60,104,241,84
2020년12월_여_90~99세,256,108,12,11,17,18,21,7,17,31,14
2020년12월_여_100세 이상,36,14,1,0,3,4,3,1,1,7,2
