카테고리,전라북도 김제시,전라북도 김제시 만경읍,전라북도 김제시 죽산면,전라북도 김제시 백산면,전라북도 김제시 용지면,전라북도 김제시 백구면,전라북도 김제시 부량면,전라북도 김제시 공덕면,전라북도 김제시 청하면,전라북도 김제시 성덕면,전라북도 김제시 진봉면,전라북도 김제시 금구면,전라북도 김제시 봉남면,전라북도 김제시 황산면,전라북도 김제시 금산면,전라북도 김제시 광활면,전라북도 김제시 요촌동,전라북도 김제시 신풍동,전라북도 김제시 검산동,전라북도 김제시 교월동
2021년07월_계_총인구수,"81,406","2,622","2,440","2,491","3,503","3,744","1,311","2,499","1,755","1,775","2,588","5,001","2,211","1,881","4,544","1,343","11,079","12,747","11,401","6,471"
2021년07월_계_연령구간인구수,"81,406","2,622","2,440","2,491","3,503","3,744","1,311","2,499","1,755","1,775","2,588","5,001","2,211","1,881","4,544","1,343","11,079","12,747","11,401","6,471"
2021년07월_계_0~9세,"4,074",76,59,66,86,123,43,68,52,48,35,192,73,46,122,43,729,840,940,433
2021년07월_계_10~19세,"6,072",121,96,117,150,193,60,123,75,71,98,305,84,71,193,58,"1,011","1,401","1,350",495
2021년07월_계_20~29세,"7,014",159,121,144,253,250,83,182,84,102,129,414,118,145,300,77,"1,267","1,333","1,296",557
2021년07월_계_30~39세,"6,385",150,122,154,197,263,87,153,96,96,125,320,119,94,266,75,"1,106","1,192","1,156",614
2021년07월_계_40~49세,"9,684",239,210,235,321,367,99,204,163,176,230,542,184,167,417,135,"1,563","1,873","1,813",746
2021년07월_계_50~59세,"13,340",416,338,421,551,641,193,431,271,267,375,935,310,328,836,206,"1,789","2,132","1,863","1,037"
2021년07월_계_60~69세,"14,958",656,595,552,792,774,283,573,385,398,582,"1,026",501,400,"1,018",280,"1,741","1,817","1,472","1,113"
2021년07월_계_70~79세,"11,356",428,487,481,645,646,245,406,332,340,569,763,426,340,778,277,"1,139","1,282",918,854
2021년07월_계_80~89세,"7,266",321,357,272,422,412,190,302,250,226,378,441,349,255,514,163,615,778,490,531
2021년07월_계_90~99세,"1,214",56,54,44,84,74,28,54,47,49,66,62,43,33,92,29,115,99,102,83
2021년07월_계_100세 이상,43,0,1,5,2,1,0,3,0,2,1,1,4,2,8,0,4,0,1,8
2021년07월_남_총인구수,"40,424","1,317","1,199","1,332","1,790","1,829",623,"1,284",879,895,"1,251","2,553","1,092",953,"2,294",694,"5,478","6,177","5,552","3,232"
2021년07월_남_연령구간인구수,"40,424","1,317","1,199","1,332","1,790","1,829",623,"1,284",879,895,"1,251","2,553","1,092",953,"2,294",694,"5,478","6,177","5,552","3,232"
2021년07월_남_0~9세,"2,124",46,32,37,47,64,22,34,30,22,19,98,43,23,54,22,378,436,482,235
2021년07월_남_10~19세,"3,091",70,57,65,80,88,35,65,42,39,48,159,42,39,108,28,488,708,681,249
2021년07월_남_20~29세,"3,916",95,78,90,140,133,50,108,52,63,79,226,74,83,182,48,688,721,694,312
2021년07월_남_30~39세,"3,414",86,71,100,118,146,49,87,57,58,76,185,74,62,153,45,568,599,574,306
2021년07월_남_40~49세,"5,439",147,137,156,221,218,64,131,105,113,150,332,130,109,262,100,811,949,882,422
2021년07월_남_50~59세,"7,337",230,194,275,312,353,102,254,155,160,219,516,176,191,474,121,948,"1,083",994,580
2021년07월_남_60~69세,"7,564",337,299,293,430,394,139,308,190,219,298,542,255,221,531,141,830,867,706,564
2021년07월_남_70~79세,"4,980",202,227,220,291,288,100,191,146,142,230,335,178,141,343,122,526,543,374,381
2021년07월_남_80~89세,"2,285",94,96,87,127,122,55,88,92,69,120,143,113,76,160,57,212,247,152,175
2021년07월_남_90~99세,268,10,7,9,23,22,7,18,10,10,11,17,7,8,27,10,27,24,13,8
2021년07월_남_100세 이상,6,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0
2021년07월_여_총인구수,"40,982","1,305","1,241","1,159","1,713","1,915",688,"1,215",876,880,"1,337","2,448","1,119",928,"2,250",649,"5,601","6,570","5,849","3,239"
2021년07월_여_연령구간인구수,"40,982","1,305","1,241","1,159","1,713","1,915",688,"1,215",876,880,"1,337","2,448","1,119",928,"2,250",649,"5,601","6,570","5,849","3,239"
2021년07월_여_0~9세,"1,950",30,27,29,39,59,21,34,22,26,16,94,30,23,68,21,351,404,458,198
2021년07월_여_10~19세,"2,981",51,39,52,70,105,25,58,33,32,50,146,42,32,85,30,523,693,669,246
2021년07월_여_20~29세,"3,098",64,43,54,113,117,33,74,32,39,50,188,44,62,118,29,579,612,602,245
2021년07월_여_30~39세,"2,971",64,51,54,79,117,38,66,39,38,49,135,45,32,113,30,538,593,582,308
2021년07월_여_40~49세,"4,245",92,73,79,100,149,35,73,58,63,80,210,54,58,155,35,752,924,931,324
2021년07월_여_50~59세,"6,003",186,144,146,239,288,91,177,116,107,156,419,134,137,362,85,841,"1,049",869,457
2021년07월_여_60~69세,"7,394",319,296,259,362,380,144,265,195,179,284,484,246,179,487,139,911,950,766,549
2021년07월_여_70~79세,"6,376",226,260,261,354,358,145,215,186,198,339,428,248,199,435,155,613,739,544,473
2021년07월_여_80~89세,"4,981",227,261,185,295,290,135,214,158,157,258,298,236,179,354,106,403,531,338,356
2021년07월_여_90~99세,946,46,47,35,61,52,21,36,37,39,55,45,36,25,65,19,88,75,89,75
2021년07월_여_100세 이상,37,0,0,5,1,0,0,3,0,2,0,1,4,2,8,0,2,0,1,8
