,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2021년04월_계_총인구수,"104,383","5,346","1,310","7,109","5,192","3,070","2,817","3,929","4,278","8,362","3,411","4,995","1,794","2,692","16,075","20,213","7,925","5,865"
2021년04월_계_연령구간인구수,"104,383","5,346","1,310","7,109","5,192","3,070","2,817","3,929","4,278","8,362","3,411","4,995","1,794","2,692","16,075","20,213","7,925","5,865"
2021년04월_계_0~9세,"5,458",142,18,275,115,58,61,87,74,436,83,96,35,64,"1,332","1,880",377,325
2021년04월_계_10~19세,"7,713",238,53,403,229,85,114,222,148,514,124,258,58,137,"1,403","2,547",619,561
2021년04월_계_20~29세,"8,950",315,131,477,361,155,174,199,213,647,168,304,92,221,"1,920","2,149",764,660
2021년04월_계_30~39세,"8,722",329,71,473,323,143,148,170,241,640,163,236,65,190,"2,137","2,103",702,588
2021년04월_계_40~49세,"12,846",500,97,760,475,203,260,355,308,984,305,373,130,302,"2,436","3,464","1,043",851
2021년04월_계_50~59세,"18,552",971,226,"1,309",995,520,551,732,875,"1,476",569,858,277,507,"2,805","3,322","1,430","1,129"
2021년04월_계_60~69세,"21,438","1,385",335,"1,639","1,338",944,742,"1,066","1,278","1,808",938,"1,320",507,612,"2,387","2,651","1,473","1,015"
2021년04월_계_70~79세,"12,764",927,220,"1,081",788,569,473,684,708,"1,130",642,859,347,421,"1,087","1,366",945,517
2021년04월_계_80~89세,"7,009",476,137,621,496,343,256,358,380,642,383,608,253,217,475,651,516,197
2021년04월_계_90~99세,905,61,22,67,70,50,35,54,50,84,34,80,30,21,92,78,56,21
2021년04월_계_100세 이상,26,2,0,4,2,0,3,2,3,1,2,3,0,0,1,2,0,1
2021년04월_남_총인구수,"51,224","2,666",650,"3,561","2,681","1,466","1,442","2,014","2,105","4,142","1,690","2,446",872,"1,299","7,949","9,747","3,667","2,827"
2021년04월_남_연령구간인구수,"51,224","2,666",650,"3,561","2,681","1,466","1,442","2,014","2,105","4,142","1,690","2,446",872,"1,299","7,949","9,747","3,667","2,827"
2021년04월_남_0~9세,"2,797",78,9,151,65,28,34,47,41,221,40,52,16,32,641,995,196,151
2021년04월_남_10~19세,"4,041",121,29,213,125,46,68,125,75,259,71,147,30,73,735,"1,343",300,281
2021년04월_남_20~29세,"5,201",193,72,293,244,100,116,126,131,393,93,171,61,147,"1,082","1,212",398,369
2021년04월_남_30~39세,"4,618",191,44,275,197,80,82,99,137,341,98,139,39,96,"1,116","1,014",369,301
2021년04월_남_40~49세,"6,802",305,66,462,287,129,160,225,180,558,193,204,81,161,"1,235","1,630",503,423
2021년04월_남_50~59세,"9,379",498,127,695,547,258,297,391,432,759,301,474,120,255,"1,406","1,574",706,539
2021년04월_남_60~69세,"10,476",703,157,784,691,451,377,556,655,915,463,673,280,281,"1,129","1,193",691,477
2021년04월_남_70~79세,"5,572",412,99,488,346,273,221,329,338,482,300,382,157,181,436,568,336,224
2021년04월_남_80~89세,"2,162",153,44,189,166,89,82,109,107,195,126,191,82,69,146,202,155,57
2021년04월_남_90~99세,171,11,3,11,13,12,4,7,8,19,4,13,6,4,23,15,13,5
2021년04월_남_100세 이상,5,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
2021년04월_여_총인구수,"53,159","2,680",660,"3,548","2,511","1,604","1,375","1,915","2,173","4,220","1,721","2,549",922,"1,393","8,126","10,466","4,258","3,038"
2021년04월_여_연령구간인구수,"53,159","2,680",660,"3,548","2,511","1,604","1,375","1,915","2,173","4,220","1,721","2,549",922,"1,393","8,126","10,466","4,258","3,038"
2021년04월_여_0~9세,"2,661",64,9,124,50,30,27,40,33,215,43,44,19,32,691,885,181,174
2021년04월_여_10~19세,"3,672",117,24,190,104,39,46,97,73,255,53,111,28,64,668,"1,204",319,280
2021년04월_여_20~29세,"3,749",122,59,184,117,55,58,73,82,254,75,133,31,74,838,937,366,291
2021년04월_여_30~39세,"4,104",138,27,198,126,63,66,71,104,299,65,97,26,94,"1,021","1,089",333,287
2021년04월_여_40~49세,"6,044",195,31,298,188,74,100,130,128,426,112,169,49,141,"1,201","1,834",540,428
2021년04월_여_50~59세,"9,173",473,99,614,448,262,254,341,443,717,268,384,157,252,"1,399","1,748",724,590
2021년04월_여_60~69세,"10,962",682,178,855,647,493,365,510,623,893,475,647,227,331,"1,258","1,458",782,538
2021년04월_여_70~79세,"7,192",515,121,593,442,296,252,355,370,648,342,477,190,240,651,798,609,293
2021년04월_여_80~89세,"4,847",323,93,432,330,254,174,249,273,447,257,417,171,148,329,449,361,140
2021년04월_여_90~99세,734,50,19,56,57,38,31,47,42,65,30,67,24,17,69,63,43,16
2021년04월_여_100세 이상,21,1,0,4,2,0,2,2,2,1,1,3,0,0,1,1,0,1
