,전라북도 진안군,전라북도 진안군 진안읍,전라북도 진안군 용담면,전라북도 진안군 안천면,전라북도 진안군 동향면,전라북도 진안군 상전면,전라북도 진안군 백운면,전라북도 진안군 성수면,전라북도 진안군 마령면,전라북도 진안군 부귀면,전라북도 진안군 정천면,전라북도 진안군 주천면
2020년11월_계_총인구수,"25,351","10,090",829,"1,094","1,399",882,"1,952","1,788","1,859","2,880","1,076","1,502"
2020년11월_계_연령구간인구수,"25,351","10,090",829,"1,094","1,399",882,"1,952","1,788","1,859","2,880","1,076","1,502"
2020년11월_계_0~9세,"1,281",680,18,47,55,38,80,76,59,133,56,39
2020년11월_계_10~19세,"1,676",849,26,79,83,38,87,84,85,215,64,66
2020년11월_계_20~29세,"1,943",932,36,64,73,49,150,127,138,227,62,85
2020년11월_계_30~39세,"1,642",838,30,51,55,65,99,97,93,186,79,49
2020년11월_계_40~49세,"2,761","1,335",65,92,123,77,193,181,151,321,93,130
2020년11월_계_50~59세,"4,521","1,688",178,205,254,166,355,305,340,541,205,284
2020년11월_계_60~69세,"4,820","1,593",222,214,300,197,406,376,364,609,227,312
2020년11월_계_70~79세,"3,833","1,250",153,187,244,140,316,314,367,394,152,316
2020년11월_계_80~89세,"2,476",807,87,132,177,105,227,196,229,209,118,189
2020년11월_계_90~99세,371,108,12,23,32,7,37,27,30,44,19,32
2020년11월_계_100세 이상,27,10,2,0,3,0,2,5,3,1,1,0
2020년11월_남_총인구수,"12,784","5,060",411,534,665,446,"1,010",899,924,"1,500",564,771
2020년11월_남_연령구간인구수,"12,784","5,060",411,534,665,446,"1,010",899,924,"1,500",564,771
2020년11월_남_0~9세,627,328,8,19,24,16,43,40,30,69,27,23
2020년11월_남_10~19세,890,434,15,42,41,18,52,46,47,119,39,37
2020년11월_남_20~29세,"1,099",525,21,39,42,30,83,65,67,138,41,48
2020년11월_남_30~39세,798,386,18,25,20,34,63,41,46,93,44,28
2020년11월_남_40~49세,"1,605",757,40,49,65,47,124,116,97,178,53,79
2020년11월_남_50~59세,"2,547",936,98,109,143,88,202,180,201,312,106,172
2020년11월_남_60~69세,"2,546",836,113,116,158,108,206,202,184,326,128,169
2020년11월_남_70~79세,"1,764",563,71,84,115,66,150,148,163,190,73,141
2020년11월_남_80~89세,808,261,24,45,46,37,82,54,79,65,48,67
2020년11월_남_90~99세,91,30,2,6,10,2,5,5,9,10,5,7
2020년11월_남_100세 이상,9,4,1,0,1,0,0,2,1,0,0,0
2020년11월_여_총인구수,"12,567","5,030",418,560,734,436,942,889,935,"1,380",512,731
2020년11월_여_연령구간인구수,"12,567","5,030",418,560,734,436,942,889,935,"1,380",512,731
2020년11월_여_0~9세,654,352,10,28,31,22,37,36,29,64,29,16
2020년11월_여_10~19세,786,415,11,37,42,20,35,38,38,96,25,29
2020년11월_여_20~29세,844,407,15,25,31,19,67,62,71,89,21,37
2020년11월_여_30~39세,844,452,12,26,35,31,36,56,47,93,35,21
2020년11월_여_40~49세,"1,156",578,25,43,58,30,69,65,54,143,40,51
2020년11월_여_50~59세,"1,974",752,80,96,111,78,153,125,139,229,99,112
2020년11월_여_60~69세,"2,274",757,109,98,142,89,200,174,180,283,99,143
2020년11월_여_70~79세,"2,069",687,82,103,129,74,166,166,204,204,79,175
2020년11월_여_80~89세,"1,668",546,63,87,131,68,145,142,150,144,70,122
2020년11월_여_90~99세,280,78,10,17,22,5,32,22,21,34,14,25
2020년11월_여_100세 이상,18,6,1,0,2,0,2,3,2,1,1,0
