,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2021년06월_계_총인구수,"8,990","6,352",873,439,"1,326"
2021년06월_계_연령구간인구수,"8,990","6,352",873,439,"1,326"
2021년06월_계_0~9세,399,296,37,17,49
2021년06월_계_10~19세,450,349,39,19,43
2021년06월_계_20~29세,809,598,76,22,113
2021년06월_계_30~39세,853,650,63,34,106
2021년06월_계_40~49세,"1,260",948,98,30,184
2021년06월_계_50~59세,"1,793","1,292",180,83,238
2021년06월_계_60~69세,"1,783","1,224",180,97,282
2021년06월_계_70~79세,"1,053",677,117,84,175
2021년06월_계_80~89세,504,277,76,35,116
2021년06월_계_90~99세,83,38,7,18,20
2021년06월_계_100세 이상,3,3,0,0,0
2021년06월_남_총인구수,"4,935","3,487",480,237,731
2021년06월_남_연령구간인구수,"4,935","3,487",480,237,731
2021년06월_남_0~9세,201,150,17,8,26
2021년06월_남_10~19세,231,170,25,13,23
2021년06월_남_20~29세,499,356,62,9,72
2021년06월_남_30~39세,517,399,35,20,63
2021년06월_남_40~49세,771,564,62,23,122
2021년06월_남_50~59세,"1,063",766,104,50,143
2021년06월_남_60~69세,939,642,101,49,147
2021년06월_남_70~79세,491,315,48,47,81
2021년06월_남_80~89세,201,116,24,12,49
2021년06월_남_90~99세,22,9,2,6,5
2021년06월_남_100세 이상,0,0,0,0,0
2021년06월_여_총인구수,"4,055","2,865",393,202,595
2021년06월_여_연령구간인구수,"4,055","2,865",393,202,595
2021년06월_여_0~9세,198,146,20,9,23
2021년06월_여_10~19세,219,179,14,6,20
2021년06월_여_20~29세,310,242,14,13,41
2021년06월_여_30~39세,336,251,28,14,43
2021년06월_여_40~49세,489,384,36,7,62
2021년06월_여_50~59세,730,526,76,33,95
2021년06월_여_60~69세,844,582,79,48,135
2021년06월_여_70~79세,562,362,69,37,94
2021년06월_여_80~89세,303,161,52,23,67
2021년06월_여_90~99세,61,29,5,12,15
2021년06월_여_100세 이상,3,3,0,0,0
