카테고리,경상남도 양산시,경상남도 양산시 물금읍,경상남도 양산시 동면,경상남도 양산시 원동면,경상남도 양산시 상북면,경상남도 양산시 하북면,경상남도 양산시 중앙동,경상남도 양산시 양주동,경상남도 양산시 삼성동,경상남도 양산시 강서동,경상남도 양산시 서창동,경상남도 양산시 소주동,경상남도 양산시 평산동,경상남도 양산시 덕계동
2020년02월_계_총인구수,"351,457","118,756","35,358","3,426","13,221","8,549","11,363","34,247","22,436","9,228","28,952","20,231","31,158","14,532"
2020년02월_계_연령구간인구수,"351,457","118,756","35,358","3,426","13,221","8,549","11,363","34,247","22,436","9,228","28,952","20,231","31,158","14,532"
2020년02월_계_0~9세,"36,047","16,499","5,059",92,589,209,439,"2,871","1,496",787,"2,639","1,530","2,670","1,167"
2020년02월_계_10~19세,"34,264","12,083","2,684",109,921,539,648,"4,453","1,906","1,082","3,340","1,793","3,366","1,340"
2020년02월_계_20~29세,"41,342","14,456","3,510",193,"1,409",923,"1,439","4,700","3,258","1,049","3,294","2,230","3,233","1,648"
2020년02월_계_30~39세,"51,670","22,010","6,998",211,"1,172",635,"1,246","3,693","3,171","1,162","3,639","2,484","3,483","1,766"
2020년02월_계_40~49세,"60,481","21,131","6,068",296,"1,754","1,020","1,474","6,492","3,636","1,710","5,531","3,414","5,618","2,337"
2020년02월_계_50~59세,"58,216","16,524","4,853",654,"2,908","2,001","2,476","6,089","4,645","1,574","4,844","3,840","5,094","2,714"
2020년02월_계_60~69세,"40,060","10,025","3,767",913,"2,430","1,820","2,214","3,208","2,727","1,087","3,358","2,689","3,875","1,947"
2020년02월_계_70~79세,"20,118","4,197","1,749",613,"1,368",863,978,"1,902","1,106",526,"1,620","1,503","2,608","1,085"
2020년02월_계_80~89세,"8,202","1,607",586,295,585,448,392,769,422,229,600,686,"1,110",473
2020년02월_계_90~99세,"1,002",216,82,48,77,84,48,69,66,22,78,60,97,55
2020년02월_계_100세 이상,55,8,2,2,8,7,9,1,3,0,9,2,4,0
2020년02월_남_총인구수,"176,425","58,769","17,913","1,772","6,719","4,514","6,046","16,594","11,752","4,630","15,009","10,101","15,281","7,325"
2020년02월_남_연령구간인구수,"176,425","58,769","17,913","1,772","6,719","4,514","6,046","16,594","11,752","4,630","15,009","10,101","15,281","7,325"
2020년02월_남_0~9세,"18,446","8,441","2,610",52,289,102,234,"1,463",762,401,"1,360",764,"1,362",606
2020년02월_남_10~19세,"17,624","6,201","1,348",50,461,291,368,"2,335","1,014",499,"1,730",913,"1,720",694
2020년02월_남_20~29세,"22,116","7,192","1,905",117,825,564,857,"2,466","1,875",560,"1,860","1,221","1,754",920
2020년02월_남_30~39세,"26,484","10,870","3,537",135,666,380,740,"1,778","1,820",628,"1,935","1,305","1,757",933
2020년02월_남_40~49세,"30,703","10,586","3,264",179,941,543,841,"2,970","1,898",867,"2,896","1,727","2,823","1,168"
2020년02월_남_50~59세,"29,427","8,103","2,381",358,"1,488","1,068","1,275","3,032","2,342",830,"2,614","1,982","2,576","1,378"
2020년02월_남_60~69세,"19,673","4,930","1,805",465,"1,244",985,"1,127","1,455","1,439",543,"1,658","1,325","1,733",964
2020년02월_남_70~79세,"8,943","1,906",854,308,595,414,464,793,464,234,731,618,"1,089",473
2020년02월_남_80~89세,"2,785",502,192,97,191,149,125,287,116,67,212,230,438,179
2020년02월_남_90~99세,216,37,17,11,16,18,14,15,20,1,13,16,28,10
2020년02월_남_100세 이상,8,1,0,0,3,0,1,0,2,0,0,0,1,0
2020년02월_여_총인구수,"175,032","59,987","17,445","1,654","6,502","4,035","5,317","17,653","10,684","4,598","13,943","10,130","15,877","7,207"
2020년02월_여_연령구간인구수,"175,032","59,987","17,445","1,654","6,502","4,035","5,317","17,653","10,684","4,598","13,943","10,130","15,877","7,207"
2020년02월_여_0~9세,"17,601","8,058","2,449",40,300,107,205,"1,408",734,386,"1,279",766,"1,308",561
2020년02월_여_10~19세,"16,640","5,882","1,336",59,460,248,280,"2,118",892,583,"1,610",880,"1,646",646
2020년02월_여_20~29세,"19,226","7,264","1,605",76,584,359,582,"2,234","1,383",489,"1,434","1,009","1,479",728
2020년02월_여_30~39세,"25,186","11,140","3,461",76,506,255,506,"1,915","1,351",534,"1,704","1,179","1,726",833
2020년02월_여_40~49세,"29,778","10,545","2,804",117,813,477,633,"3,522","1,738",843,"2,635","1,687","2,795","1,169"
2020년02월_여_50~59세,"28,789","8,421","2,472",296,"1,420",933,"1,201","3,057","2,303",744,"2,230","1,858","2,518","1,336"
2020년02월_여_60~69세,"20,387","5,095","1,962",448,"1,186",835,"1,087","1,753","1,288",544,"1,700","1,364","2,142",983
2020년02월_여_70~79세,"11,175","2,291",895,305,773,449,514,"1,109",642,292,889,885,"1,519",612
2020년02월_여_80~89세,"5,417","1,105",394,198,394,299,267,482,306,162,388,456,672,294
2020년02월_여_90~99세,786,179,65,37,61,66,34,54,46,21,65,44,69,45
2020년02월_여_100세 이상,47,7,2,2,5,7,8,1,1,0,9,2,3,0
