카테고리,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2021년05월_계_총인구수,"32,180","14,873","1,886","1,477","2,168","1,644","2,286","1,896",744,"1,746","1,675","1,785"
2021년05월_계_연령구간인구수,"32,180","14,873","1,886","1,477","2,168","1,644","2,286","1,896",744,"1,746","1,675","1,785"
2021년05월_계_0~9세,"1,404",980,29,79,51,23,60,44,23,48,35,32
2021년05월_계_10~19세,"2,063","1,310",85,78,93,55,119,89,23,63,67,81
2021년05월_계_20~29세,"2,334","1,379",122,105,83,83,154,111,23,83,91,100
2021년05월_계_30~39세,"2,101","1,268",84,141,81,67,154,88,18,52,75,73
2021년05월_계_40~49세,"3,237","1,930",149,160,147,103,185,150,55,112,102,144
2021년05월_계_50~59세,"5,720","2,650",385,240,376,249,377,309,128,325,336,345
2021년05월_계_60~69세,"7,129","2,653",501,295,566,433,545,529,238,472,422,475
2021년05월_계_70~79세,"4,520","1,549",338,197,421,328,380,301,135,314,284,273
2021년05월_계_80~89세,"3,157",995,157,158,307,269,283,234,87,234,216,217
2021년05월_계_90~99세,501,153,35,23,41,34,28,40,14,42,46,45
2021년05월_계_100세 이상,14,6,1,1,2,0,1,1,0,1,1,0
2021년05월_남_총인구수,"16,236","7,420",987,786,"1,038",804,"1,155",956,404,874,865,947
2021년05월_남_연령구간인구수,"16,236","7,420",987,786,"1,038",804,"1,155",956,404,874,865,947
2021년05월_남_0~9세,716,484,16,43,26,14,31,25,13,25,19,20
2021년05월_남_10~19세,"1,104",711,44,34,48,30,63,41,13,32,39,49
2021년05월_남_20~29세,"1,381",789,81,75,44,48,92,61,13,53,63,62
2021년05월_남_30~39세,"1,158",644,55,87,48,41,106,53,11,25,42,46
2021년05월_남_40~49세,"1,802","1,010",94,94,91,65,113,86,36,78,60,75
2021년05월_남_50~59세,"3,164","1,411",210,150,204,148,211,173,79,187,194,197
2021년05월_남_60~69세,"3,681","1,303",272,147,286,210,272,295,132,251,242,271
2021년05월_남_70~79세,"2,053",689,143,95,184,147,169,143,75,146,120,142
2021년05월_남_80~89세,"1,069",343,64,55,95,92,95,77,31,70,74,73
2021년05월_남_90~99세,108,36,8,6,12,9,3,2,1,7,12,12
2021년05월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0
2021년05월_여_총인구수,"15,944","7,453",899,691,"1,130",840,"1,131",940,340,872,810,838
2021년05월_여_연령구간인구수,"15,944","7,453",899,691,"1,130",840,"1,131",940,340,872,810,838
2021년05월_여_0~9세,688,496,13,36,25,9,29,19,10,23,16,12
2021년05월_여_10~19세,959,599,41,44,45,25,56,48,10,31,28,32
2021년05월_여_20~29세,953,590,41,30,39,35,62,50,10,30,28,38
2021년05월_여_30~39세,943,624,29,54,33,26,48,35,7,27,33,27
2021년05월_여_40~49세,"1,435",920,55,66,56,38,72,64,19,34,42,69
2021년05월_여_50~59세,"2,556","1,239",175,90,172,101,166,136,49,138,142,148
2021년05월_여_60~69세,"3,448","1,350",229,148,280,223,273,234,106,221,180,204
2021년05월_여_70~79세,"2,467",860,195,102,237,181,211,158,60,168,164,131
2021년05월_여_80~89세,"2,088",652,93,103,212,177,188,157,56,164,142,144
2021년05월_여_90~99세,393,117,27,17,29,25,25,38,13,35,34,33
2021년05월_여_100세 이상,14,6,1,1,2,0,1,1,0,1,1,0
