카테고리,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2021년11월_계_총인구수,"50,798","11,079","13,369","4,805","2,242","1,615","2,468","1,457","1,241","1,233","2,081","2,028","2,862","4,318"
2021년11월_계_연령구간인구수,"50,798","11,079","13,369","4,805","2,242","1,615","2,468","1,457","1,241","1,233","2,081","2,028","2,862","4,318"
2021년11월_계_0~9세,"2,135",517,928,135,48,24,66,43,30,30,34,46,40,194
2021년11월_계_10~19세,"3,342",841,"1,457",227,58,59,101,64,40,21,69,80,90,235
2021년11월_계_20~29세,"3,639","1,050","1,276",262,88,73,104,73,54,35,78,95,178,273
2021년11월_계_30~39세,"3,204",862,"1,028",258,111,54,110,73,54,41,82,96,129,306
2021년11월_계_40~49세,"5,431","1,448","1,848",468,148,136,204,90,73,95,134,128,219,440
2021년11월_계_50~59세,"8,219","1,921","2,285",763,299,219,363,194,165,174,301,298,491,746
2021년11월_계_60~69세,"10,526","2,062","2,144","1,088",513,389,537,358,307,319,561,502,751,995
2021년11월_계_70~79세,"7,996","1,471","1,430",907,473,331,492,283,237,283,427,416,556,690
2021년11월_계_80~89세,"5,383",790,822,595,433,273,420,235,243,204,338,308,340,382
2021년11월_계_90~99세,901,111,149,100,70,56,70,43,37,31,55,57,67,55
2021년11월_계_100세 이상,22,6,2,2,1,1,1,1,1,0,2,2,1,2
2021년11월_남_총인구수,"25,078","5,547","6,532","2,399","1,087",794,"1,155",696,596,625,"1,010",976,"1,417","2,244"
2021년11월_남_연령구간인구수,"25,078","5,547","6,532","2,399","1,087",794,"1,155",696,596,625,"1,010",976,"1,417","2,244"
2021년11월_남_0~9세,"1,080",253,467,69,30,9,33,20,17,21,15,25,27,94
2021년11월_남_10~19세,"1,715",441,760,118,34,30,43,30,20,10,34,36,43,116
2021년11월_남_20~29세,"2,110",579,727,149,55,41,57,49,32,23,45,58,123,172
2021년11월_남_30~39세,"1,788",464,501,162,69,33,65,41,30,25,48,64,79,207
2021년11월_남_40~49세,"2,936",769,885,271,92,87,111,55,44,65,79,69,135,274
2021년11월_남_50~59세,"4,511","1,077","1,196",438,158,127,200,103,95,105,154,173,265,420
2021년11월_남_60~69세,"5,178",993,"1,008",563,263,193,251,177,160,155,288,257,366,504
2021년11월_남_70~79세,"3,618",645,654,396,216,150,225,139,108,136,210,192,254,293
2021년11월_남_80~89세,"1,917",297,293,208,154,108,150,73,81,80,126,89,109,149
2021년11월_남_90~99세,224,29,41,24,16,16,20,9,9,5,11,13,16,15
2021년11월_남_100세 이상,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2021년11월_여_총인구수,"25,720","5,532","6,837","2,406","1,155",821,"1,313",761,645,608,"1,071","1,052","1,445","2,074"
2021년11월_여_연령구간인구수,"25,720","5,532","6,837","2,406","1,155",821,"1,313",761,645,608,"1,071","1,052","1,445","2,074"
2021년11월_여_0~9세,"1,055",264,461,66,18,15,33,23,13,9,19,21,13,100
2021년11월_여_10~19세,"1,627",400,697,109,24,29,58,34,20,11,35,44,47,119
2021년11월_여_20~29세,"1,529",471,549,113,33,32,47,24,22,12,33,37,55,101
2021년11월_여_30~39세,"1,416",398,527,96,42,21,45,32,24,16,34,32,50,99
2021년11월_여_40~49세,"2,495",679,963,197,56,49,93,35,29,30,55,59,84,166
2021년11월_여_50~59세,"3,708",844,"1,089",325,141,92,163,91,70,69,147,125,226,326
2021년11월_여_60~69세,"5,348","1,069","1,136",525,250,196,286,181,147,164,273,245,385,491
2021년11월_여_70~79세,"4,378",826,776,511,257,181,267,144,129,147,217,224,302,397
2021년11월_여_80~89세,"3,466",493,529,387,279,165,270,162,162,124,212,219,231,233
2021년11월_여_90~99세,677,82,108,76,54,40,50,34,28,26,44,44,51,40
2021년11월_여_100세 이상,21,6,2,1,1,1,1,1,1,0,2,2,1,2
