카테고리,경상북도 성주군,경상북도 성주군 성주읍,경상북도 성주군 선남면,경상북도 성주군 용암면,경상북도 성주군 수륜면,경상북도 성주군 가천면,경상북도 성주군 금수면,경상북도 성주군 대가면,경상북도 성주군 벽진면,경상북도 성주군 초전면,경상북도 성주군 월항면
2020년08월_계_총인구수,"43,319","13,764","6,175","3,690","3,082","1,983","1,170","2,443","3,093","4,528","3,391"
2020년08월_계_연령구간인구수,"43,319","13,764","6,175","3,690","3,082","1,983","1,170","2,443","3,093","4,528","3,391"
2020년08월_계_0~9세,"1,946",956,203,115,81,53,29,78,107,190,134
2020년08월_계_10~19세,"2,316","1,298",198,115,106,40,36,99,85,222,117
2020년08월_계_20~29세,"3,534","1,486",482,235,158,123,66,177,204,337,266
2020년08월_계_30~39세,"3,306","1,395",478,247,184,112,52,134,169,310,225
2020년08월_계_40~49세,"4,795","2,053",596,347,239,168,99,246,272,473,302
2020년08월_계_50~59세,"8,572","2,476","1,404",806,601,413,226,437,621,894,694
2020년08월_계_60~69세,"9,085","2,069","1,444",921,746,501,283,555,794,991,781
2020년08월_계_70~79세,"5,816","1,250",863,524,516,313,205,428,520,669,528
2020년08월_계_80~89세,"3,446",680,434,328,381,232,155,253,272,403,308
2020년08월_계_90~99세,476,95,67,51,65,27,18,36,46,36,35
2020년08월_계_100세 이상,27,6,6,1,5,1,1,0,3,3,1
2020년08월_남_총인구수,"22,416","6,989","3,383","2,013","1,512",991,604,"1,237","1,588","2,317","1,782"
2020년08월_남_연령구간인구수,"22,416","6,989","3,383","2,013","1,512",991,604,"1,237","1,588","2,317","1,782"
2020년08월_남_0~9세,983,470,115,53,44,26,18,34,51,100,72
2020년08월_남_10~19세,"1,309",736,118,77,50,18,21,53,48,126,62
2020년08월_남_20~29세,"2,079",837,306,142,95,76,42,99,122,198,162
2020년08월_남_30~39세,"1,816",723,283,158,107,74,35,75,83,163,115
2020년08월_남_40~49세,"2,877","1,095",419,227,138,114,63,159,190,287,185
2020년08월_남_50~59세,"4,696","1,297",783,479,314,214,132,247,331,500,399
2020년08월_남_60~69세,"4,743","1,037",781,519,397,249,141,279,421,507,412
2020년08월_남_70~79세,"2,675",551,423,247,235,136,99,184,250,295,255
2020년08월_남_80~89세,"1,123",222,135,100,115,80,48,97,81,132,113
2020년08월_남_90~99세,109,20,18,11,16,4,4,10,10,9,7
2020년08월_남_100세 이상,6,1,2,0,1,0,1,0,1,0,0
2020년08월_여_총인구수,"20,903","6,775","2,792","1,677","1,570",992,566,"1,206","1,505","2,211","1,609"
2020년08월_여_연령구간인구수,"20,903","6,775","2,792","1,677","1,570",992,566,"1,206","1,505","2,211","1,609"
2020년08월_여_0~9세,963,486,88,62,37,27,11,44,56,90,62
2020년08월_여_10~19세,"1,007",562,80,38,56,22,15,46,37,96,55
2020년08월_여_20~29세,"1,455",649,176,93,63,47,24,78,82,139,104
2020년08월_여_30~39세,"1,490",672,195,89,77,38,17,59,86,147,110
2020년08월_여_40~49세,"1,918",958,177,120,101,54,36,87,82,186,117
2020년08월_여_50~59세,"3,876","1,179",621,327,287,199,94,190,290,394,295
2020년08월_여_60~69세,"4,342","1,032",663,402,349,252,142,276,373,484,369
2020년08월_여_70~79세,"3,141",699,440,277,281,177,106,244,270,374,273
2020년08월_여_80~89세,"2,323",458,299,228,266,152,107,156,191,271,195
2020년08월_여_90~99세,367,75,49,40,49,23,14,26,36,27,28
2020년08월_여_100세 이상,21,5,4,1,4,1,0,0,2,3,1
