,강원도 원주시,강원도 원주시 문막읍,강원도 원주시 소초면,강원도 원주시 호저면,강원도 원주시 지정면,강원도 원주시 부론면,강원도 원주시 귀래면,강원도 원주시 흥업면,강원도 원주시 판부면,강원도 원주시 신림면,강원도 원주시 중앙동,강원도 원주시 원인동,강원도 원주시 개운동,강원도 원주시 명륜1동,강원도 원주시 명륜2동,강원도 원주시 단구동,강원도 원주시 일산동,강원도 원주시 학성동,강원도 원주시 단계동,강원도 원주시 우산동,강원도 원주시 태장1동,강원도 원주시 태장2동,강원도 원주시 봉산동,강원도 원주시 행구동,강원도 원주시 무실동,강원도 원주시 반곡관설동
2021년02월_계_총인구수,"354,933","17,678","8,594","3,722","28,286","2,253","2,199","8,575","7,288","3,566","2,749","5,177","12,700","8,608","15,586","44,238","8,658","4,823","28,768","13,604","10,146","24,914","8,171","7,673","32,737","44,220"
2021년02월_계_연령구간인구수,"354,933","17,678","8,594","3,722","28,286","2,253","2,199","8,575","7,288","3,566","2,749","5,177","12,700","8,608","15,586","44,238","8,658","4,823","28,768","13,604","10,146","24,914","8,171","7,673","32,737","44,220"
2021년02월_계_0~9세,"28,150","1,131",362,109,"4,720",40,45,402,403,57,51,208,648,390,724,"3,385",405,164,"2,080","1,012",787,"1,759",276,478,"3,206","5,308"
2021년02월_계_10~19세,"35,824","1,601",521,147,"2,426",92,81,639,671,113,101,349,"1,307",767,"1,689","5,303",641,287,"2,439","1,215","1,142","2,650",664,871,"4,305","5,803"
2021년02월_계_20~29세,"45,429","2,078",954,317,"2,869",128,143,"1,355",977,196,188,752,"1,602","1,143","2,180","6,546","1,641",563,"4,490","2,002","1,053","3,026",920,942,"4,100","5,264"
2021년02월_계_30~39세,"45,253","1,802",719,238,"6,933",90,116,787,859,174,198,512,"1,179",783,"1,357","5,463",929,400,"4,137","1,599","1,100","2,745",654,710,"4,368","7,401"
2021년02월_계_40~49세,"57,093","2,865",950,336,"4,843",166,164,"1,136","1,141",271,277,644,"1,717","1,149","2,324","8,001","1,017",606,"4,082","2,113","1,746","4,160","1,037","1,198","6,306","8,844"
2021년02월_계_50~59세,"60,873","3,314","1,712",722,"3,106",394,454,"1,532","1,417",750,575,963,"2,438","1,711","3,112","7,743","1,439",937,"5,340","2,320","1,728","4,592","1,616","1,479","5,156","6,323"
2021년02월_계_60~69세,"46,393","2,553","1,868",917,"2,144",635,591,"1,537","1,037","1,027",663,929,"1,991","1,449","2,380","4,509","1,322",962,"3,925","1,912","1,416","3,392","1,522","1,133","3,329","3,250"
2021년02월_계_70~79세,"21,676","1,412",868,484,753,395,352,670,457,574,367,472,"1,109",762,"1,082","2,051",765,528,"1,410",912,736,"1,586",869,506,"1,275","1,281"
2021년02월_계_80~89세,"12,265",800,540,401,419,273,213,459,275,351,270,304,613,392,643,"1,082",425,321,738,439,395,885,522,293,576,636
2021년02월_계_90~99세,"1,865",114,96,50,68,38,38,55,50,52,54,40,91,57,93,146,66,52,119,75,39,116,83,58,110,105
2021년02월_계_100세 이상,112,8,4,1,5,2,2,3,1,1,5,4,5,5,2,9,8,3,8,5,4,3,8,5,6,5
2021년02월_남_총인구수,"176,007","9,026","4,510","1,961","13,941","1,158","1,118","4,518","3,836","1,818","1,471","2,476","6,079","4,135","7,564","21,730","4,221","2,396","13,982","7,148","5,085","12,424","4,039","3,800","16,058","21,513"
2021년02월_남_연령구간인구수,"176,007","9,026","4,510","1,961","13,941","1,158","1,118","4,518","3,836","1,818","1,471","2,476","6,079","4,135","7,564","21,730","4,221","2,396","13,982","7,148","5,085","12,424","4,039","3,800","16,058","21,513"
2021년02월_남_0~9세,"14,333",569,193,66,"2,348",18,25,208,198,28,29,104,320,181,336,"1,742",205,91,"1,126",516,409,910,141,249,"1,639","2,682"
2021년02월_남_10~19세,"18,526",803,260,80,"1,208",43,39,326,363,63,55,181,716,378,860,"2,757",370,163,"1,246",686,594,"1,378",364,439,"2,288","2,866"
2021년02월_남_20~29세,"24,155","1,171",593,194,"1,366",72,74,776,552,110,107,382,832,637,"1,181","3,548",779,312,"2,314","1,131",560,"1,643",513,517,"2,196","2,595"
2021년02월_남_30~39세,"22,991",978,405,135,"3,516",51,78,441,495,110,108,257,596,398,683,"2,776",519,213,"2,170",840,552,"1,411",390,355,"2,102","3,412"
2021년02월_남_40~49세,"28,126","1,500",518,204,"2,490",112,88,627,586,158,176,338,790,537,"1,103","3,739",512,338,"1,899","1,131",890,"2,133",523,560,"2,937","4,237"
2021년02월_남_50~59세,"30,564","1,765",911,409,"1,459",225,244,823,775,389,352,466,"1,176",808,"1,547","3,802",692,481,"2,427","1,233",903,"2,292",818,743,"2,518","3,306"
2021년02월_남_60~69세,"22,942","1,299",992,490,"1,060",337,321,822,543,539,376,435,930,705,"1,157","2,149",609,443,"1,889","1,002",705,"1,655",735,577,"1,584","1,588"
2021년02월_남_70~79세,"9,628",633,416,239,345,193,156,316,219,272,162,194,483,331,474,828,342,223,630,419,311,684,360,242,581,575
2021년02월_남_80~89세,"4,281",278,197,134,133,96,86,164,97,133,92,102,217,145,205,352,171,122,253,168,150,291,174,105,193,223
2021년02월_남_90~99세,430,27,23,10,16,11,6,13,8,16,14,15,19,13,17,33,19,10,27,20,10,26,18,12,19,28
2021년02월_남_100세 이상,31,3,2,0,0,0,1,2,0,0,0,2,0,2,1,4,3,0,1,2,1,1,3,1,1,1
2021년02월_여_총인구수,"178,926","8,652","4,084","1,761","14,345","1,095","1,081","4,057","3,452","1,748","1,278","2,701","6,621","4,473","8,022","22,508","4,437","2,427","14,786","6,456","5,061","12,490","4,132","3,873","16,679","22,707"
2021년02월_여_연령구간인구수,"178,926","8,652","4,084","1,761","14,345","1,095","1,081","4,057","3,452","1,748","1,278","2,701","6,621","4,473","8,022","22,508","4,437","2,427","14,786","6,456","5,061","12,490","4,132","3,873","16,679","22,707"
2021년02월_여_0~9세,"13,817",562,169,43,"2,372",22,20,194,205,29,22,104,328,209,388,"1,643",200,73,954,496,378,849,135,229,"1,567","2,626"
2021년02월_여_10~19세,"17,298",798,261,67,"1,218",49,42,313,308,50,46,168,591,389,829,"2,546",271,124,"1,193",529,548,"1,272",300,432,"2,017","2,937"
