카테고리,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2021년12월_계_총인구수,"121,230","30,966","10,510","4,865","13,935","8,301","9,982","3,895","3,802","4,675","7,038","18,021","5,240"
2021년12월_계_연령구간인구수,"121,230","30,966","10,510","4,865","13,935","8,301","9,982","3,895","3,802","4,675","7,038","18,021","5,240"
2021년12월_계_0~9세,"7,074","2,122",874,182,755,485,624,120,98,128,240,"1,224",222
2021년12월_계_10~19세,"9,720","3,219",958,250,"1,019",578,884,212,147,210,385,"1,541",317
2021년12월_계_20~29세,"10,589","3,568",823,333,"1,244",763,611,252,222,273,484,"1,631",385
2021년12월_계_30~39세,"10,701","3,127","1,147",369,"1,173",787,848,263,192,293,423,"1,708",371
2021년12월_계_40~49세,"16,311","4,761","1,676",513,"1,839","1,093","1,510",403,351,397,707,"2,448",613
2021년12월_계_50~59세,"20,936","5,386","1,650",875,"2,467","1,440","1,737",691,663,898,"1,242","2,981",906
2021년12월_계_60~69세,"24,897","4,911","1,902","1,338","2,918","1,779","2,196","1,044","1,078","1,237","1,825","3,363","1,306"
2021년12월_계_70~79세,"13,200","2,464",973,696,"1,661",890,"1,066",554,593,712,"1,000","1,896",695
2021년12월_계_80~89세,"6,724","1,241",444,262,737,431,425,309,402,432,610,"1,055",376
2021년12월_계_90~99세,"1,042",162,62,44,117,54,79,46,51,90,119,170,48
2021년12월_계_100세 이상,36,5,1,3,5,1,2,1,5,5,3,4,1
2021년12월_남_총인구수,"60,846","15,525","5,226","2,450","6,923","4,222","4,954","1,989","1,953","2,348","3,570","9,037","2,649"
2021년12월_남_연령구간인구수,"60,846","15,525","5,226","2,450","6,923","4,222","4,954","1,989","1,953","2,348","3,570","9,037","2,649"
2021년12월_남_0~9세,"3,633","1,100",426,95,396,236,309,60,61,76,137,629,108
2021년12월_남_10~19세,"5,085","1,638",516,144,520,309,455,109,85,107,226,804,172
2021년12월_남_20~29세,"5,907","1,988",433,189,676,449,350,149,127,159,264,911,212
2021년12월_남_30~39세,"5,431","1,596",554,196,591,416,391,146,103,164,219,867,188
2021년12월_남_40~49세,"8,262","2,293",831,255,938,586,755,221,211,213,386,"1,246",327
2021년12월_남_50~59세,"10,754","2,770",847,437,"1,218",739,879,362,346,475,656,"1,533",492
2021년12월_남_60~69세,"12,418","2,470",931,646,"1,411",890,"1,056",542,552,624,966,"1,682",648
2021년12월_남_70~79세,"6,506","1,192",496,370,819,426,569,276,284,343,473,911,347
2021년12월_남_80~89세,"2,602",432,177,107,324,157,171,117,168,170,215,417,147
2021년12월_남_90~99세,242,46,15,10,28,14,19,7,14,16,28,37,8
2021년12월_남_100세 이상,6,0,0,1,2,0,0,0,2,1,0,0,0
2021년12월_여_총인구수,"60,384","15,441","5,284","2,415","7,012","4,079","5,028","1,906","1,849","2,327","3,468","8,984","2,591"
2021년12월_여_연령구간인구수,"60,384","15,441","5,284","2,415","7,012","4,079","5,028","1,906","1,849","2,327","3,468","8,984","2,591"
2021년12월_여_0~9세,"3,441","1,022",448,87,359,249,315,60,37,52,103,595,114
2021년12월_여_10~19세,"4,635","1,581",442,106,499,269,429,103,62,103,159,737,145
2021년12월_여_20~29세,"4,682","1,580",390,144,568,314,261,103,95,114,220,720,173
2021년12월_여_30~39세,"5,270","1,531",593,173,582,371,457,117,89,129,204,841,183
2021년12월_여_40~49세,"8,049","2,468",845,258,901,507,755,182,140,184,321,"1,202",286
2021년12월_여_50~59세,"10,182","2,616",803,438,"1,249",701,858,329,317,423,586,"1,448",414
2021년12월_여_60~69세,"12,479","2,441",971,692,"1,507",889,"1,140",502,526,613,859,"1,681",658
2021년12월_여_70~79세,"6,694","1,272",477,326,842,464,497,278,309,369,527,985,348
2021년12월_여_80~89세,"4,122",809,267,155,413,274,254,192,234,262,395,638,229
2021년12월_여_90~99세,800,116,47,34,89,40,60,39,37,74,91,133,40
2021년12월_여_100세 이상,30,5,1,2,3,1,2,1,3,4,3,4,1
