,경기도 여주시,경기도 여주시 가남읍,경기도 여주시 점동면,경기도 여주시 흥천면,경기도 여주시 금사면,경기도 여주시 능서면,경기도 여주시 대신면,경기도 여주시 북내면,경기도 여주시 강천면,경기도 여주시 산북면,경기도 여주시 여흥동,경기도 여주시 중앙동,경기도 여주시 오학동
2021년04월_계_총인구수,"111,913","15,504","4,683","5,100","2,964","6,334","6,991","4,903","4,212","2,529","21,694","18,478","18,521"
2021년04월_계_연령구간인구수,"111,913","15,504","4,683","5,100","2,964","6,334","6,991","4,903","4,212","2,529","21,694","18,478","18,521"
2021년04월_계_0~9세,"7,260",995,193,168,88,278,208,158,145,115,"1,489","1,351","2,072"
2021년04월_계_10~19세,"9,442","1,260",254,278,137,426,410,343,268,140,"1,958","2,140","1,828"
2021년04월_계_20~29세,"12,166","1,665",447,409,226,546,600,413,342,192,"2,788","2,420","2,118"
2021년04월_계_30~39세,"11,371","1,786",290,357,185,474,444,301,301,180,"2,433","1,960","2,660"
2021년04월_계_40~49세,"15,855","2,220",404,523,257,681,674,564,457,268,"3,462","3,077","3,268"
2021년04월_계_50~59세,"20,063","2,786",868,927,578,"1,103","1,277",992,877,434,"3,863","3,321","3,037"
2021년04월_계_60~69세,"19,233","2,623","1,110","1,253",764,"1,408","1,671","1,051",910,609,"3,283","2,462","2,089"
2021년04월_계_70~79세,"10,213","1,353",667,722,463,827,985,617,558,365,"1,552","1,149",955
2021년04월_계_80~89세,"5,426",707,393,387,223,505,623,403,285,196,752,518,434
2021년04월_계_90~99세,856,105,53,74,43,84,97,60,69,29,108,76,58
2021년04월_계_100세 이상,28,4,4,2,0,2,2,1,0,1,6,4,2
2021년04월_남_총인구수,"56,882","8,026","2,428","2,668","1,537","3,264","3,652","2,540","2,179","1,274","10,828","9,282","9,204"
2021년04월_남_연령구간인구수,"56,882","8,026","2,428","2,668","1,537","3,264","3,652","2,540","2,179","1,274","10,828","9,282","9,204"
2021년04월_남_0~9세,"3,735",490,110,92,44,129,102,83,72,53,769,708,"1,083"
2021년04월_남_10~19세,"4,860",651,139,156,61,213,235,198,140,68,"1,001","1,088",910
2021년04월_남_20~29세,"6,671",921,264,231,149,310,366,231,203,102,"1,490","1,297","1,107"
2021년04월_남_30~39세,"5,995","1,005",160,210,97,253,259,162,154,102,"1,240","1,024","1,329"
2021년04월_남_40~49세,"8,203","1,186",228,279,147,411,372,297,252,147,"1,751","1,501","1,632"
2021년04월_남_50~59세,"10,515","1,495",465,511,313,609,691,572,491,226,"1,920","1,735","1,487"
2021년04월_남_60~69세,"9,800","1,326",564,656,402,743,892,552,457,311,"1,641","1,213","1,043"
2021년04월_남_70~79세,"4,885",660,348,361,228,407,458,279,285,173,720,515,451
2021년04월_남_80~89세,"2,016",262,134,154,90,171,246,150,113,83,273,188,152
2021년04월_남_90~99세,195,27,15,18,6,17,31,16,12,8,22,13,10
2021년04월_남_100세 이상,7,3,1,0,0,1,0,0,0,1,1,0,0
2021년04월_여_총인구수,"55,031","7,478","2,255","2,432","1,427","3,070","3,339","2,363","2,033","1,255","10,866","9,196","9,317"
2021년04월_여_연령구간인구수,"55,031","7,478","2,255","2,432","1,427","3,070","3,339","2,363","2,033","1,255","10,866","9,196","9,317"
2021년04월_여_0~9세,"3,525",505,83,76,44,149,106,75,73,62,720,643,989
2021년04월_여_10~19세,"4,582",609,115,122,76,213,175,145,128,72,957,"1,052",918
2021년04월_여_20~29세,"5,495",744,183,178,77,236,234,182,139,90,"1,298","1,123","1,011"
2021년04월_여_30~39세,"5,376",781,130,147,88,221,185,139,147,78,"1,193",936,"1,331"
2021년04월_여_40~49세,"7,652","1,034",176,244,110,270,302,267,205,121,"1,711","1,576","1,636"
2021년04월_여_50~59세,"9,548","1,291",403,416,265,494,586,420,386,208,"1,943","1,586","1,550"
2021년04월_여_60~69세,"9,433","1,297",546,597,362,665,779,499,453,298,"1,642","1,249","1,046"
2021년04월_여_70~79세,"5,328",693,319,361,235,420,527,338,273,192,832,634,504
2021년04월_여_80~89세,"3,410",445,259,233,133,334,377,253,172,113,479,330,282
2021년04월_여_90~99세,661,78,38,56,37,67,66,44,57,21,86,63,48
2021년04월_여_100세 이상,21,1,3,2,0,1,2,1,0,0,5,4,2
