,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2020년04월_계_총인구수,"268,667","3,259","4,782","3,489","2,729","2,622","5,159","3,085","2,987","2,258","3,574","3,133","2,457","5,910","7,468","5,900","2,900","13,015","21,254","7,672","5,548","2,960","55,941","13,227","24,322","33,130","17,067","12,819"
2020년04월_계_연령구간인구수,"268,667","3,259","4,782","3,489","2,729","2,622","5,159","3,085","2,987","2,258","3,574","3,133","2,457","5,910","7,468","5,900","2,900","13,015","21,254","7,672","5,548","2,960","55,941","13,227","24,322","33,130","17,067","12,819"
2020년04월_계_0~9세,"21,913",101,592,184,72,81,171,83,98,57,117,139,129,228,399,184,81,"1,141","2,378",416,342,168,"7,087",744,"1,883","2,897","1,321",820
2020년04월_계_10~19세,"27,302",135,377,356,123,110,249,164,155,103,201,138,141,435,662,354,108,"1,151","1,994",524,490,262,"7,745","1,257","3,037","4,409","1,683",939
2020년04월_계_20~29세,"29,681",245,407,257,237,181,364,284,256,145,367,258,187,509,811,620,205,"1,439","2,424",759,576,327,"6,643","1,683","3,027","4,234","1,856","1,380"
2020년04월_계_30~39세,"31,788",213,728,226,156,166,397,192,196,128,283,259,235,526,647,443,230,"1,767","3,587",800,576,258,"8,110","1,439","2,349","3,889","2,267","1,721"
2020년04월_계_40~49세,"44,101",328,737,505,272,247,566,320,304,244,542,390,287,775,"1,029",666,336,"2,014","3,449","1,121",744,380,"11,013","1,901","4,044","6,345","3,241","2,301"
2020년04월_계_50~59세,"44,103",609,703,563,505,476,851,627,614,402,775,474,385,"1,024","1,157","1,001",491,"2,060","3,035","1,290","1,022",506,"7,812","2,475","4,196","5,559","3,091","2,400"
2020년04월_계_60~69세,"36,188",690,591,589,598,571,"1,125",652,637,504,705,615,500,"1,164","1,325","1,173",675,"1,762","2,476","1,395","1,001",519,"4,378","2,139","3,195","3,287","2,134","1,788"
2020년04월_계_70~79세,"22,116",557,365,453,436,415,838,461,443,380,396,545,425,851,"1,009",966,545,"1,194","1,319",983,564,337,"2,171","1,121","1,643","1,703","1,024",972
2020년04월_계_80~89세,"9,900",322,246,307,264,310,501,265,239,253,168,266,142,341,377,431,194,434,517,337,199,174,848,404,836,719,372,434
2020년04월_계_90~99세,"1,459",54,36,49,62,59,90,33,44,39,16,43,19,46,47,57,32,50,71,43,33,27,129,64,110,83,67,56
2020년04월_계_100세 이상,116,5,0,0,4,6,7,4,1,3,4,6,7,11,5,5,3,3,4,4,1,2,5,0,2,5,11,8
2020년04월_남_총인구수,"135,704","1,670","2,449","1,794","1,377","1,322","2,571","1,566","1,511","1,171","1,999","1,579","1,189","2,964","3,717","2,894","1,509","6,557","10,826","3,862","2,793","1,523","27,792","6,604","11,780","16,515","9,235","6,935"
2020년04월_남_연령구간인구수,"135,704","1,670","2,449","1,794","1,377","1,322","2,571","1,566","1,511","1,171","1,999","1,579","1,189","2,964","3,717","2,894","1,509","6,557","10,826","3,862","2,793","1,523","27,792","6,604","11,780","16,515","9,235","6,935"
2020년04월_남_0~9세,"11,153",50,304,95,39,45,83,41,41,36,59,73,61,121,210,97,47,601,"1,232",206,173,77,"3,592",386,922,"1,454",697,411
2020년04월_남_10~19세,"14,151",76,185,196,68,53,142,92,81,54,112,71,68,225,335,175,51,591,"1,066",277,258,153,"4,005",672,"1,516","2,263",870,496
2020년04월_남_20~29세,"16,181",152,233,143,139,113,207,170,161,83,217,151,89,288,458,365,113,765,"1,279",414,329,199,"3,461",940,"1,624","2,270","1,027",791
2020년04월_남_30~39세,"16,604",132,356,119,90,102,213,107,101,73,186,143,124,288,346,241,143,928,"1,884",468,306,143,"3,877",781,"1,155","1,970","1,308","1,020"
2020년04월_남_40~49세,"23,123",200,420,295,173,158,347,179,165,150,353,232,165,414,544,376,221,"1,078","1,797",627,379,194,"5,421",924,"1,894","3,167","1,859","1,391"
2020년04월_남_50~59세,"23,045",335,381,329,276,266,490,332,315,239,429,264,189,550,578,504,269,"1,062","1,542",665,476,259,"4,058","1,208","2,122","2,804","1,733","1,370"
2020년04월_남_60~69세,"17,880",348,312,315,309,300,533,342,341,265,403,303,237,549,610,550,316,828,"1,194",637,517,254,"2,131","1,040","1,570","1,607","1,152",917
2020년04월_남_70~79세,"9,889",256,174,186,197,178,366,218,212,181,178,247,199,376,483,406,273,521,640,427,271,161,948,501,696,721,460,413
2020년04월_남_80~89세,"3,347",110,79,107,73,91,167,84,82,80,56,81,49,137,142,164,69,174,180,128,79,74,272,141,258,239,113,118
2020년04월_남_90~99세,296,9,5,9,13,14,22,1,12,9,4,13,5,12,10,14,6,8,12,11,4,8,24,11,23,18,11,8
2020년04월_남_100세 이상,35,2,0,0,0,2,1,0,0,1,2,1,3,4,1,2,1,1,0,2,1,1,3,0,0,2,5,0
2020년04월_여_총인구수,"132,963","1,589","2,333","1,695","1,352","1,300","2,588","1,519","1,476","1,087","1,575","1,554","1,268","2,946","3,751","3,006","1,391","6,458","10,428","3,810","2,755","1,437","28,149","6,623","12,542","16,615","7,832","5,884"
2020년04월_여_연령구간인구수,"132,963","1,589","2,333","1,695","1,352","1,300","2,588","1,519","1,476","1,087","1,575","1,554","1,268","2,946","3,751","3,006","1,391","6,458","10,428","3,810","2,755","1,437","28,149","6,623","12,542","16,615","7,832","5,884"
2020년04월_여_0~9세,"10,760",51,288,89,33,36,88,42,57,21,58,66,68,107,189,87,34,540,"1,146",210,169,91,"3,495",358,961,"1,443",624,409
2020년04월_여_10~19세,"13,151",59,192,160,55,57,107,72,74,49,89,67,73,210,327,179,57,560,928,247,232,109,"3,740",585,"1,521","2,146",813,443
