카테고리,경기도 동두천시,경기도 동두천시 생연1동,경기도 동두천시 생연2동,경기도 동두천시 중앙동,경기도 동두천시 보산동,경기도 동두천시 불현동,경기도 동두천시 송내동,경기도 동두천시 소요동,경기도 동두천시 상패동
2021년05월_계_총인구수,"93,292","6,872","12,026","4,954","2,950","27,093","25,302","8,756","5,339"
2021년05월_계_연령구간인구수,"93,292","6,872","12,026","4,954","2,950","27,093","25,302","8,756","5,339"
2021년05월_계_0~9세,"6,040",479,740,140,142,"1,831","2,049",402,257
2021년05월_계_10~19세,"8,474",572,"1,243",206,201,"2,566","2,901",505,280
2021년05월_계_20~29세,"11,166",749,"1,327",481,329,"3,476","3,311",899,594
2021년05월_계_30~39세,"10,005",771,"1,213",424,283,"2,903","2,997",786,628
2021년05월_계_40~49세,"13,941",902,"1,888",540,371,"4,050","4,413","1,144",633
2021년05월_계_50~59세,"16,327","1,232","2,030","1,002",547,"4,838","4,119","1,583",976
2021년05월_계_60~69세,"13,569","1,120","1,713","1,079",526,"3,827","2,654","1,677",973
2021년05월_계_70~79세,"8,631",649,"1,153",640,351,"2,292","1,835","1,106",605
2021년05월_계_80~89세,"4,522",363,651,357,181,"1,160",902,575,333
2021년05월_계_90~99세,591,34,67,78,19,147,119,70,57
2021년05월_계_100세 이상,26,1,1,7,0,3,2,9,3
2021년05월_남_총인구수,"46,606","3,440","5,895","2,595","1,442","13,359","12,468","4,559","2,848"
2021년05월_남_연령구간인구수,"46,606","3,440","5,895","2,595","1,442","13,359","12,468","4,559","2,848"
2021년05월_남_0~9세,"3,115",259,393,77,64,926,"1,042",209,145
2021년05월_남_10~19세,"4,264",276,633,108,94,"1,280","1,471",263,139
2021년05월_남_20~29세,"6,071",409,721,268,196,"1,863","1,764",521,329
2021년05월_남_30~39세,"5,195",395,602,238,150,"1,474","1,526",435,375
2021년05월_남_40~49세,"7,199",477,960,331,195,"2,020","2,195",655,366
2021년05월_남_50~59세,"8,629",649,"1,060",584,267,"2,487","2,149",871,562
2021년05월_남_60~69세,"6,684",560,794,585,274,"1,893","1,203",853,522
2021년05월_남_70~79세,"3,626",270,459,270,139,952,733,529,274
2021년05월_남_80~89세,"1,660",133,254,108,59,422,357,204,123
2021년05월_남_90~99세,160,12,19,25,4,41,28,19,12
2021년05월_남_100세 이상,3,0,0,1,0,1,0,0,1
2021년05월_여_총인구수,"46,686","3,432","6,131","2,359","1,508","13,734","12,834","4,197","2,491"
2021년05월_여_연령구간인구수,"46,686","3,432","6,131","2,359","1,508","13,734","12,834","4,197","2,491"
2021년05월_여_0~9세,"2,925",220,347,63,78,905,"1,007",193,112
2021년05월_여_10~19세,"4,210",296,610,98,107,"1,286","1,430",242,141
2021년05월_여_20~29세,"5,095",340,606,213,133,"1,613","1,547",378,265
2021년05월_여_30~39세,"4,810",376,611,186,133,"1,429","1,471",351,253
2021년05월_여_40~49세,"6,742",425,928,209,176,"2,030","2,218",489,267
2021년05월_여_50~59세,"7,698",583,970,418,280,"2,351","1,970",712,414
2021년05월_여_60~69세,"6,885",560,919,494,252,"1,934","1,451",824,451
2021년05월_여_70~79세,"5,005",379,694,370,212,"1,340","1,102",577,331
2021년05월_여_80~89세,"2,862",230,397,249,122,738,545,371,210
2021년05월_여_90~99세,431,22,48,53,15,106,91,51,45
2021년05월_여_100세 이상,23,1,1,6,0,2,2,9,2
