카테고리,서울특별시 동대문구,서울특별시 동대문구 용신동,서울특별시 동대문구 제기동,서울특별시 동대문구 전농제1동,서울특별시 동대문구 전농제2동,서울특별시 동대문구 답십리제1동,서울특별시 동대문구 답십리제2동,서울특별시 동대문구 장안제1동,서울특별시 동대문구 장안제2동,서울특별시 동대문구 청량리동,서울특별시 동대문구 회기동,서울특별시 동대문구 휘경제1동,서울특별시 동대문구 휘경제2동,서울특별시 동대문구 이문제1동,서울특별시 동대문구 이문제2동
2020년07월_계_총인구수,"345,156","30,922","25,016","30,388","19,354","29,253","29,743","38,664","33,126","20,913","10,389","13,688","24,460","18,572","20,668"
2020년07월_계_연령구간인구수,"345,156","30,922","25,016","30,388","19,354","29,253","29,743","38,664","33,126","20,913","10,389","13,688","24,460","18,572","20,668"
2020년07월_계_0~9세,"21,379","1,317","1,068","1,930","1,289","2,773","1,875","2,620","2,977",872,466,800,"1,319",736,"1,337"
2020년07월_계_10~19세,"24,448","1,467","1,431","2,007","1,784","2,002","2,091","2,658","2,872","1,205",728,802,"2,147","1,366","1,888"
2020년07월_계_20~29세,"56,186","5,971","4,364","4,667","2,401","4,062","4,009","5,236","3,916","2,480","3,118","3,152","5,261","4,674","2,875"
2020년07월_계_30~39세,"50,808","5,282","3,324","4,420","2,364","5,400","4,515","6,392","5,242","2,425","1,457","2,193","3,056","2,179","2,559"
2020년07월_계_40~49세,"51,547","4,250","3,188","4,443","3,107","4,709","4,457","6,432","5,812","2,731","1,334","1,722","3,591","2,497","3,274"
2020년07월_계_50~59세,"53,808","4,711","3,857","4,974","3,295","4,342","5,040","6,089","4,964","3,711","1,218","2,013","3,562","2,615","3,417"
2020년07월_계_60~69세,"45,702","4,027","3,867","4,139","2,685","3,194","4,147","5,311","4,207","3,820",963,"1,531","2,919","2,173","2,719"
2020년07월_계_70~79세,"28,208","2,596","2,611","2,544","1,627","1,879","2,505","2,849","2,270","2,477",704,997,"1,814","1,527","1,808"
2020년07월_계_80~89세,"11,188","1,118","1,130","1,081",712,760,961,908,736,"1,013",331,408,672,675,683
2020년07월_계_90~99세,"1,579",158,151,140,79,101,122,144,113,149,59,61,107,95,100
2020년07월_계_100세 이상,303,25,25,43,11,31,21,25,17,30,11,9,12,35,8
2020년07월_남_총인구수,"171,134","15,752","12,825","15,254","9,319","14,193","14,488","19,248","16,597","10,445","4,938","6,687","12,138","9,214","10,036"
2020년07월_남_연령구간인구수,"171,134","15,752","12,825","15,254","9,319","14,193","14,488","19,248","16,597","10,445","4,938","6,687","12,138","9,214","10,036"
2020년07월_남_0~9세,"10,929",679,561,986,646,"1,404",959,"1,325","1,546",443,248,410,689,356,677
2020년07월_남_10~19세,"12,351",775,730,"1,020",874,"1,021","1,033","1,367","1,529",630,332,404,"1,010",679,947
2020년07월_남_20~29세,"28,052","2,904","2,382","2,384","1,225","1,903","1,996","2,506","2,045","1,318","1,455","1,421","2,796","2,333","1,384"
2020년07월_남_30~39세,"26,287","2,739","1,855","2,273","1,184","2,573","2,307","3,301","2,637","1,305",767,"1,166","1,631","1,248","1,301"
2020년07월_남_40~49세,"26,624","2,335","1,741","2,316","1,500","2,440","2,274","3,372","2,964","1,435",660,885,"1,789","1,282","1,631"
2020년07월_남_50~59세,"27,062","2,527","2,016","2,564","1,606","2,124","2,437","3,011","2,491","1,884",609,"1,015","1,737","1,341","1,700"
2020년07월_남_60~69세,"22,088","2,042","1,866","2,090","1,256","1,541","1,968","2,582","2,017","1,882",427,748,"1,374","1,003","1,292"
2020년07월_남_70~79세,"12,761","1,225","1,182","1,139",685,865,"1,124","1,365","1,060","1,118",293,442,818,654,791
2020년07월_남_80~89세,"4,433",464,437,428,314,281,359,370,277,383,129,174,247,285,285
2020년07월_남_90~99세,456,55,49,40,24,30,21,41,26,43,17,16,42,26,26
2020년07월_남_100세 이상,91,7,6,14,5,11,10,8,5,4,1,6,5,7,2
2020년07월_여_총인구수,"174,022","15,170","12,191","15,134","10,035","15,060","15,255","19,416","16,529","10,468","5,451","7,001","12,322","9,358","10,632"
2020년07월_여_연령구간인구수,"174,022","15,170","12,191","15,134","10,035","15,060","15,255","19,416","16,529","10,468","5,451","7,001","12,322","9,358","10,632"
2020년07월_여_0~9세,"10,450",638,507,944,643,"1,369",916,"1,295","1,431",429,218,390,630,380,660
2020년07월_여_10~19세,"12,097",692,701,987,910,981,"1,058","1,291","1,343",575,396,398,"1,137",687,941
2020년07월_여_20~29세,"28,134","3,067","1,982","2,283","1,176","2,159","2,013","2,730","1,871","1,162","1,663","1,731","2,465","2,341","1,491"
2020년07월_여_30~39세,"24,521","2,543","1,469","2,147","1,180","2,827","2,208","3,091","2,605","1,120",690,"1,027","1,425",931,"1,258"
2020년07월_여_40~49세,"24,923","1,915","1,447","2,127","1,607","2,269","2,183","3,060","2,848","1,296",674,837,"1,802","1,215","1,643"
2020년07월_여_50~59세,"26,746","2,184","1,841","2,410","1,689","2,218","2,603","3,078","2,473","1,827",609,998,"1,825","1,274","1,717"
2020년07월_여_60~69세,"23,614","1,985","2,001","2,049","1,429","1,653","2,179","2,729","2,190","1,938",536,783,"1,545","1,170","1,427"
2020년07월_여_70~79세,"15,447","1,371","1,429","1,405",942,"1,014","1,381","1,484","1,210","1,359",411,555,996,873,"1,017"
2020년07월_여_80~89세,"6,755",654,693,653,398,479,602,538,459,630,202,234,425,390,398
2020년07월_여_90~99세,"1,123",103,102,100,55,71,101,103,87,106,42,45,65,69,74
2020년07월_여_100세 이상,212,18,19,29,6,20,11,17,12,26,10,3,7,28,6
