,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2020년04월_계_총인구수,"98,644","6,696","1,450","3,896","3,098","1,012","2,723","4,047","1,705","1,997","2,615","1,759",753,"2,048","2,816","1,250",341,"2,843","1,184",385,"2,187","2,090",855,"12,554","9,365","7,812","8,189","3,772","9,202"
2020년04월_계_연령구간인구수,"98,644","6,696","1,450","3,896","3,098","1,012","2,723","4,047","1,705","1,997","2,615","1,759",753,"2,048","2,816","1,250",341,"2,843","1,184",385,"2,187","2,090",855,"12,554","9,365","7,812","8,189","3,772","9,202"
2020년04월_계_0~9세,"5,371",296,43,107,103,31,96,87,57,62,102,57,19,72,131,35,8,107,21,10,34,53,32,971,773,552,529,205,778
2020년04월_계_10~19세,"7,851",492,66,170,153,46,119,223,75,79,162,78,39,109,154,66,13,163,49,18,98,107,41,"1,376",884,804,811,364,"1,092"
2020년04월_계_20~29세,"8,498",455,82,210,175,54,154,227,88,118,173,100,39,123,190,81,16,123,51,14,115,98,51,"1,368","1,036",774,856,339,"1,388"
2020년04월_계_30~39세,"7,782",482,78,220,137,40,165,210,89,117,123,81,41,114,181,73,12,162,38,9,110,68,37,"1,362","1,160",726,740,306,901
2020년04월_계_40~49세,"11,860",772,108,339,274,71,226,316,126,154,257,175,63,180,274,117,30,326,93,29,178,191,73,"1,840","1,403","1,150","1,188",522,"1,385"
2020년04월_계_50~59세,"17,231","1,135",244,677,542,212,440,670,319,411,524,343,169,391,540,268,68,520,189,71,330,336,160,"2,118","1,598","1,369","1,519",637,"1,431"
2020년04월_계_60~69세,"17,797","1,302",315,846,640,214,610,987,370,460,625,417,174,447,578,275,91,580,285,68,500,427,187,"1,817","1,366","1,161","1,242",636,"1,177"
2020년04월_계_70~79세,"12,713",991,303,699,566,165,488,757,305,330,378,278,112,349,420,191,61,472,271,81,446,429,142,"1,104",714,755,812,470,624
2020년04월_계_80~89세,"8,255",673,184,546,426,161,358,495,234,233,238,208,86,216,305,122,38,334,161,75,324,321,109,508,379,460,438,252,371
2020년04월_계_90~99세,"1,225",90,26,79,76,16,64,73,42,33,30,21,11,47,42,20,4,52,24,10,51,58,22,82,52,59,49,38,54
2020년04월_계_100세 이상,61,8,1,3,6,2,3,2,0,0,3,1,0,0,1,2,0,4,2,0,1,2,1,8,0,2,5,3,1
2020년04월_남_총인구수,"48,383","3,252",704,"1,890","1,495",490,"1,331","2,001",853,"1,026","1,308",891,358,"1,018","1,354",636,177,"1,337",554,201,"1,028",997,415,"6,129","4,708","3,705","4,001","1,878","4,646"
2020년04월_남_연령구간인구수,"48,383","3,252",704,"1,890","1,495",490,"1,331","2,001",853,"1,026","1,308",891,358,"1,018","1,354",636,177,"1,337",554,201,"1,028",997,415,"6,129","4,708","3,705","4,001","1,878","4,646"
2020년04월_남_0~9세,"2,778",158,26,50,59,15,55,40,27,28,47,30,10,35,71,18,4,48,8,4,14,33,15,504,396,290,277,115,401
2020년04월_남_10~19세,"4,170",238,31,101,73,23,79,150,47,49,85,41,20,54,73,37,6,81,29,13,49,46,20,763,475,385,427,201,574
2020년04월_남_20~29세,"4,905",259,52,142,104,33,97,135,48,74,104,63,21,72,102,42,13,73,28,10,73,58,21,754,583,426,468,209,841
2020년04월_남_30~39세,"4,210",271,46,127,80,19,93,125,50,70,67,49,18,66,100,48,6,91,20,6,67,39,17,738,618,384,381,157,457
2020년04월_남_40~49세,"6,310",428,69,224,156,44,143,201,87,88,147,105,43,110,144,63,19,179,59,17,119,116,49,875,710,568,571,295,681
2020년04월_남_50~59세,"9,040",602,148,379,306,122,230,357,191,232,280,194,76,223,271,150,41,273,100,45,168,190,92,"1,030",821,678,818,331,692
2020년04월_남_60~69세,"8,658",649,143,426,325,106,307,476,186,251,317,218,101,216,295,141,48,282,141,36,243,219,97,826,672,527,558,268,584
2020년04월_남_70~79세,"5,437",415,127,281,248,68,197,335,134,152,168,113,45,159,174,84,28,198,110,37,195,182,67,466,302,303,349,214,286
2020년04월_남_80~89세,"2,627",214,57,153,127,55,118,165,74,77,84,70,24,72,109,49,12,100,57,30,93,100,33,160,124,132,140,81,117
2020년04월_남_90~99세,238,16,5,7,15,5,12,16,9,5,8,7,0,11,15,4,0,11,2,3,7,14,4,13,7,12,11,7,12
2020년04월_남_100세 이상,10,2,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2020년04월_여_총인구수,"50,261","3,444",746,"2,006","1,603",522,"1,392","2,046",852,971,"1,307",868,395,"1,030","1,462",614,164,"1,506",630,184,"1,159","1,093",440,"6,425","4,657","4,107","4,188","1,894","4,556"
2020년04월_여_연령구간인구수,"50,261","3,444",746,"2,006","1,603",522,"1,392","2,046",852,971,"1,307",868,395,"1,030","1,462",614,164,"1,506",630,184,"1,159","1,093",440,"6,425","4,657","4,107","4,188","1,894","4,556"
2020년04월_여_0~9세,"2,593",138,17,57,44,16,41,47,30,34,55,27,9,37,60,17,4,59,13,6,20,20,17,467,377,262,252,90,377
2020년04월_여_10~19세,"3,681",254,35,69,80,23,40,73,28,30,77,37,19,55,81,29,7,82,20,5,49,61,21,613,409,419,384,163,518
2020년04월_여_20~29세,"3,593",196,30,68,71,21,57,92,40,44,69,37,18,51,88,39,3,50,23,4,42,40,30,614,453,348,388,130,547
2020년04월_여_30~39세,"3,572",211,32,93,57,21,72,85,39,47,56,32,23,48,81,25,6,71,18,3,43,29,20,624,542,342,359,149,444
2020년04월_여_40~49세,"5,550",344,39,115,118,27,83,115,39,66,110,70,20,70,130,54,11,147,34,12,59,75,24,965,693,582,617,227,704
2020년04월_여_50~59세,"8,191",533,96,298,236,90,210,313,128,179,244,149,93,168,269,118,27,247,89,26,162,146,68,"1,088",777,691,701,306,739
2020년04월_여_60~69세,"9,139",653,172,420,315,108,303,511,184,209,308,199,73,231,283,134,43,298,144,32,257,208,90,991,694,634,684,368,593
2020년04월_여_70~79세,"7,276",576,176,418,318,97,291,422,171,178,210,165,67,190,246,107,33,274,161,44,251,247,75,638,412,452,463,256,338
2020년04월_여_80~89세,"5,628",459,127,393,299,106,240,330,160,156,154,138,62,144,196,73,26,234,104,45,231,221,76,348,255,328,298,171,254
2020년04월_여_90~99세,987,74,21,72,61,11,52,57,33,28,22,14,11,36,27,16,4,41,22,7,44,44,18,69,45,47,38,31,42
2020년04월_여_100세 이상,51,6,1,3,4,2,3,1,0,0,2,0,0,0,1,2,0,3,2,0,1,2,1,8,0,2,4,3,0
