,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2020년07월_계_총인구수,"542,655","55,664","18,036","6,677","7,779","3,829","3,227","6,265","10,023","9,576","10,195","74,341","80,552","9,599","41,116","34,094","7,877","56,145","36,782","70,878"
2020년07월_계_연령구간인구수,"542,655","55,664","18,036","6,677","7,779","3,829","3,227","6,265","10,023","9,576","10,195","74,341","80,552","9,599","41,116","34,094","7,877","56,145","36,782","70,878"
2020년07월_계_0~9세,"50,708","6,651","2,760",236,212,79,85,177,584,660,637,"4,979","7,570",564,"2,715","1,701",572,"5,592","3,851","11,083"
2020년07월_계_10~19세,"61,858","5,952","1,284",350,367,124,161,219,721,597,673,"8,035","10,711",718,"3,939","3,256",800,"8,080","5,256","10,615"
2020년07월_계_20~29세,"69,095","5,430","2,228",636,661,326,284,476,"1,323","1,153","1,472","12,455","10,830","1,286","6,267","5,822","1,022","6,788","4,332","6,304"
2020년07월_계_30~39세,"71,200","9,113","4,114",560,606,256,254,448,"1,304","1,259","1,259","8,404","9,740",984,"4,572","3,137",828,"7,020","4,890","12,452"
2020년07월_계_40~49세,"99,255","10,695","2,810",846,760,355,355,603,"1,418","1,287","1,480","12,259","15,642","1,379","6,658","5,244","1,292","12,049","7,885","16,238"
2020년07월_계_50~59세,"95,837","8,207","2,704","1,521","1,677",865,737,"1,175","2,036","1,807","2,125","16,164","14,470","2,019","8,727","7,657","1,551","8,900","5,846","7,649"
2020년07월_계_60~69세,"56,071","5,685","1,367","1,328","1,807",909,785,"1,708","1,556","1,559","1,537","7,286","7,135","1,555","5,046","4,432","1,101","4,382","2,823","4,070"
2020년07월_계_70~79세,"26,013","2,622",466,754,"1,023",599,381,948,738,871,710,"3,143","2,999",738,"2,234","1,901",494,"2,271","1,335","1,786"
2020년07월_계_80~89세,"11,185","1,146",269,384,594,283,148,440,304,340,264,"1,437","1,296",324,858,853,192,956,499,598
2020년07월_계_90~99세,"1,356",154,34,61,71,32,34,69,34,38,32,170,153,31,89,87,20,101,65,81
2020년07월_계_100세 이상,77,9,0,1,1,1,3,2,5,5,6,9,6,1,11,4,5,6,0,2
2020년07월_남_총인구수,"274,482","28,647","9,210","3,624","4,235","2,022","1,775","3,242","5,120","4,846","5,234","37,016","40,366","5,054","20,895","17,472","3,988","28,036","18,463","35,237"
2020년07월_남_연령구간인구수,"274,482","28,647","9,210","3,624","4,235","2,022","1,775","3,242","5,120","4,846","5,234","37,016","40,366","5,054","20,895","17,472","3,988","28,036","18,463","35,237"
2020년07월_남_0~9세,"25,873","3,408","1,390",138,118,53,51,80,301,349,353,"2,596","3,856",287,"1,378",885,301,"2,803","1,931","5,595"
2020년07월_남_10~19세,"32,262","3,119",658,192,218,65,86,125,361,327,357,"4,184","5,662",379,"2,086","1,715",396,"4,158","2,715","5,459"
2020년07월_남_20~29세,"37,470","2,987","1,115",380,423,197,166,294,739,644,798,"6,711","5,862",706,"3,359","3,265",551,"3,663","2,320","3,290"
2020년07월_남_30~39세,"36,606","4,711","2,144",313,387,153,154,266,750,654,692,"4,357","4,864",565,"2,483","1,755",441,"3,484","2,493","5,940"
2020년07월_남_40~49세,"49,332","5,753","1,459",530,492,217,215,345,724,683,759,"5,703","7,430",746,"3,331","2,564",637,"5,864","3,829","8,051"
2020년07월_남_50~59세,"49,394","4,244","1,372",877,952,479,423,625,"1,035",901,"1,080","8,011","7,408","1,087","4,412","3,877",799,"4,679","3,103","4,030"
2020년07월_남_60~69세,"28,564","2,842",769,718,990,484,430,903,789,784,767,"3,807","3,616",842,"2,601","2,338",566,"2,082","1,361","1,875"
2020년07월_남_70~79세,"11,222","1,191",220,327,473,282,193,447,326,373,323,"1,217","1,243",329,966,791,220,957,546,798
2020년07월_남_80~89세,"3,470",365,74,140,171,84,48,139,87,122,98,392,393,110,255,266,69,320,150,187
2020년07월_남_90~99세,266,25,9,9,11,8,8,17,5,8,6,35,32,3,19,15,6,23,15,12
2020년07월_남_100세 이상,23,2,0,0,0,0,1,1,3,1,1,3,0,0,5,1,2,3,0,0
2020년07월_여_총인구수,"268,173","27,017","8,826","3,053","3,544","1,807","1,452","3,023","4,903","4,730","4,961","37,325","40,186","4,545","20,221","16,622","3,889","28,109","18,319","35,641"
2020년07월_여_연령구간인구수,"268,173","27,017","8,826","3,053","3,544","1,807","1,452","3,023","4,903","4,730","4,961","37,325","40,186","4,545","20,221","16,622","3,889","28,109","18,319","35,641"
2020년07월_여_0~9세,"24,835","3,243","1,370",98,94,26,34,97,283,311,284,"2,383","3,714",277,"1,337",816,271,"2,789","1,920","5,488"
2020년07월_여_10~19세,"29,596","2,833",626,158,149,59,75,94,360,270,316,"3,851","5,049",339,"1,853","1,541",404,"3,922","2,541","5,156"
2020년07월_여_20~29세,"31,625","2,443","1,113",256,238,129,118,182,584,509,674,"5,744","4,968",580,"2,908","2,557",471,"3,125","2,012","3,014"
2020년07월_여_30~39세,"34,594","4,402","1,970",247,219,103,100,182,554,605,567,"4,047","4,876",419,"2,089","1,382",387,"3,536","2,397","6,512"
