기준날짜,누적확진자수,누적사망자수,카테고리
2020-01-20,0,0,0-9
2020-01-20,0,0,남성
2020-01-20,1,0,여성
2020-01-20,0,0,80 이상
2020-01-20,0,0,70-79
2020-01-20,0,0,10-19
2020-01-20,0,0,50-59
2020-01-20,0,0,40-49
2020-01-20,1,0,30-39
2020-01-20,0,0,20-29
2020-01-20,0,0,60-69
2020-01-21,0,0,남성
2020-01-21,1,0,여성
2020-01-21,0,0,80 이상
2020-01-21,0,0,70-79
2020-01-21,0,0,60-69
2020-01-21,0,0,40-49
2020-01-21,1,0,30-39
2020-01-21,0,0,20-29
2020-01-21,0,0,10-19
2020-01-21,0,0,0-9
2020-01-21,0,0,50-59
2020-01-22,0,0,70-79
2020-01-22,0,0,남성
2020-01-22,1,0,여성
2020-01-22,0,0,80 이상
2020-01-22,0,0,60-69
2020-01-22,0,0,0-9
2020-01-22,0,0,40-49
2020-01-22,1,0,30-39
2020-01-22,0,0,20-29
2020-01-22,0,0,10-19
2020-01-22,0,0,50-59
2020-01-23,0,0,80 이상
2020-01-23,0,0,남성
2020-01-23,1,0,여성
2020-01-23,0,0,70-79
2020-01-23,0,0,60-69
2020-01-23,0,0,40-49
2020-01-23,1,0,30-39
2020-01-23,0,0,20-29
2020-01-23,0,0,10-19
2020-01-23,0,0,50-59
2020-01-23,0,0,0-9
2020-01-24,1,0,여성
2020-01-24,1,0,남성
2020-01-24,0,0,80 이상
2020-01-24,0,0,70-79
2020-01-24,0,0,60-69
2020-01-24,1,0,50-59
2020-01-24,0,0,40-49
2020-01-24,1,0,30-39
2020-01-24,0,0,20-29
2020-01-24,0,0,10-19
2020-01-24,0,0,0-9
2020-01-25,1,0,남성
2020-01-25,1,0,여성
2020-01-25,0,0,80 이상
2020-01-25,0,0,70-79
2020-01-25,0,0,60-69
2020-01-25,0,0,0-9
2020-01-25,0,0,40-49
2020-01-25,1,0,30-39
2020-01-25,0,0,20-29
2020-01-25,0,0,10-19
2020-01-25,1,0,50-59
2020-01-26,0,0,80 이상
2020-01-26,0,0,70-79
2020-01-26,2,0,남성
2020-01-26,1,0,여성
2020-01-26,0,0,60-69
2020-01-26,2,0,50-59
2020-01-26,0,0,40-49
2020-01-26,1,0,30-39
2020-01-26,0,0,20-29
2020-01-26,0,0,10-19
2020-01-26,0,0,0-9
2020-01-27,3,0,남성
2020-01-27,1,0,여성
2020-01-27,0,0,80 이상
2020-01-27,0,0,70-79
2020-01-27,0,0,60-69
2020-01-27,0,0,40-49
2020-01-27,1,0,30-39
2020-01-27,0,0,20-29
2020-01-27,0,0,10-19
2020-01-27,0,0,0-9
2020-01-27,3,0,50-59
2020-01-28,0,0,70-79
2020-01-28,3,0,남성
2020-01-28,1,0,여성
2020-01-28,0,0,80 이상
2020-01-28,0,0,60-69
2020-01-28,0,0,0-9
2020-01-28,0,0,40-49
2020-01-28,1,0,30-39
2020-01-28,0,0,20-29
2020-01-28,0,0,10-19
2020-01-28,3,0,50-59
2020-01-29,0,0,70-79
2020-01-29,3,0,남성
2020-01-29,1,0,여성
2020-01-29,0,0,80 이상
2020-01-29,0,0,60-69
2020-01-29,3,0,50-59
2020-01-29,0,0,40-49
2020-01-29,1,0,30-39
2020-01-29,0,0,20-29
2020-01-29,0,0,10-19
2020-01-29,0,0,0-9
2020-01-30,6,0,남성
2020-01-30,1,0,여성
2020-01-30,0,0,80 이상
2020-01-30,0,0,70-79
2020-01-30,0,0,60-69
2020-01-30,0,0,40-49
2020-01-30,2,0,30-39
2020-01-30,1,0,20-29
2020-01-30,0,0,10-19
2020-01-30,0,0,0-9
2020-01-30,4,0,50-59
2020-01-31,0,0,70-79
2020-01-31,7,0,남성
2020-01-31,4,0,여성
2020-01-31,0,0,80 이상
2020-01-31,1,0,60-69
2020-01-31,0,0,0-9
2020-01-31,0,0,40-49
2020-01-31,2,0,30-39
2020-01-31,3,0,20-29
2020-01-31,0,0,10-19
2020-01-31,5,0,50-59
2020-02-01,0,0,80 이상
2020-02-01,8,0,남성
2020-02-01,4,0,여성
2020-02-01,0,0,70-79
2020-02-01,1,0,60-69
2020-02-01,5,0,50-59
2020-02-01,1,0,40-49
2020-02-01,2,0,30-39
2020-02-01,3,0,20-29
2020-02-01,0,0,10-19
2020-02-01,0,0,0-9
2020-02-02,10,0,남성
2020-02-02,5,0,여성
2020-02-02,0,0,80 이상
2020-02-02,0,0,70-79
2020-02-02,1,0,60-69
2020-02-02,5,0,50-59
2020-02-02,3,0,40-49
2020-02-02,2,0,30-39
2020-02-02,4,0,20-29
2020-02-02,0,0,10-19
2020-02-02,0,0,0-9
2020-02-03,10,0,남성
2020-02-03,5,0,여성
2020-02-03,0,0,80 이상
2020-02-03,0,0,70-79
2020-02-03,1,0,60-69
2020-02-03,0,0,0-9
2020-02-03,3,0,40-49
2020-02-03,2,0,30-39
2020-02-03,4,0,20-29
2020-02-03,0,0,10-19
2020-02-03,5,0,50-59
2020-02-04,0,0,70-79
2020-02-04,10,0,남성
2020-02-04,6,0,여성
2020-02-04,0,0,80 이상
2020-02-04,1,0,60-69
2020-02-04,5,0,50-59
2020-02-04,4,0,40-49
2020-02-04,2,0,30-39
2020-02-04,4,0,20-29
2020-02-04,0,0,10-19
2020-02-04,0,0,0-9
2020-02-05,12,0,남성
