지역명,2017-05-01 09:00:52,2017-06-01 09:00:52,2017-07-01 09:00:52,2017-08-01 09:00:52,2017-09-01 09:00:52,2017-10-01 09:00:52,2017-11-01 09:00:52,2017-12-01 09:00:52,2018-01-01 09:00:52,2018-02-01 09:00:52,2018-03-01 09:00:52,2018-04-01 09:00:52,2018-05-01 09:00:52,2018-06-01 09:00:52,2018-07-01 09:00:52,2018-08-01 09:00:52,2018-09-01 09:00:52,2018-10-01 09:00:52,2018-11-01 09:00:52,2018-12-01 09:00:52,2019-01-01 09:00:52,2019-02-01 09:00:52,2019-03-01 09:00:52,2019-04-01 09:00:52,2019-05-01 09:00:52,2019-06-01 09:00:52,2019-07-01 09:00:52,2019-08-01 09:00:52,2019-09-01 09:00:52,2019-10-01 09:00:52,2019-11-01 09:00:52,2019-12-01 09:00:52,2020-01-01 09:00:52,2020-02-01 09:00:52,2020-03-01 09:00:52,2020-04-01 09:00:52,2020-05-01 09:00:52,2020-06-01 09:00:52,2020-07-01 09:00:52,2020-08-01 09:00:52,2020-09-01 09:00:52,2020-10-01 09:00:52,2020-11-01 09:00:52,2020-12-01 09:00:52,2021-01-01 09:00:52,2021-02-01 09:00:52,2021-03-01 09:00:52,2021-04-01 09:00:52,2021-05-01 09:00:52,2021-06-01 09:00:52,2021-07-01 09:00:52,2021-08-01 09:00:52,2021-09-01 09:00:52,2021-10-01 09:00:52,2021-11-01 09:00:52,2021-12-01 09:00:52,2022-01-01 09:00:52,2022-02-01 09:00:52,2022-03-01 09:00:52,2022-04-01 09:00:52
용인시 처인구,248.37,248.41,248.53,248.46,248.32,247.17,246.16,245.04,244.25,243.94,243.62,243.65,242.98,242.35,241.91,241.63,241.51,240.71,240.44,240.35,240.19,240.18,239.86,238.88,238.54,237.24,234.77,234.71,234.71,234.71,235.15,235.18,235.49,235.62,237.33,237.56,237.87,239.16,240.98,241.91,244.6,246.63,247.46,253.93,257.3,262.33,268.21,277.9,281.29,293.14,308.54,322.09,338.35,346.25,353.92,357.71,359.02,359.84,360.6,361.67
용인시 기흥구,358.28,358.68,359.38,359.63,359.56,360.16,359.75,360.11,359.79,359.79,361.13,363.1,364.92,367.03,371.54,373.44,379.5,390.23,395.93,397.94,396.78,396.02,395.54,394.33,394.62,393.96,393.48,394.16,394.78,395.02,395.98,398.06,401.6,407.68,422.17,428.45,431.82,444.41,458.79,475.28,493.11,501.73,520.8,538.9,559.76,581.43,592.99,603.09,610.79,625.95,646.15,663.37,681.49,693.91,701.5,705.73,707.39,707.39,708.25,708.72
용인시 수지구,444.97,446.53,446.72,447.29,447.66,447.74,448.21,449.12,452.11,457.87,467.22,472.05,476.04,477.97,480.8,483.35,498.87,521.41,525.44,526.16,523.75,524.21,523.39,521.84,521.45,519.15,519.04,519.4,521.29,521.31,523.83,533.78,542.57,566.83,594.36,598.33,599.27,610.72,630.34,646.75,662.2,674.83,700.87,725.85,749.62,783.88,806.73,816.57,821.74,831.82,841.59,860.3,881.68,892.52,899.33,902,902.48,902.8,901.66,901.6
파주시,266.98,268.09,270.78,272.07,272.66,273.7,274.88,275.54,275.7,276.25,276.51,277.02,277.25,277.62,277.99,277.98,277.35,277.35,277.59,278.17,278.21,278.12,277.51,276.49,275.66,274.3,273.74,273.64,273.43,273.25,273.1,273.27,273.27,273.3,272.76,272.58,271.98,271.93,274.25,276.24,280.54,283.17,293.6,316.57,324.18,328.97,334.99,338.42,341.78,348.93,356.04,360.08,365.3,369.18,374.82,377.74,381.87,383.69,384.72,386.65
이천시,255.45,255.63,256.34,256.3,256.25,256.15,256.38,256.22,255.82,255.82,255.97,256.26,255.7,255.56,254.75,254.43,254.5,253.83,253.8,253.81,253.53,253.25,251.55,251.34,250.98,250.77,250.56,250.35,250.2,249.42,249.39,248.85,248.95,248.83,249.05,248.96,249.18,249.74,249.8,250.1,250.13,250.26,250.02,250,250.39,251.69,254.18,256.22,258.41,263.94,267.47,274.25,285.8,292,303.57,306.72,311.27,313.88,318.26,323.19
안성시,217,217,216.89,216.76,216.98,217.23,217.54,217.73,217.44,217.44,217.13,215.38,215.16,214.13,211.67,210.85,210.22,208.58,207.68,207.1,207.45,205.73,201.21,198.21,195.55,192.89,190.13,188.61,188.24,187.85,186.6,186.64,186.04,186.68,188.88,190.85,191.57,192.83,193.28,193.77,194.4,194.5,194.63,195.09,196.36,197.95,204.33,206.57,211.91,219.39,233.47,249.91,264.34,276.2,283.32,287.93,339.22,292.72,295.28,297.37
김포시,305.92,306.87,308.05,308.96,309.97,311.89,313.55,314.43,315.78,316.24,317.14,317.62,317.52,317.79,318.21,318.34,318.97,319.8,321.42,320.79,320.61,320.82,321.09,321.03,320.74,318.58,318.73,320.01,319.99,320.05,319.95,320.32,320.72,321.17,322.15,322.24,322.24,322.32,328.69,333,338.31,343.7,385.7,400.28,415.95,435.61,452.06,459.29,462.86,467.3,471.25,478.19,492.41,499.66,509.14,512.07,514.49,515.6,515.54,516.15
화성시,315.65,315.73,315.9,316.47,317.18,317.37,317.37,317.37,317.35,317.96,319.52,319.62,319.36,320.98,322.36,322.99,327.6,330.76,331.05,332.46,347.94,347.67,347.33,346.24,346.09,345.99,345.25,344.72,343.34,341.71,340.33,342.48,347.79,361.73,384.41,390.03,392.84,399.13,410.01,415.64,424.51,429.77,439.01,449.17,460.61,473.65,486.99,501.5,511.51,527.16,541.52,565.95,598.53,612.26,619.47,621.51,621.85,618.87,617.12,616.7
광주시,298.83,299.01,299.07,299.19,299.19,298.2,297.75,296.76,296.29,297.2,297.8,297.76,297.71,297.71,295.18,294.34,294.95,295.1,295.23,295.32,295.12,295.08,293.06,291.95,291.3,291.13,288.02,287.4,287.07,286.67,286.1,286.62,286.99,287.09,289.05,289.8,290.24,295.35,299.22,304.99,316.13,320.26,332.97,345.74,352.09,362.72,374.14,380.41,396,405.79,417.69,432.21,452.45,465,473.55,477.74,589.11,481.71,481.71,481.85
양주시,224.96,224.85,224.84,225.07,225.26,225.04,225.52,225.56,225.05,224.91,225.1,225.24,225.4,225.33,225.13,225.01,225.14,225.31,225.37,224.42,227.69,227.76,227.68,227.15,226.79,226.19,225.41,225.5,225.21,225.28,225.29,225.28,225.28,225.49,225.54,225.47,225.35,225.75,226.83,227.03,229.31,229.83,230.84,232.86,241.74,261.91,279.65,289.69,298.19,305.92,311.12,317.32,331.46,337.03,350.22,352.96,447.52,357.22,358.23,358.94
