지역,구분,2017-04-01 09:00:52,2017-05-01 09:00:52,2017-06-01 09:00:52,2017-07-01 09:00:52,2017-08-01 09:00:52,2017-09-01 09:00:52,2017-10-01 09:00:52,2017-11-01 09:00:52,2017-12-01 09:00:52,2018-01-01 09:00:52,2018-02-01 09:00:52,2018-03-01 09:00:52,2018-04-01 09:00:52,2018-05-01 09:00:52,2018-06-01 09:00:52,2018-07-01 09:00:52,2018-08-01 09:00:52,2018-09-01 09:00:52,2018-10-01 09:00:52,2018-11-01 09:00:52,2018-12-01 09:00:52,2019-01-01 09:00:52,2019-02-01 09:00:52,2019-03-01 09:00:52,2019-04-01 09:00:52,2019-05-01 09:00:52,2019-06-01 09:00:52,2019-07-01 09:00:52,2019-08-01 09:00:52,2019-09-01 09:00:52,2019-10-01 09:00:52,2019-11-01 09:00:52,2019-12-01 09:00:52,2020-01-01 09:00:52,2020-02-01 09:00:52,2020-03-01 09:00:52,2020-04-01 09:00:52,2020-05-01 09:00:52,2020-06-01 09:00:52,2020-07-01 09:00:52,2020-08-01 09:00:52,2020-09-01 09:00:52,2020-10-01 09:00:52,2020-11-01 09:00:52,2020-12-01 09:00:52,2021-01-01 09:00:52,2021-02-01 09:00:52,2021-03-01 09:00:52,2021-04-01 09:00:52,2021-05-01 09:00:52,2021-06-01 09:00:52,2021-07-01 09:00:52,2021-08-01 09:00:52,2021-09-01 09:00:52,2021-10-01 09:00:52,2021-11-01 09:00:52,2021-12-01 09:00:52,2022-01-01 09:00:52,2022-02-01 09:00:52,2022-03-01 09:00:52,2022-04-01 09:00:52
전국,대형,76445,76788,77430,77966,78824,79003,79328,79749,80437,81656,82602,83925,84890,85366,85644,86043,86654,88632,89910,90610,90766,88544,88620,88542,88473,88447,88523,89223,89863,90505,90758,90466,91266,93173,93961,94799,94937,95089,95933,97568,98924,100730,102115,104546,106504,108627,110916,112438,113983,115294,117493,119007,120973,123164,125334,127979,129266,129970,131079,132090,133324
전국,중대형,48069,48245,48649,48942,49468,49618,49801,50105,50503,51132,51739,52501,53019,53262,53435,53703,54177,55735,56492,56814,56945,55770,55780,55727,55649,55648,55668,55926,56274,56615,56749,57069,57699,59031,59775,60625,60864,61017,61768,63040,64207,65677,66408,68153,69746,71327,73205,74690,75809,76779,78388,79654,81099,82609,83960,85649,86461,87316,88211,88951,89472
전국,중형,43520,43723,44190,44343,44723,44878,45107,45326,45605,46276,46769,47578,47846,48023,48275,48463,48916,50267,51011,51547,51656,44391,44387,44297,44201,44143,44124,44278,44653,44915,45013,45288,45756,46777,47302,48366,48582,48761,49286,50369,51301,52208,52766,53937,55456,56649,58006,59187,60058,60811,62001,62826,64020,65225,69221,73474,74872,76366,78078,79459,80510
전국,중소형,30661,30773,30970,31135,31406,31505,31633,31818,32007,32295,32558,32966,33204,33330,33417,33526,33753,34542,34993,35173,35240,32835,32813,32764,32705,32675,32651,32738,32822,32925,32947,33124,33437,34092,34472,35088,35296,35396,35833,36594,37254,37955,38382,39236,40097,40954,41978,42922,43615,44205,45089,45809,46823,47785,49563,51522,52396,53288,54185,54903,55376
전국,소형,19591,19661,19827,19968,20126,20194,20274,20344,20436,20602,20728,20954,21087,21136,21189,21245,21393,21920,22209,22311,22326,22904,22854,22754,22691,22650,22619,22741,22860,22978,22980,23074,23269,23677,23918,24315,24427,24479,24779,25385,25872,26367,26643,27074,27529,27954,28569,29194,29664,30127,30751,31334,32173,33033,33520,34107,34084,34075,34069,34063,34057
서울특별시,대형,146105,147153,149283,150468,152948,153249,154083,155136,157251,160580,163369,167452,169511,170466,170876,171969,173642,179371,182763,184767,185010,181361,181285,180981,180783,180638,180955,183343,185538,187550,188058,186202,188259,192921,194239,195214,195127,195214,196533,199841,202692,206277,208109,210777,213029,215817,218671,221106,223281,225775,229690,232896,237097,241197,247301,254459,258024,260531,263928,267009,269707
서울특별시,중대형,79960,80511,81885,82709,84311,84629,85152,86165,87493,89461,91538,94014,95596,96270,96811,97655,99251,104267,106423,107387,107734,108609,108527,108326,108012,108035,108237,109384,110857,112125,112483,113570,115479,119010,120525,121809,121954,122031,123054,126119,128619,131812,133067,135454,137578,140042,142974,145321,146546,148465,151047,153061,155394,157733,159588,162333,163552,164871,166302,167502,168378
서울특별시,중형,79298,80326,82747,82884,84051,84429,85196,86004,87609,90099,92128,95932,96761,97323,97901,98792,100069,104904,106858,108823,109127,90934,90944,90675,90488,90382,90436,91421,92551,93617,93991,95037,96557,99516,100778,102833,103058,103117,103878,106714,109169,111150,112522,113918,115847,118064,120831,123046,124844,125896,128173,129615,131974,134488,141897,149778,152869,155320,158444,161059,163083
서울특별시,중소형,53975,54464,55332,56013,57171,57502,58118,58953,59885,61193,62409,64397,65630,66230,66673,67284,68461,71896,73677,74514,74771,69607,69582,69445,69422,69501,69651,70507,71166,71824,72277,73049,74292,76669,77680,79158,79567,79654,80664,83137,85490,87835,88986,90729,92151,93921,95947,97629,98658,99585,101262,102464,104201,106003,109964,114309,116225,118194,120181,121798,122895
서울특별시,소형,37883,38202,39007,39637,40333,40606,40994,41360,41861,42835,43550,44790,45716,46073,46469,46953,47803,50347,51893,52569,52738,55771,55613,55350,55293,55276,55422,56300,57027,57728,57908,58364,59208,60817,61588,62597,62739,62730,63483,65588,67515,69515,70521,71812,72893,73982,75402,76789,77578,78496,79769,80957,82668,84599,85413,86452,86516,86606,86693,86773,86831
강북14개구,대형,110296,111014,112670,113211,114097,114520,115062,116255,116772,118382,119307,121101,123462,124249,124970,126276,127097,131319,133814,135040,135741,133319,133411,133300,133631,133648,133674,134807,135460,136393,136659,138014,139989,143295,144600,145693,146036,146126,146619,148054,151213,154649,155927,157675,159381,160816,162673,165565,169819,171065,174355,176000,180650,183400,188462,194272,197103,199057,201598,203778,205673
강북14개구,중대형,63010,63341,63893,64272,65107,65454,65735,66069,66467,67347,68251,69852,71365,71935,72517,73379,74401,78180,79981,80949,81513,82162,82181,82172,82329,82353,82379,82785,83493,84212,84582,85334,86528,89170,90531,92272,92616,92865,94205,96274,98222,100921,102268,104650,106308,108494,110635,113136,114271,115481,117176,118594,119974,122318,123945,125930,126900,127953,129083,130019,130671
강북14개구,중형,57326,57872,58680,59514,60863,61300,61474,61622,62032,63103,63861,64943,65846,66227,66699,68056,68991,73600,74622,75691,76345,69922,70175,70195,70647,70714,70664,71166,71811,72820,73081,74037,75076,76924,77655,79749,80292,80408,81491,83776,85617,87183,89109,90241,92181,94464,96490,98617,101089,100984,102321,103451,105498,107838,110182,112995,114352,115817,117315,118525,119354
