년도,월,대구,중구,동구,서구,남구,북구,수성구,달서구,달성군
2020,1,311440.0,405783.0,268653.0,241967.0,281552.0,246891.0,511412.0,280770.0,226594.0
2020,2,312203.0,407633.0,269000.0,243583.0,283293.0,246846.0,512514.0,282138.0,226594.0
2020,3,312176.0,408917.0,268984.0,244467.0,282759.0,246692.0,512331.0,282356.0,226047.0
2020,4,311639.0,408050.0,268605.0,244117.0,282707.0,246064.0,511419.0,282276.0,225023.0
2020,5,311506.0,407867.0,268306.0,244100.0,282759.0,245968.0,511520.0,282316.0,224234.0
2020,6,312112.0,408633.0,268548.0,244783.0,282931.0,246032.0,513101.0,282966.0,224555.0
2020,7,313048.0,409867.0,268968.0,245467.0,283586.0,246109.0,515851.0,283948.0,224633.0
2020,8,315333.0,412067.0,269621.0,246500.0,284414.0,246494.0,524139.0,285580.0,224664.0
2020,9,318697.0,413383.0,270484.0,249850.0,285500.0,246603.0,535841.0,288454.0,225258.0
2020,10,322476.0,418033.0,271113.0,252367.0,287052.0,246949.0,548632.0,291678.0,226008.0
2020,11,328429.0,425200.0,272065.0,257033.0,289810.0,247596.0,568595.0,296822.0,226977.0
2020,12,336686.0,436000.0,273786.0,261917.0,294793.0,251212.0,587878.0,307293.0,229242.0
2021,1,342328.0,443200.0,279040.0,267350.0,296483.0,252962.0,601135.0,312494.0,231563.0
2021,2,349161.0,454267.0,285323.0,271917.0,299534.0,257359.0,615932.0,317851.0,234492.0
2021,3,354696.0,463117.0,290266.0,275067.0,302914.0,260705.0,627311.0,322126.0,238367.0
2021,4,358298.0,469400.0,292371.0,277067.0,306138.0,264000.0,633635.0,324868.0,241617.0
2021,5,361766.0,475833.0,294819.0,279317.0,308172.0,266199.0,641182.0,327339.0,244098.0
2021,6,365349.0,480950.0,297556.0,280733.0,310897.0,268404.0,648196.0,330328.0,247262.0
