년도,월,인천,중구,동구,남구,미추홀구,연수구,남동구,부평구,계양구,서구
2020,1,292262.0,255071.0,164102.0,,233234.0,407351.0,298569.0,259789.0,229883.0,314358.0
2020,2,294635.0,255548.0,163694.0,,235531.0,413045.0,299050.0,261151.0,230275.0,318549.0
2020,3,305255.0,258714.0,163519.0,,240641.0,433617.0,306484.0,268000.0,231242.0,339043.0
2020,4,311097.0,262012.0,163741.0,,244336.0,443526.0,315359.0,273007.0,232775.0,344469.0
2020,5,314314.0,263470.0,164185.0,,245781.0,448071.0,321072.0,276158.0,234742.0,346846.0
2020,6,318708.0,265732.0,164694.0,,246797.0,455325.0,326413.0,280836.0,236367.0,352309.0
2020,7,321070.0,267161.0,164870.0,,247859.0,458805.0,328638.0,283895.0,237133.0,355457.0
2020,8,322046.0,267458.0,164907.0,,249383.0,459403.0,328638.0,286487.0,237542.0,356562.0
2020,9,322873.0,268375.0,164917.0,,250055.0,460747.0,328225.0,288697.0,238158.0,357198.0
2020,10,323781.0,269173.0,165213.0,,251336.0,461636.0,328363.0,290454.0,238758.0,358167.0
2020,11,325645.0,270268.0,166139.0,,252758.0,464825.0,329934.0,292586.0,239667.0,360071.0
2020,12,328504.0,271327.0,166306.0,,254414.0,471851.0,333644.0,294678.0,241317.0,361429.0
2021,1,333219.0,273077.0,166750.0,,256188.0,485916.0,338419.0,297638.0,244192.0,363645.0
2021,2,340301.0,276470.0,167831.0,,261211.0,503344.0,345175.0,301836.0,248033.0,369438.0
2021,3,348126.0,281994.0,169463.0,,266117.0,517922.0,353684.0,308487.0,250800.0,377941.0
2021,4,356590.0,287863.0,171444.0,,270328.0,534857.0,359788.0,314842.0,255467.0,389410.0
2021,5,364657.0,293292.0,173417.0,,276328.0,548870.0,367631.0,322493.0,260833.0,397216.0
2021,6,376446.0,300387.0,178472.0,,289195.0,565838.0,378525.0,334480.0,269542.0,408469.0
