년도,월,경북,포항시,남구,북구,경주시,김천시,안동시,구미시,영주시,영천시,상주시,문경시,경산시,칠곡군
2020,1,138694.0,139797.0,137229.0,141483.0,128450.0,132732.0,132290.0,131873.0,117239.0,102679.0,135809.0,142183.0,191804.0,107000.0
2020,2,138599.0,139860.0,137493.0,141415.0,128619.0,132531.0,132333.0,131436.0,117295.0,102488.0,135838.0,142100.0,191786.0,106690.0
2020,3,138515.0,140006.0,137896.0,141392.0,129006.0,132337.0,132297.0,131164.0,117193.0,102250.0,135441.0,141750.0,191560.0,105970.0
2020,4,138384.0,140203.0,138340.0,141426.0,129225.0,131773.0,132183.0,130773.0,117125.0,101905.0,135324.0,141550.0,191321.0,105550.0
2020,5,138306.0,140360.0,138632.0,141494.0,129988.0,131192.0,132136.0,130500.0,117057.0,101476.0,135221.0,141267.0,191173.0,104470.0
2020,6,138523.0,140842.0,139028.0,142034.0,130350.0,130821.0,132200.0,130964.0,117080.0,101250.0,135103.0,141250.0,191077.0,104070.0
2020,7,139389.0,142185.0,139854.0,143716.0,130769.0,131611.0,132114.0,132636.0,117261.0,101226.0,134897.0,141250.0,191583.0,104090.0
2020,8,140410.0,143926.0,141556.0,145483.0,131769.0,131887.0,132057.0,134382.0,117580.0,101131.0,134779.0,141233.0,192113.0,104100.0
2020,9,141135.0,145012.0,142097.0,146926.0,132725.0,131508.0,132014.0,135718.0,117557.0,100976.0,134735.0,141167.0,192756.0,104210.0
2020,10,141543.0,145896.0,142771.0,147949.0,133244.0,131524.0,132000.0,135718.0,117784.0,100893.0,134456.0,141033.0,193774.0,104200.0
2020,11,142124.0,147283.0,144021.0,149426.0,134006.0,131250.0,132243.0,135982.0,118193.0,100786.0,134074.0,141033.0,194417.0,104220.0
2020,12,144082.0,150954.0,148972.0,152256.0,136700.0,132395.0,132457.0,137809.0,118750.0,100821.0,134500.0,141233.0,196036.0,104330.0
2021,1,146579.0,155394.0,154479.0,155994.0,141013.0,136540.0,132929.0,139764.0,119057.0,100750.0,135147.0,141233.0,197524.0,104460.0
2021,2,148616.0,158333.0,158139.0,158460.0,143706.0,140960.0,133421.0,142018.0,119193.0,100817.0,135338.0,141317.0,199036.0,104650.0
2021,3,149954.0,160412.0,161014.0,160017.0,144844.0,143476.0,133886.0,143759.0,119307.0,100812.0,135250.0,140567.0,199964.0,104830.0
2021,4,151117.0,161561.0,162000.0,161273.0,145981.0,145089.0,135071.0,145423.0,119830.0,100979.0,135265.0,140233.0,201310.0,105094.0
2021,5,152484.0,162578.0,162611.0,162557.0,146894.0,147427.0,136636.0,147918.0,120170.0,101050.0,135382.0,140500.0,202726.0,105354.0
2021,6,154284.0,163219.0,162792.0,163500.0,147719.0,153444.0,140570.0,151173.0,120705.0,101133.0,135574.0,140700.0,203649.0,106710.0
