년도,월,전남,목포시,여수시,순천시,나주시,광양시,무안군
2020,1,157783.0,148847.0,176056.0,173514.0,169433.0,114751.0,201850.0
2020,2,157887.0,148667.0,176368.0,174020.0,169152.0,115006.0,200925.0
2020,3,157985.0,148458.0,176875.0,174297.0,168673.0,115438.0,199613.0
2020,4,157976.0,148222.0,177181.0,174601.0,167688.0,115665.0,198563.0
2020,5,157982.0,148035.0,177493.0,174953.0,167010.0,115784.0,196988.0
2020,6,158385.0,147715.0,178340.0,176189.0,166635.0,116341.0,195913.0
2020,7,158896.0,147535.0,179104.0,177568.0,166240.0,117295.0,195113.0
2020,8,159525.0,147076.0,180319.0,179493.0,165479.0,118210.0,193738.0
2020,9,159936.0,146660.0,181458.0,180750.0,164583.0,118864.0,192375.0
2020,10,160638.0,146306.0,182833.0,182473.0,163406.0,120239.0,191950.0
2020,11,161419.0,146069.0,184368.0,184365.0,162802.0,121222.0,191088.0
2020,12,162118.0,145799.0,186097.0,185689.0,162385.0,122216.0,190163.0
2021,1,162518.0,145729.0,187063.0,186291.0,161990.0,122818.0,190400.0
2021,2,162721.0,144972.0,188132.0,186561.0,161960.0,123352.0,190525.0
2021,3,162885.0,144410.0,188854.0,186851.0,161885.0,123773.0,190625.0
2021,4,163197.0,144465.0,189583.0,186905.0,161885.0,124614.0,190700.0
2021,5,163626.0,144410.0,190271.0,186986.0,163344.0,125528.0,191000.0
2021,6,164564.0,145139.0,192042.0,187405.0,165052.0,126023.0,192525.0
