년도,월,전북,전주시,완산구,덕진구,군산시,익산시,정읍시,남원시,김제시
2020,1,144495.0,169591.0,161019.0,179203.0,113453.0,143380.0,106570.0,141088.0,89350.0
2020,2,144712.0,170061.0,160798.0,180448.0,113615.0,143196.0,106610.0,140794.0,89325.0
2020,3,145098.0,170811.0,160745.0,182099.0,113771.0,143196.0,106630.0,140691.0,89350.0
2020,4,145441.0,171551.0,160774.0,183637.0,113859.0,143065.0,106650.0,140941.0,89350.0
2020,5,145706.0,172122.0,160769.0,184854.0,113901.0,143043.0,106630.0,140853.0,89350.0
2020,6,146170.0,173067.0,161010.0,186590.0,113984.0,143120.0,106510.0,140735.0,89363.0
2020,7,147300.0,175121.0,162111.0,189712.0,114161.0,143750.0,106750.0,140735.0,89438.0
2020,8,147922.0,176116.0,162620.0,191250.0,114484.0,144245.0,106910.0,140809.0,89550.0
2020,9,148707.0,177487.0,163313.0,193382.0,114891.0,144690.0,107070.0,140441.0,89675.0
2020,10,149288.0,178491.0,163841.0,194920.0,115193.0,144929.0,107310.0,140118.0,89875.0
2020,11,150466.0,180836.0,164745.0,198882.0,115219.0,145310.0,107350.0,140162.0,90025.0
2020,12,154218.0,188397.0,169361.0,209745.0,115375.0,145913.0,107630.0,140544.0,90525.0
2021,1,154814.0,189299.0,170293.0,210613.0,115698.0,146245.0,108310.0,140691.0,90725.0
2021,2,155192.0,189720.0,170928.0,210795.0,116083.0,146625.0,108810.0,140794.0,90888.0
2021,3,155695.0,190299.0,171409.0,211484.0,116604.0,147234.0,109050.0,140838.0,91075.0
2021,4,156384.0,191129.0,172255.0,212295.0,117396.0,147799.0,109390.0,140838.0,91300.0
2021,5,157111.0,192076.0,173264.0,213173.0,118188.0,148114.0,110350.0,140941.0,91575.0
2021,6,158805.0,194427.0,176452.0,214585.0,120313.0,148571.0,111490.0,141221.0,91925.0
