년도,월,강원,춘천시,원주시,강릉시,동해시,태백시,속초시,삼척시
2020,1,141939.0,171776.0,141710.0,148257.0,107726.0,77938.0,142196.0,99806.0
2020,2,141897.0,171171.0,142108.0,148235.0,107583.0,78021.0,141946.0,99917.0
2020,3,142162.0,171316.0,142977.0,148228.0,107262.0,78063.0,141913.0,99833.0
2020,4,142106.0,171500.0,142750.0,148324.0,107119.0,78271.0,141652.0,99694.0
2020,5,141913.0,171711.0,142903.0,148669.0,106988.0,78333.0,137261.0,99792.0
2020,6,142279.0,172447.0,143335.0,149118.0,106738.0,78396.0,137326.0,100097.0
2020,7,143119.0,174230.0,144591.0,149338.0,106714.0,78375.0,137283.0,100167.0
2020,8,143807.0,175368.0,145580.0,149853.0,106714.0,78375.0,137326.0,100347.0
2020,9,144491.0,176401.0,146358.0,150963.0,106643.0,78188.0,137478.0,100403.0
2020,10,145128.0,177447.0,146841.0,152110.0,106583.0,78208.0,137891.0,100403.0
2020,11,145948.0,178520.0,147602.0,153581.0,106821.0,78250.0,138370.0,100514.0
2020,12,146930.0,179921.0,148938.0,154463.0,107060.0,78146.0,138935.0,100681.0
2021,1,148193.0,181191.0,151165.0,155713.0,107012.0,78125.0,139413.0,100778.0
2021,2,149812.0,182322.0,154466.0,157009.0,107283.0,78188.0,140174.0,100917.0
2021,3,151171.0,183809.0,156665.0,158522.0,107369.0,78313.0,140674.0,100958.0
2021,4,152347.0,186033.0,157699.0,160059.0,107298.0,78125.0,141435.0,101097.0
2021,5,153529.0,187987.0,158415.0,162265.0,107595.0,78208.0,142391.0,101181.0
2021,6,155205.0,190086.0,159352.0,166324.0,108048.0,78333.0,143935.0,101639.0
