년도,월,서울,강북지역,도심권,종로구,중구,용산구,동북권,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,서북권,은평구,서대문구,마포구,강남지역,서남권,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,동남권,서초구,강남구,송파구,강동구
2020,1,877128.0,675350.0,1138146.0,1022319.0,795743.0,1389939.0,585414.0,899118.0,1014402.0,652774.0,451372.0,589518.0,495000.0,420883.0,467222.0,764497.0,601337.0,643739.0,986221.0,1048388.0,691581.0,876286.0,615250.0,553669.0,514411.0,811102.0,835058.0,510957.0,1443392.0,1775269.0,1758527.0,1256877.0,787716.0
2020,2,877185.0,676819.0,1139670.0,1023083.0,796557.0,1392207.0,586815.0,900431.0,1014671.0,654802.0,452181.0,590634.0,496847.0,422419.0,468846.0,766171.0,602496.0,644826.0,988750.0,1047246.0,691297.0,876079.0,615932.0,555398.0,514666.0,805448.0,836250.0,511435.0,1441301.0,1776966.0,1755204.0,1251701.0,787881.0
2020,3,876857.0,678287.0,1140734.0,1023917.0,797357.0,1393524.0,588416.0,901725.0,1014598.0,656208.0,453085.0,592536.0,498750.0,424285.0,470932.0,767381.0,603490.0,645804.0,990308.0,1045394.0,692219.0,876279.0,616598.0,557297.0,515526.0,806083.0,837442.0,512663.0,1436376.0,1770507.0,1749409.0,1245727.0,788179.0
2020,4,873791.0,678617.0,1139946.0,1023250.0,796986.0,1392439.0,589155.0,901549.0,1013671.0,656472.0,453660.0,592268.0,500042.0,425803.0,472685.0,766847.0,603612.0,645533.0,989048.0,1039446.0,692695.0,875343.0,617386.0,559042.0,516397.0,806032.0,837192.0,514283.0,1423316.0,1750110.0,1732086.0,1235416.0,787343.0
2020,5,870742.0,677858.0,1138092.0,1021861.0,796157.0,1389780.0,588821.0,900892.0,1012195.0,655708.0,453798.0,591607.0,499917.0,425829.0,472710.0,765161.0,603653.0,644891.0,985192.0,1034452.0,692475.0,873414.0,617000.0,560483.0,516756.0,805485.0,836577.0,515196.0,1413039.0,1731616.0,1714102.0,1234545.0,785164.0
2020,6,871897.0,678430.0,1138299.0,1022514.0,796086.0,1389963.0,589687.0,902245.0,1013329.0,657179.0,454000.0,591839.0,500583.0,426723.0,473617.0,764905.0,603929.0,644891.0,984317.0,1036102.0,693670.0,875407.0,617136.0,562559.0,517782.0,806553.0,837298.0,516554.0,1415192.0,1732849.0,1714914.0,1240305.0,784776.0
2020,7,881834.0,685811.0,1146247.0,1029542.0,802257.0,1399354.0,596352.0,910716.0,1021037.0,665679.0,458202.0,597393.0,508569.0,432455.0,480086.0,774441.0,610286.0,651022.0,998962.0,1048209.0,701177.0,884850.0,623697.0,570017.0,521923.0,815280.0,844644.0,523196.0,1432391.0,1751014.0,1731527.0,1260838.0,796149.0
2020,8,886216.0,689877.0,1151761.0,1033625.0,806143.0,1406439.0,600137.0,916402.0,1025866.0,669858.0,461213.0,601402.0,512236.0,435491.0,483210.0,778785.0,613449.0,655065.0,1004481.0,1052860.0,705187.0,889929.0,627288.0,573797.0,524231.0,820331.0,847923.0,526967.0,1437751.0,1757795.0,1738333.0,1265377.0,798575.0
2020,9,888511.0,692167.0,1155219.0,1036486.0,807771.0,1411232.0,602112.0,918667.0,1029256.0,673406.0,463415.0,603741.0,513611.0,436295.0,484531.0,781597.0,616367.0,657641.0,1007385.0,1055158.0,707843.0,893000.0,629871.0,576415.0,525885.0,823466.0,849327.0,530511.0,1439654.0,1759164.0,1741538.0,1266416.0,800418.0
2020,10,889368.0,693234.0,1156252.0,1036681.0,808743.0,1412659.0,603028.0,920020.0,1030878.0,674415.0,464234.0,604429.0,514361.0,436875.0,485395.0,783191.0,617337.0,658402.0,1010106.0,1055837.0,708683.0,893800.0,630788.0,577288.0,526526.0,824356.0,849827.0,531663.0,1440154.0,1759747.0,1742161.0,1266792.0,800806.0
