년도,월,울산,중구,남구,동구,북구,울주군
2020,1,232432.0,270145.0,271802.0,202241.0,200330.0,194612.0
2020,2,234163.0,271605.0,274160.0,203118.0,201996.0,196290.0
2020,3,235633.0,273026.0,276340.0,203800.0,203415.0,197304.0
2020,4,236337.0,273316.0,276972.0,204300.0,204268.0,198482.0
2020,5,236837.0,273671.0,277509.0,204482.0,205138.0,198869.0
2020,6,238281.0,274724.0,280236.0,204923.0,206415.0,199524.0
2020,7,240574.0,277461.0,284396.0,206136.0,207728.0,200327.0
2020,8,243182.0,281645.0,289047.0,204909.0,209625.0,201952.0
2020,9,247128.0,286678.0,297038.0,203582.0,212103.0,204060.0
2020,10,250905.0,290974.0,305000.0,204141.0,213848.0,205345.0
2020,11,255889.0,296914.0,314604.0,205445.0,216371.0,207583.0
2020,12,267834.0,308342.0,334047.0,213373.0,224335.0,215399.0
2021,1,274755.0,316803.0,341142.0,219855.0,231022.0,221268.0
2021,2,278281.0,323618.0,343925.0,221542.0,235223.0,223708.0
2021,3,280242.0,327125.0,345547.0,221786.0,236884.0,226518.0
2021,4,281657.0,330421.0,346943.0,222142.0,238067.0,227369.0
2021,5,282904.0,333507.0,347858.0,222405.0,239902.0,227595.0
2021,6,285721.0,337967.0,351745.0,224091.0,241496.0,229476.0
