년도,월,부산,중부산권,중구,서구,동구,영도구,부산진구,남구,연제구,수영구,동부산권,해운대구,금정구,동래구,기장군,서부산권,북구,강서구,사상구,사하구
2020,1,293320.0,305323.0,148438.0,273204.0,206903.0,196767.0,255561.0,352167.0,351964.0,416855.0,336401.0,388523.0,296927.0,344484.0,223220.0,231459.0,256598.0,349581.0,193994.0,191566.0
2020,2,293719.0,305960.0,148563.0,273017.0,206736.0,196692.0,255947.0,352740.0,353250.0,418474.0,336823.0,389000.0,297902.0,345130.0,222439.0,231541.0,256802.0,350203.0,194041.0,191369.0
2020,3,293869.0,306133.0,148708.0,272767.0,206486.0,196583.0,255965.0,352740.0,353702.0,419447.0,337095.0,389188.0,298317.0,345964.0,221890.0,231528.0,256915.0,350500.0,193878.0,191228.0
2020,4,293628.0,305887.0,148208.0,272260.0,206264.0,196408.0,255702.0,352490.0,353560.0,419211.0,336889.0,389000.0,298159.0,345818.0,221476.0,231256.0,256726.0,350257.0,193564.0,190891.0
2020,5,293705.0,305755.0,148125.0,271552.0,206097.0,196308.0,255298.0,352771.0,353464.0,419197.0,337440.0,390375.0,298256.0,345922.0,220927.0,231072.0,256566.0,350095.0,193297.0,190732.0
2020,6,294232.0,306464.0,147583.0,271427.0,205819.0,196067.0,254956.0,354104.0,353679.0,423461.0,338173.0,391352.0,298305.0,347630.0,220293.0,231150.0,256755.0,350230.0,193523.0,190582.0
2020,7,297860.0,309909.0,147333.0,271740.0,205847.0,196117.0,258553.0,358583.0,355917.0,431289.0,344769.0,402664.0,299037.0,354536.0,220207.0,231756.0,257500.0,351581.0,194337.0,190664.0
2020,8,301641.0,312853.0,146708.0,272510.0,206764.0,196050.0,260184.0,362781.0,359286.0,438605.0,352457.0,416750.0,299585.0,361693.0,219293.0,232298.0,258047.0,353635.0,194767.0,190764.0
2020,9,305813.0,316515.0,146042.0,273688.0,208222.0,196033.0,261535.0,368583.0,363571.0,448000.0,360371.0,430352.0,301293.0,369568.0,218707.0,233005.0,258726.0,355149.0,195256.0,191373.0
2020,10,309186.0,319783.0,145708.0,276104.0,209250.0,196017.0,261754.0,374750.0,368798.0,454697.0,366313.0,441008.0,302561.0,374318.0,218829.0,233696.0,259406.0,356770.0,195570.0,192009.0
2020,11,317342.0,328664.0,145500.0,279385.0,210944.0,196000.0,267342.0,386479.0,382524.0,471671.0,379199.0,462680.0,306171.0,386245.0,219598.0,235789.0,261292.0,360716.0,196930.0,194164.0
2020,12,328150.0,340127.0,145708.0,285240.0,215000.0,196592.0,278404.0,404156.0,393333.0,487053.0,391498.0,476023.0,320305.0,396474.0,229805.0,244163.0,269830.0,375770.0,202169.0,202191.0
2021,1,334903.0,347297.0,145292.0,288302.0,217222.0,197275.0,285579.0,416125.0,402643.0,491316.0,398901.0,483148.0,327573.0,400807.0,243000.0,249691.0,276099.0,381770.0,206651.0,207518.0
2021,2,340103.0,353394.0,145042.0,291635.0,218722.0,197533.0,289395.0,429406.0,411964.0,493276.0,404610.0,489547.0,332659.0,406047.0,248244.0,253234.0,280458.0,386649.0,208767.0,210745.0
2021,3,343111.0,356019.0,143750.0,292560.0,219681.0,197858.0,291561.0,433771.0,416345.0,494882.0,408720.0,494570.0,335902.0,410068.0,250951.0,255508.0,282212.0,392932.0,210116.0,212791.0
2021,4,345651.0,357915.0,144000.0,295510.0,220708.0,198275.0,293754.0,435406.0,418988.0,496487.0,412241.0,499422.0,338024.0,413161.0,253073.0,257768.0,283962.0,401095.0,210791.0,214609.0
2021,5,349643.0,360502.0,143542.0,298344.0,221931.0,198717.0,295772.0,437083.0,422405.0,503053.0,418894.0,509109.0,341000.0,416651.0,260585.0,260576.0,285858.0,408689.0,212570.0,217382.0
2021,6,357195.0,365537.0,144688.0,301656.0,225986.0,200742.0,299675.0,441427.0,431333.0,510421.0,431187.0,526641.0,349512.0,425036.0,268671.0,266039.0,290632.0,416081.0,218326.0,222682.0
