"ÇàÁ¤±¸¿ª","2020³â12¿ù_°è_ÃÑÀÎ±¸¼ö","2020³â12¿ù_°è_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â12¿ù_°è_0~9¼¼","2020³â12¿ù_°è_10~19¼¼","2020³â12¿ù_°è_20~29¼¼","2020³â12¿ù_°è_30~39¼¼","2020³â12¿ù_°è_40~49¼¼","2020³â12¿ù_°è_50~59¼¼","2020³â12¿ù_°è_60~69¼¼","2020³â12¿ù_°è_70~79¼¼","2020³â12¿ù_°è_80~89¼¼","2020³â12¿ù_°è_90~99¼¼","2020³â12¿ù_°è_100¼¼ ÀÌ»ó","2020³â12¿ù_³²_ÃÑÀÎ±¸¼ö","2020³â12¿ù_³²_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â12¿ù_³²_0~9¼¼","2020³â12¿ù_³²_10~19¼¼","2020³â12¿ù_³²_20~29¼¼","2020³â12¿ù_³²_30~39¼¼","2020³â12¿ù_³²_40~49¼¼","2020³â12¿ù_³²_50~59¼¼","2020³â12¿ù_³²_60~69¼¼","2020³â12¿ù_³²_70~79¼¼","2020³â12¿ù_³²_80~89¼¼","2020³â12¿ù_³²_90~99¼¼","2020³â12¿ù_³²_100¼¼ ÀÌ»ó","2020³â12¿ù_¿©_ÃÑÀÎ±¸¼ö","2020³â12¿ù_¿©_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â12¿ù_¿©_0~9¼¼","2020³â12¿ù_¿©_10~19¼¼","2020³â12¿ù_¿©_20~29¼¼","2020³â12¿ù_¿©_30~39¼¼","2020³â12¿ù_¿©_40~49¼¼","2020³â12¿ù_¿©_50~59¼¼","2020³â12¿ù_¿©_60~69¼¼","2020³â12¿ù_¿©_70~79¼¼","2020³â12¿ù_¿©_80~89¼¼","2020³â12¿ù_¿©_90~99¼¼","2020³â12¿ù_¿©_100¼¼ ÀÌ»ó"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ (2917000000)","430,431","430,431","33,549","42,971","62,504","55,549","67,402","71,836","53,337","29,414","12,032","1,718","119","213,611","213,611","17,135","22,648","32,936","28,847","33,788","35,099","25,398","13,169","4,238","342","11","216,820","216,820","16,414","20,323","29,568","26,702","33,614","36,737","27,939","16,245","7,794","1,376","108"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï1µ¿(2917051000)","5,040","5,040","230","204","970","976","616","689","696","457","175","21","6","2,610","2,610","110","112","427","538","371","388","374","210","73","5","2","2,430","2,430","120","92","543","438","245","301","322","247","102","16","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï2µ¿(2917052000)","6,867","6,867","269","475","1,353","782","896","962","1,010","741","336","40","3","3,487","3,487","135","234","694","457","476","494","498","327","155","16","1","3,380","3,380","134","241","659","325","420","468","512","414","181","24","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï3µ¿(2917053000)","4,905","4,905","260","313","897","712","727","693","635","468","178","16","6","2,569","2,569","141","171","463","411","427","378","303","198","73","4","0","2,336","2,336","119","142","434","301","300","315","332","270","105","12","6"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Áß¾Óµ¿(2917055500)","3,273","3,273","86","123","512","407","409","571","571","390","160","39","5","1,744","1,744","48","54","246","251","254","333","300","182","66","9","1","1,529","1,529","38","69","266","156","155","238","271","208","94","30","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÀÓµ¿(2917057000)","7,943","7,943","553","565","940","1,117","1,157","1,238","1,171","878","276","43","5","3,941","3,941","293","294","478","567","617","634","516","413","121","8","0","4,002","4,002","260","271","462","550","540","604","655","465","155","35","5"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ½Å¾Èµ¿(2917058000)","11,842","11,842","446","703","2,224","1,701","1,594","1,911","1,660","1,092","444","59","8","6,192","6,192","223","362","1,133","992","935","1,030","823","499","184","11","0","5,650","5,650","223","341","1,091","709","659","881","837","593","260","48","8"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ëºÀµ¿(2917059000)","38,683","38,683","2,672","3,835","7,240","4,752","5,644","6,719","4,483","2,379","844","111","4","19,284","19,284","1,365","2,050","3,808","2,530","2,792","3,193","2,122","1,090","309","25","0","19,399","19,399","1,307","1,785","3,432","2,222","2,852","3,526","2,361","1,289","535","86","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï1µ¿(2917060100)","19,487","19,487","1,770","2,258","2,561","2,288","3,096","3,126","2,648","1,266","407","63","4","9,383","9,383","893","1,147","1,325","1,075","1,415","1,470","1,244","631","170","13","0","10,104","10,104","877","1,111","1,236","1,213","1,681","1,656","1,404","635","237","50","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï2µ¿(2917060200)","12,410","12,410","572","937","1,783","1,374","1,677","2,185","2,097","1,244","489","49","3","6,232","6,232","254","478","945","780","884","1,118","969","591","204","9","0","6,178","6,178","318","459","838","594","793","1,067","1,128","653","285","40","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï3µ¿(2917060300)","13,180","13,180","924","1,420","1,969","1,504","1,896","2,369","1,849","831","361","54","3","6,329","6,329","465","761","1,066","746","881","1,064","848","367","123","7","1","6,851","6,851","459","659","903","758","1,015","1,305","1,001","464","238","47","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ µ¿¸²µ¿(2917061500)","23,770","23,770","2,222","2,378","3,121","3,633","3,870","3,860","2,787","1,351","471","75","2","11,736","11,736","1,134","1,283","1,646","1,854","1,954","1,796","1,253","640","156","19","1","12,034","12,034","1,088","1,095","1,475","1,779","1,916","2,064","1,534","711","315","56","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ì»êµ¿(2917062000)","10,714","10,714","402","682","1,355","997","1,309","1,839","2,082","1,389","564","82","13","5,234","5,234","207","369","708","547","716","923","954","602","193","12","3","5,480","5,480","195","313","647","450","593","916","1,128","787","371","70","10"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Ç³Çâµ¿(2917063500)","6,017","6,017","546","533","738","833","947","915","755","516","203","29","2","2,990","2,990","269","265","399","429","505","481","336","236","67","3","0","3,027","3,027","277","268","339","404","442","434","419","280","136","26","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¹®È­µ¿(2917065000)","19,028","19,028","1,447","1,487","2,332","2,631","2,699","3,191","2,789","1,645","698","98","11","9,341","9,341","714","805","1,240","1,367","1,416","1,528","1,290","731","230","18","2","9,687","9,687","733","682","1,092","1,264","1,283","1,663","1,499","914","468","80","9"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¹®Èï1µ¿(2917065600)","16,450","16,450","1,118","1,967","2,434","1,661","2,497","3,067","2,174","1,040","431","60","1","8,024","8,024","537","1,019","1,307","844","1,161","1,439","1,074","473","157","13","0","8,426","8,426","581","948","1,127","817","1,336","1,628","1,100","567","274","47","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¹®Èï2µ¿(2917065700)","16,237","16,237","1,136","1,487","2,637","2,019","2,432","2,648","2,083","1,202","521","71","1","7,746","7,746","574","763","1,359","1,065","1,188","1,192","925","474","186","20","0","8,491","8,491","562","724","1,278","954","1,244","1,456","1,158","728","335","51","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ µÎ¾Ï1µ¿(2917066100)","7,961","7,961","307","654","1,124","796","1,059","1,397","1,298","929","341","53","3","3,987","3,987","173","340","609","438","558","694","577","447","137","14","0","3,974","3,974","134","314","515","358","501","703","721","482","204","39","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ µÎ¾Ï2µ¿(2917066200)","16,456","16,456","919","1,391","2,352","1,847","2,236","2,946","2,648","1,500","535","78","4","8,167","8,167","454","733","1,241","1,017","1,153","1,420","1,226","704","205","14","0","8,289","8,289","465","658","1,111","830","1,083","1,526","1,422","796","330","64","4"
