"ÇàÁ¤±¸¿ª","2021³â10¿ù_°è_ÃÑÀÎ±¸¼ö","2021³â10¿ù_°è_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â10¿ù_°è_0~9¼¼","2021³â10¿ù_°è_10~19¼¼","2021³â10¿ù_°è_20~29¼¼","2021³â10¿ù_°è_30~39¼¼","2021³â10¿ù_°è_40~49¼¼","2021³â10¿ù_°è_50~59¼¼","2021³â10¿ù_°è_60~69¼¼","2021³â10¿ù_°è_70~79¼¼","2021³â10¿ù_°è_80~89¼¼","2021³â10¿ù_°è_90~99¼¼","2021³â10¿ù_°è_100¼¼ ÀÌ»ó","2021³â10¿ù_³²_ÃÑÀÎ±¸¼ö","2021³â10¿ù_³²_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â10¿ù_³²_0~9¼¼","2021³â10¿ù_³²_10~19¼¼","2021³â10¿ù_³²_20~29¼¼","2021³â10¿ù_³²_30~39¼¼","2021³â10¿ù_³²_40~49¼¼","2021³â10¿ù_³²_50~59¼¼","2021³â10¿ù_³²_60~69¼¼","2021³â10¿ù_³²_70~79¼¼","2021³â10¿ù_³²_80~89¼¼","2021³â10¿ù_³²_90~99¼¼","2021³â10¿ù_³²_100¼¼ ÀÌ»ó","2021³â10¿ù_¿©_ÃÑÀÎ±¸¼ö","2021³â10¿ù_¿©_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â10¿ù_¿©_0~9¼¼","2021³â10¿ù_¿©_10~19¼¼","2021³â10¿ù_¿©_20~29¼¼","2021³â10¿ù_¿©_30~39¼¼","2021³â10¿ù_¿©_40~49¼¼","2021³â10¿ù_¿©_50~59¼¼","2021³â10¿ù_¿©_60~69¼¼","2021³â10¿ù_¿©_70~79¼¼","2021³â10¿ù_¿©_80~89¼¼","2021³â10¿ù_¿©_90~99¼¼","2021³â10¿ù_¿©_100¼¼ ÀÌ»ó"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ (2917000000)","427,684","427,684","32,160","41,561","61,615","54,733","65,944","71,297","55,728","29,923","12,847","1,806","70","212,370","212,370","16,450","21,880","32,422","28,536","33,153","34,983","26,529","13,421","4,613","377","6","215,314","215,314","15,710","19,681","29,193","26,197","32,791","36,314","29,199","16,502","8,234","1,429","64"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï1µ¿(2917051000)","4,817","4,817","229","163","866","954","630","636","676","451","194","16","2","2,485","2,485","108","90","375","502","391","364","362","207","80","5","1","2,332","2,332","121","73","491","452","239","272","314","244","114","11","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï2µ¿(2917052000)","6,864","6,864","261","456","1,409","790","846","989","969","770","333","40","1","3,508","3,508","135","228","728","466","446","524","475","340","151","15","0","3,356","3,356","126","228","681","324","400","465","494","430","182","25","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï3µ¿(2917053000)","4,788","4,788","246","295","885","706","707","647","628","457","194","21","2","2,529","2,529","134","158","454","426","406","370","300","194","80","7","0","2,259","2,259","112","137","431","280","301","277","328","263","114","14","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Áß¾Óµ¿(2917055500)","3,108","3,108","70","112","473","406","369","529","572","368","164","39","6","1,664","1,664","40","54","224","243","230","312","305","181","64","10","1","1,444","1,444","30","58","249","163","139","217","267","187","100","29","5"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÀÓµ¿(2917057000)","9,110","9,110","690","596","1,215","1,405","1,280","1,347","1,316","886","324","49","2","4,506","4,506","364","312","595","724","683","675","593","404","148","8","0","4,604","4,604","326","284","620","681","597","672","723","482","176","41","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ½Å¾Èµ¿(2917058000)","12,326","12,326","482","696","2,321","1,948","1,589","1,936","1,745","1,083","482","41","3","6,491","6,491","244","366","1,204","1,129","937","1,052","862","490","197","10","0","5,835","5,835","238","330","1,117","819","652","884","883","593","285","31","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ëºÀµ¿(2917059000)","38,559","38,559","2,577","3,668","7,258","4,798","5,454","6,650","4,710","2,394","931","116","3","19,199","19,199","1,280","1,929","3,842","2,578","2,722","3,150","2,235","1,088","346","29","0","19,360","19,360","1,297","1,739","3,416","2,220","2,732","3,500","2,475","1,306","585","87","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï1µ¿(2917060100)","19,369","19,369","1,671","2,245","2,485","2,209","3,107","3,073","2,770","1,318","433","57","1","9,356","9,356","855","1,153","1,271","1,059","1,428","1,444","1,290","659","184","13","0","10,013","10,013","816","1,092","1,214","1,150","1,679","1,629","1,480","659","249","44","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï2µ¿(2917060200)","12,024","12,024","504","869","1,688","1,312","1,607","2,068","2,105","1,282","524","61","4","6,070","6,070","235","432","892","758","835","1,083","992","605","222","16","0","5,954","5,954","269","437","796","554","772","985","1,113","677","302","45","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï3µ¿(2917060300)","12,707","12,707","893","1,354","1,778","1,432","1,811","2,225","1,914","854","373","73","0","6,089","6,089","450","725","969","718","837","983","892","379","122","14","0","6,618","6,618","443","629","809","714","974","1,242","1,022","475","251","59","0"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ µ¿¸²µ¿(2917061500)","23,441","23,441","2,124","2,241","3,000","3,476","3,837","3,866","2,904","1,391","521","74","7","11,559","11,559","1,098","1,201","1,575","1,754","1,963","1,823","1,300","640","188","15","2","11,882","11,882","1,026","1,040","1,425","1,722","1,874","2,043","1,604","751","333","59","5"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ì»êµ¿(2917062000)","10,343","10,343","379","630","1,295","940","1,223","1,747","2,058","1,386","599","85","1","5,024","5,024","192","337","664","519","663","885","943","606","201","14","0","5,319","5,319","187","293","631","421","560","862","1,115","780","398","71","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Ç³Çâµ¿(2917063500)","5,776","5,776","524","510","721","751","914","875","754","484","215","26","2","2,887","2,887","260","252","392","388","484","465","351","219","74","2","0","2,889","2,889","264","258","329","363","430","410","403","265","141","24","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¹®È­µ¿(2917065000)","20,953","20,953","1,660","1,625","2,588","2,994","2,947","3,432","3,098","1,726","768","108","7","10,323","10,323","833","884","1,373","1,543","1,555","1,639","1,451","757","264","23","1","10,630","10,630","827","741","1,215","1,451","1,392","1,793","1,647","969","504","85","6"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¹®Èï1µ¿(2917065600)","16,039","16,039","1,061","1,860","2,298","1,571","2,405","2,946","2,278","1,099","458","61","2","7,779","7,779","496","963","1,240","802","1,108","1,378","1,112","509","156","15","0","8,260","8,260","565","897","1,058","769","1,297","1,568","1,166","590","302","46","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¹®Èï2µ¿(2917065700)","15,742","15,742","995","1,408","2,515","1,962","2,299","2,546","2,146","1,207","576","85","3","7,484","7,484","511","721","1,280","1,038","1,139","1,153","928","477","215","21","1","8,258","8,258","484","687","1,235","924","1,160","1,393","1,218","730","361","64","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ µÎ¾Ï1µ¿(2917066100)","7,798","7,798","267","602","1,167","734","968","1,373","1,336","934","365","50","2","3,887","3,887","148","314","614","397","520","682","602","441","154","15","0","3,911","3,911","119","288","553","337","448","691","734","493","211","35","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ µÎ¾Ï2µ¿(2917066200)","16,054","16,054","830","1,301","2,267","1,687","2,169","2,889","2,705","1,540","578","87","1","7,944","7,944","421","679","1,195","902","1,123","1,426","1,225","719","238","16","0","8,110","8,110","409","622","1,072","785","1,046","1,463","1,480","821","340","71","1"
