"행정구역","2021년11월_계_총인구수","2021년11월_계_연령구간인구수","2021년11월_계_0~9세","2021년11월_계_10~19세","2021년11월_계_20~29세","2021년11월_계_30~39세","2021년11월_계_40~49세","2021년11월_계_50~59세","2021년11월_계_60~69세","2021년11월_계_70~79세","2021년11월_계_80~89세","2021년11월_계_90~99세","2021년11월_계_100세 이상","2021년11월_남_총인구수","2021년11월_남_연령구간인구수","2021년11월_남_0~9세","2021년11월_남_10~19세","2021년11월_남_20~29세","2021년11월_남_30~39세","2021년11월_남_40~49세","2021년11월_남_50~59세","2021년11월_남_60~69세","2021년11월_남_70~79세","2021년11월_남_80~89세","2021년11월_남_90~99세","2021년11월_남_100세 이상","2021년11월_여_총인구수","2021년11월_여_연령구간인구수","2021년11월_여_0~9세","2021년11월_여_10~19세","2021년11월_여_20~29세","2021년11월_여_30~39세","2021년11월_여_40~49세","2021년11월_여_50~59세","2021년11월_여_60~69세","2021년11월_여_70~79세","2021년11월_여_80~89세","2021년11월_여_90~99세","2021년11월_여_100세 이상"
"부산광역시 중구 (2611000000)","40,556","40,556","1,139","1,873","5,830","4,471","5,128","6,766","7,897","4,969","2,151","321","11","19,777","19,777","596","939","2,838","2,426","2,808","3,429","3,759","2,133","769","79","1","20,779","20,779","543","934","2,992","2,045","2,320","3,337","4,138","2,836","1,382","242","10"
"부산광역시 중구 중앙동(2611051000)","2,865","2,865","30","62","815","592","339","366","371","188","85","17","0","1,376","1,376","15","36","318","287","193","197","197","92","39","2","0","1,489","1,489","15","26","497","305","146","169","174","96","46","15","0"
"부산광역시 중구 동광동(2611052000)","2,684","2,684","70","90","290","234","313","477","560","428","189","33","0","1,363","1,363","33","42","159","132","178","247","283","204","77","8","0","1,321","1,321","37","48","131","102","135","230","277","224","112","25","0"
"부산광역시 중구 대청동(2611053000)","6,264","6,264","182","353","923","641","846","1,022","1,180","752","297","66","2","2,934","2,934","96","161","443","341","443","485","560","290","103","12","0","3,330","3,330","86","192","480","300","403","537","620","462","194","54","2"
"부산광역시 중구 보수동(2611054500)","10,555","10,555","332","528","1,524","1,119","1,372","1,794","2,034","1,216","566","68","2","5,110","5,110","166","271","760","587","747","898","944","514","204","19","0","5,445","5,445","166","257","764","532","625","896","1,090","702","362","49","2"
"부산광역시 중구 부평동(2611056000)","4,526","4,526","94","186","550","460","548","770","1,014","612","253","36","3","2,140","2,140","53","102","260","258","296","375","443","268","80","5","0","2,386","2,386","41","84","290","202","252","395","571","344","173","31","3"
"부산광역시 중구 광복동(2611057000)","974","974","20","37","94","93","99","175","244","130","66","13","3","497","497","12","17","53","51","50","93","130","60","25","5","1","477","477","8","20","41","42","49","82","114","70","41","8","2"
"부산광역시 중구 남포동(2611058000)","921","921","10","30","54","70","94","195","270","143","46","8","1","532","532","7","15","33","44","57","133","157","70","12","4","0","389","389","3","15","21","26","37","62","113","73","34","4","1"
"부산광역시 중구 영주제1동(2611059000)","4,706","4,706","161","190","845","654","633","696","779","504","213","31","0","2,405","2,405","87","95","417","389","372","364","382","222","67","10","0","2,301","2,301","74","95","428","265","261","332","397","282","146","21","0"
"부산광역시 중구 영주제2동(2611060000)","7,061","7,061","240","397","735","608","884","1,271","1,445","996","436","49","0","3,420","3,420","127","200","395","337","472","637","663","413","162","14","0","3,641","3,641","113","197","340","271","412","634","782","583","274","35","0"
