"행정구역","2021년06월_계_총인구수","2021년06월_계_연령구간인구수","2021년06월_계_0~9세","2021년06월_계_10~19세","2021년06월_계_20~29세","2021년06월_계_30~39세","2021년06월_계_40~49세","2021년06월_계_50~59세","2021년06월_계_60~69세","2021년06월_계_70~79세","2021년06월_계_80~89세","2021년06월_계_90~99세","2021년06월_계_100세 이상","2021년06월_남_총인구수","2021년06월_남_연령구간인구수","2021년06월_남_0~9세","2021년06월_남_10~19세","2021년06월_남_20~29세","2021년06월_남_30~39세","2021년06월_남_40~49세","2021년06월_남_50~59세","2021년06월_남_60~69세","2021년06월_남_70~79세","2021년06월_남_80~89세","2021년06월_남_90~99세","2021년06월_남_100세 이상","2021년06월_여_총인구수","2021년06월_여_연령구간인구수","2021년06월_여_0~9세","2021년06월_여_10~19세","2021년06월_여_20~29세","2021년06월_여_30~39세","2021년06월_여_40~49세","2021년06월_여_50~59세","2021년06월_여_60~69세","2021년06월_여_70~79세","2021년06월_여_80~89세","2021년06월_여_90~99세","2021년06월_여_100세 이상"
"경상북도 영주시 (4721000000)","102,440","102,440","5,891","8,714","9,611","8,295","13,561","17,481","18,991","11,724","7,046","1,074","52","50,850","50,850","3,061","4,555","5,623","4,444","7,005","8,993","9,125","5,317","2,489","229","9","51,590","51,590","2,830","4,159","3,988","3,851","6,556","8,488","9,866","6,407","4,557","845","43"
"경상북도 영주시 풍기읍(4721025000)","10,671","10,671","461","744","954","736","1,178","1,800","2,372","1,427","850","137","12","5,303","5,303","234","397","589","399","637","907","1,175","638","298","26","3","5,368","5,368","227","347","365","337","541","893","1,197","789","552","111","9"
"경상북도 영주시 이산면(4721031000)","2,338","2,338","51","98","175","109","180","458","583","346","296","42","0","1,204","1,204","23","50","112","60","102","264","307","170","110","6","0","1,134","1,134","28","48","63","49","78","194","276","176","186","36","0"
"경상북도 영주시 평은면(4721032000)","1,439","1,439","22","54","83","45","94","250","347","282","221","39","2","728","728","16","24","59","24","63","139","181","134","77","11","0","711","711","6","30","24","21","31","111","166","148","144","28","2"
"경상북도 영주시 문수면(4721033000)","1,951","1,951","54","87","132","106","162","324","474","303","246","61","2","999","999","29","46","84","67","101","176","258","139","86","13","0","952","952","25","41","48","39","61","148","216","164","160","48","2"
"경상북도 영주시 장수면(4721034000)","2,190","2,190","53","100","163","112","175","355","530","366","273","60","3","1,104","1,104","28","50","101","71","101","191","281","170","100","11","0","1,086","1,086","25","50","62","41","74","164","249","196","173","49","3"
"경상북도 영주시 안정면(4721035000)","2,995","2,995","80","122","184","149","251","479","753","524","384","68","1","1,517","1,517","39","68","115","100","157","253","390","250","132","13","0","1,478","1,478","41","54","69","49","94","226","363","274","252","55","1"
"경상북도 영주시 봉현면(4721036000)","2,736","2,736","69","127","168","127","254","486","741","452","268","38","6","1,393","1,393","32","65","103","73","153","255","378","229","90","13","2","1,343","1,343","37","62","65","54","101","231","363","223","178","25","4"
"경상북도 영주시 순흥면(4721037000)","2,007","2,007","37","70","124","82","134","356","573","347","241","41","2","1,006","1,006","19","41","78","50","76","187","298","157","93","6","1","1,001","1,001","18","29","46","32","58","169","275","190","148","35","1"
"경상북도 영주시 단산면(4721038000)","1,865","1,865","25","58","101","82","142","323","477","328","286","42","1","930","930","13","30","72","52","88","173","261","145","87","8","1","935","935","12","28","29","30","54","150","216","183","199","34","0"
"경상북도 영주시 부석면(4721039000)","3,046","3,046","54","110","131","133","204","533","864","563","390","63","1","1,513","1,513","30","58","75","79","134","287","426","274","137","13","0","1,533","1,533","24","52","56","54","70","246","438","289","253","50","1"
"경상북도 영주시 상망동(4721051000)","7,671","7,671","455","905","736","562","1,221","1,348","1,187","768","419","69","1","3,827","3,827","237","480","449","296","593","710","559","342","156","5","0","3,844","3,844","218","425","287","266","628","638","628","426","263","64","1"
"경상북도 영주시 하망동(4721052500)","6,193","6,193","342","571","609","466","848","1,130","1,070","721","391","40","5","2,959","2,959","177","290","342","252","415","576","476","287","132","11","1","3,234","3,234","165","281","267","214","433","554","594","434","259","29","4"
"경상북도 영주시 영주1동(4721055000)","3,986","3,986","151","288","313","278","463","670","861","581","333","44","4","1,947","1,947","88","139","188","148","244","369","384","251","118","18","0","2,039","2,039","63","149","125","130","219","301","477","330","215","26","4"
"경상북도 영주시 영주2동(4721056000)","3,542","3,542","175","244","284","252","412","613","754","513","255","39","1","1,705","1,705","105","130","158","126","207","319","328","228","96","8","0","1,837","1,837","70","114","126","126","205","294","426","285","159","31","1"
"경상북도 영주시 휴천1동(4721059000)","6,636","6,636","468","867","696","506","1,124","1,209","877","557","295","35","2","3,292","3,292","235","455","423","255","536","619","397","258","102","12","0","3,344","3,344","233","412","273","251","588","590","480","299","193","23","2"
"경상북도 영주시 휴천2동(4721060000)","8,201","8,201","431","610","968","678","1,038","1,505","1,511","945","456","57","2","4,041","4,041","210","326","543","383","538","713","687","441","186","14","0","4,160","4,160","221","284","425","295","500","792","824","504","270","43","2"
"경상북도 영주시 휴천3동(4721061000)","7,907","7,907","415","676","929","619","1,013","1,563","1,459","778","391","63","1","3,938","3,938","216","361","559","330","488","776","676","378","138","16","0","3,969","3,969","199","315","370","289","525","787","783","400","253","47","1"
"경상북도 영주시 가흥1동(4721062000)","19,070","19,070","2,031","2,189","2,000","2,479","3,449","2,690","2,276","1,230","640","83","3","9,602","9,602","1,061","1,125","1,132","1,269","1,778","1,408","1,063","520","228","17","1","9,468","9,468","970","1,064","868","1,210","1,671","1,282","1,213","710","412","66","2"
"경상북도 영주시 가흥2동(4721063000)","7,996","7,996","517","794","861","774","1,219","1,389","1,282","693","411","53","3","3,842","3,842","269","420","441","410","594","671","600","306","123","8","0","4,154","4,154","248","374","420","364","625","718","682","387","288","45","3"
