"ÇàÁ¤±¸¿ª","2020³â10¿ù_°è_ÃÑÀÎ±¸¼ö","2020³â10¿ù_°è_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â10¿ù_°è_0~9¼¼","2020³â10¿ù_°è_10~19¼¼","2020³â10¿ù_°è_20~29¼¼","2020³â10¿ù_°è_30~39¼¼","2020³â10¿ù_°è_40~49¼¼","2020³â10¿ù_°è_50~59¼¼","2020³â10¿ù_°è_60~69¼¼","2020³â10¿ù_°è_70~79¼¼","2020³â10¿ù_°è_80~89¼¼","2020³â10¿ù_°è_90~99¼¼","2020³â10¿ù_°è_100¼¼ ÀÌ»ó","2020³â10¿ù_³²_ÃÑÀÎ±¸¼ö","2020³â10¿ù_³²_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â10¿ù_³²_0~9¼¼","2020³â10¿ù_³²_10~19¼¼","2020³â10¿ù_³²_20~29¼¼","2020³â10¿ù_³²_30~39¼¼","2020³â10¿ù_³²_40~49¼¼","2020³â10¿ù_³²_50~59¼¼","2020³â10¿ù_³²_60~69¼¼","2020³â10¿ù_³²_70~79¼¼","2020³â10¿ù_³²_80~89¼¼","2020³â10¿ù_³²_90~99¼¼","2020³â10¿ù_³²_100¼¼ ÀÌ»ó","2020³â10¿ù_¿©_ÃÑÀÎ±¸¼ö","2020³â10¿ù_¿©_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â10¿ù_¿©_0~9¼¼","2020³â10¿ù_¿©_10~19¼¼","2020³â10¿ù_¿©_20~29¼¼","2020³â10¿ù_¿©_30~39¼¼","2020³â10¿ù_¿©_40~49¼¼","2020³â10¿ù_¿©_50~59¼¼","2020³â10¿ù_¿©_60~69¼¼","2020³â10¿ù_¿©_70~79¼¼","2020³â10¿ù_¿©_80~89¼¼","2020³â10¿ù_¿©_90~99¼¼","2020³â10¿ù_¿©_100¼¼ ÀÌ»ó"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ (2917000000)","431,684","431,684","33,910","43,277","62,802","55,884","67,845","72,033","52,950","29,217","11,955","1,691","120","214,238","214,238","17,278","22,830","33,046","29,028","33,992","35,203","25,248","13,062","4,197","342","12","217,446","217,446","16,632","20,447","29,756","26,856","33,853","36,830","27,702","16,155","7,758","1,349","108"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï1µ¿(2917051000)","5,029","5,029","234","200","983","959","611","698","689","453","174","22","6","2,588","2,588","105","109","438","522","367","393","366","209","72","5","2","2,441","2,441","129","91","545","437","244","305","323","244","102","17","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï2µ¿(2917052000)","6,902","6,902","276","476","1,349","781","911","972","1,017","742","337","38","3","3,515","3,515","140","237","689","463","487","498","498","330","157","15","1","3,387","3,387","136","239","660","318","424","474","519","412","180","23","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï3µ¿(2917053000)","4,998","4,998","272","318","908","722","723","722","653","477","181","16","6","2,618","2,618","146","175","474","412","430","392","312","197","76","4","0","2,380","2,380","126","143","434","310","293","330","341","280","105","12","6"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Áß¾Óµ¿(2917055500)","3,279","3,279","87","120","509","404","418","576","577","385","161","38","4","1,750","1,750","46","54","237","250","266","340","302","177","68","9","1","1,529","1,529","41","66","272","154","152","236","275","208","93","29","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÀÓµ¿(2917057000)","8,011","8,011","570","560","946","1,139","1,176","1,245","1,189","868","271","42","5","3,972","3,972","301","292","488","575","626","627","536","402","116","9","0","4,039","4,039","269","268","458","564","550","618","653","466","155","33","5"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ½Å¾Èµ¿(2917058000)","11,875","11,875","449","718","2,238","1,694","1,607","1,911","1,648","1,098","445","59","8","6,222","6,222","221","371","1,148","987","941","1,039","819","502","181","13","0","5,653","5,653","228","347","1,090","707","666","872","829","596","264","46","8"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ëºÀµ¿(2917059000)","38,149","38,149","2,621","3,813","7,122","4,627","5,626","6,650","4,411","2,331","841","103","4","19,021","19,021","1,329","2,042","3,751","2,469","2,775","3,161","2,080","1,081","310","23","0","19,128","19,128","1,292","1,771","3,371","2,158","2,851","3,489","2,331","1,250","531","80","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï1µ¿(2917060100)","19,618","19,618","1,804","2,273","2,597","2,331","3,135","3,138","2,617","1,250","401","68","4","9,438","9,438","915","1,154","1,344","1,091","1,432","1,480","1,224","618","168","12","0","10,180","10,180","889","1,119","1,253","1,240","1,703","1,658","1,393","632","233","56","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï2µ¿(2917060200)","12,551","12,551","582","950","1,822","1,405","1,711","2,212","2,091","1,240","485","50","3","6,312","6,312","262","483","969","796","898","1,128","973","588","205","10","0","6,239","6,239","320","467","853","609","813","1,084","1,118","652","280","40","3"
