"ÇàÁ¤±¸¿ª","2021³â09¿ù_°è_ÃÑÀÎ±¸¼ö","2021³â09¿ù_°è_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â09¿ù_°è_0~9¼¼","2021³â09¿ù_°è_10~19¼¼","2021³â09¿ù_°è_20~29¼¼","2021³â09¿ù_°è_30~39¼¼","2021³â09¿ù_°è_40~49¼¼","2021³â09¿ù_°è_50~59¼¼","2021³â09¿ù_°è_60~69¼¼","2021³â09¿ù_°è_70~79¼¼","2021³â09¿ù_°è_80~89¼¼","2021³â09¿ù_°è_90~99¼¼","2021³â09¿ù_°è_100¼¼ ÀÌ»ó","2021³â09¿ù_³²_ÃÑÀÎ±¸¼ö","2021³â09¿ù_³²_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â09¿ù_³²_0~9¼¼","2021³â09¿ù_³²_10~19¼¼","2021³â09¿ù_³²_20~29¼¼","2021³â09¿ù_³²_30~39¼¼","2021³â09¿ù_³²_40~49¼¼","2021³â09¿ù_³²_50~59¼¼","2021³â09¿ù_³²_60~69¼¼","2021³â09¿ù_³²_70~79¼¼","2021³â09¿ù_³²_80~89¼¼","2021³â09¿ù_³²_90~99¼¼","2021³â09¿ù_³²_100¼¼ ÀÌ»ó","2021³â09¿ù_¿©_ÃÑÀÎ±¸¼ö","2021³â09¿ù_¿©_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â09¿ù_¿©_0~9¼¼","2021³â09¿ù_¿©_10~19¼¼","2021³â09¿ù_¿©_20~29¼¼","2021³â09¿ù_¿©_30~39¼¼","2021³â09¿ù_¿©_40~49¼¼","2021³â09¿ù_¿©_50~59¼¼","2021³â09¿ù_¿©_60~69¼¼","2021³â09¿ù_¿©_70~79¼¼","2021³â09¿ù_¿©_80~89¼¼","2021³â09¿ù_¿©_90~99¼¼","2021³â09¿ù_¿©_100¼¼ ÀÌ»ó"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ (2917000000)","428,082","428,082","32,324","41,717","61,728","54,894","66,128","71,238","55,545","29,884","12,764","1,796","64","212,526","212,526","16,529","21,968","32,449","28,602","33,202","34,974","26,458","13,385","4,582","372","5","215,556","215,556","15,795","19,749","29,279","26,292","32,926","36,264","29,087","16,499","8,182","1,424","59"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï1µ¿(2917051000)","4,847","4,847","227","169","899","949","625","645","677","449","187","18","2","2,504","2,504","107","94","394","497","384","374","365","206","76","6","1","2,343","2,343","120","75","505","452","241","271","312","243","111","12","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï2µ¿(2917052000)","6,851","6,851","255","456","1,410","776","847","992","970","770","332","42","1","3,492","3,492","131","226","722","461","448","525","475","338","150","16","0","3,359","3,359","124","230","688","315","399","467","495","432","182","26","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï3µ¿(2917053000)","4,823","4,823","247","297","902","712","715","653","629","456","191","19","2","2,547","2,547","133","161","463","429","411","371","302","194","77","6","0","2,276","2,276","114","136","439","283","304","282","327","262","114","13","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Áß¾Óµ¿(2917055500)","3,119","3,119","75","114","468","407","374","537","568","368","162","41","5","1,667","1,667","42","52","223","245","233","316","303","179","64","9","1","1,452","1,452","33","62","245","162","141","221","265","189","98","32","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÀÓµ¿(2917057000)","9,036","9,036","679","599","1,188","1,401","1,265","1,334","1,312","884","322","50","2","4,468","4,468","355","317","584","722","674","667","585","407","150","7","0","4,568","4,568","324","282","604","679","591","667","727","477","172","43","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ½Å¾Èµ¿(2917058000)","12,220","12,220","468","697","2,299","1,909","1,580","1,913","1,745","1,085","482","39","3","6,428","6,428","233","370","1,189","1,102","931","1,043","865","489","196","10","0","5,792","5,792","235","327","1,110","807","649","870","880","596","286","29","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ëºÀµ¿(2917059000)","38,635","38,635","2,579","3,706","7,310","4,763","5,498","6,657","4,693","2,394","914","119","2","19,246","19,246","1,282","1,958","3,863","2,561","2,741","3,151","2,238","1,085","338","29","0","19,389","19,389","1,297","1,748","3,447","2,202","2,757","3,506","2,455","1,309","576","90","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï1µ¿(2917060100)","19,354","19,354","1,680","2,253","2,465","2,232","3,094","3,069","2,765","1,305","430","60","1","9,344","9,344","859","1,159","1,257","1,068","1,421","1,441","1,289","655","181","14","0","10,010","10,010","821","1,094","1,208","1,164","1,673","1,628","1,476","650","249","46","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï2µ¿(2917060200)","12,031","12,031","507","870","1,694","1,304","1,614","2,070","2,109","1,271","530","59","3","6,057","6,057","235","431","892","753","837","1,084","986","601","223","15","0","5,974","5,974","272","439","802","551","777","986","1,123","670","307","44","3"
