"행정구역","2021년01월_계_총인구수","2021년01월_계_연령구간인구수","2021년01월_계_0~9세","2021년01월_계_10~19세","2021년01월_계_20~29세","2021년01월_계_30~39세","2021년01월_계_40~49세","2021년01월_계_50~59세","2021년01월_계_60~69세","2021년01월_계_70~79세","2021년01월_계_80~89세","2021년01월_계_90~99세","2021년01월_계_100세 이상","2021년01월_남_총인구수","2021년01월_남_연령구간인구수","2021년01월_남_0~9세","2021년01월_남_10~19세","2021년01월_남_20~29세","2021년01월_남_30~39세","2021년01월_남_40~49세","2021년01월_남_50~59세","2021년01월_남_60~69세","2021년01월_남_70~79세","2021년01월_남_80~89세","2021년01월_남_90~99세","2021년01월_남_100세 이상","2021년01월_여_총인구수","2021년01월_여_연령구간인구수","2021년01월_여_0~9세","2021년01월_여_10~19세","2021년01월_여_20~29세","2021년01월_여_30~39세","2021년01월_여_40~49세","2021년01월_여_50~59세","2021년01월_여_60~69세","2021년01월_여_70~79세","2021년01월_여_80~89세","2021년01월_여_90~99세","2021년01월_여_100세 이상"
"경기도 동두천시 (4125000000)","94,443","94,443","6,247","8,603","11,286","10,177","14,316","16,520","13,340","8,795","4,449","625","85","47,077","47,077","3,234","4,332","6,140","5,236","7,418","8,677","6,537","3,669","1,636","177","21","47,366","47,366","3,013","4,271","5,146","4,941","6,898","7,843","6,803","5,126","2,813","448","64"
"경기도 동두천시 생연1동(4125051000)","6,992","6,992","480","590","749","769","952","1,258","1,124","658","369","40","3","3,473","3,473","257","279","421","393","501","647","551","275","137","12","0","3,519","3,519","223","311","328","376","451","611","573","383","232","28","3"
"경기도 동두천시 생연2동(4125052000)","11,900","11,900","756","1,211","1,331","1,172","1,900","2,016","1,635","1,172","635","65","7","5,853","5,853","404","616","744","578","973","1,052","763","461","245","15","2","6,047","6,047","352","595","587","594","927","964","872","711","390","50","5"
"경기도 동두천시 중앙동(4125053500)","5,134","5,134","143","205","505","433","587","1,046","1,081","657","369","83","25","2,675","2,675","79","108","275","249","355","602","578","276","117","30","6","2,459","2,459","64","97","230","184","232","444","503","381","252","53","19"
"경기도 동두천시 보산동(4125055000)","3,097","3,097","150","208","334","288","388","581","543","389","188","26","2","1,470","1,470","68","96","200","150","200","285","269","139","57","6","0","1,627","1,627","82","112","134","138","188","296","274","250","131","20","2"
"경기도 동두천시 불현동(4125056500)","27,571","27,571","1,916","2,636","3,525","3,020","4,156","4,942","3,772","2,309","1,136","147","12","13,606","13,606","970","1,326","1,882","1,536","2,076","2,528","1,868","957","417","42","4","13,965","13,965","946","1,310","1,643","1,484","2,080","2,414","1,904","1,352","719","105","8"
"경기도 동두천시 송내동(4125056600)","25,527","25,527","2,166","2,961","3,324","3,093","4,531","4,060","2,552","1,853","859","123","5","12,583","12,583","1,124","1,494","1,744","1,557","2,273","2,114","1,157","745","344","29","2","12,944","12,944","1,042","1,467","1,580","1,536","2,258","1,946","1,395","1,108","515","94","3"
"경기도 동두천시 소요동(4125058000)","8,798","8,798","392","508","929","777","1,168","1,600","1,650","1,110","563","79","22","4,549","4,549","194","276","536","410","674","870","829","527","204","25","4","4,249","4,249","198","232","393","367","494","730","821","583","359","54","18"
"경기도 동두천시 상패동(4125060000)","5,424","5,424","244","284","589","625","634","1,017","983","647","330","62","9","2,868","2,868","138","137","338","363","366","579","522","289","115","18","3","2,556","2,556","106","147","251","262","268","438","461","358","215","44","6"
