"행정구역","2021년05월_계_총인구수","2021년05월_계_연령구간인구수","2021년05월_계_0~9세","2021년05월_계_10~19세","2021년05월_계_20~29세","2021년05월_계_30~39세","2021년05월_계_40~49세","2021년05월_계_50~59세","2021년05월_계_60~69세","2021년05월_계_70~79세","2021년05월_계_80~89세","2021년05월_계_90~99세","2021년05월_계_100세 이상","2021년05월_남_총인구수","2021년05월_남_연령구간인구수","2021년05월_남_0~9세","2021년05월_남_10~19세","2021년05월_남_20~29세","2021년05월_남_30~39세","2021년05월_남_40~49세","2021년05월_남_50~59세","2021년05월_남_60~69세","2021년05월_남_70~79세","2021년05월_남_80~89세","2021년05월_남_90~99세","2021년05월_남_100세 이상","2021년05월_여_총인구수","2021년05월_여_연령구간인구수","2021년05월_여_0~9세","2021년05월_여_10~19세","2021년05월_여_20~29세","2021년05월_여_30~39세","2021년05월_여_40~49세","2021년05월_여_50~59세","2021년05월_여_60~69세","2021년05월_여_70~79세","2021년05월_여_80~89세","2021년05월_여_90~99세","2021년05월_여_100세 이상"
"전국  (0000000000)","51,683,025","51,683,025","3,874,174","4,746,103","6,754,283","6,788,072","8,220,344","8,606,589","6,957,802","3,694,633","1,774,716","255,247","11,062","25,775,853","25,775,853","1,986,395","2,452,759","3,545,802","3,500,737","4,178,536","4,350,445","3,405,985","1,668,937","627,553","56,377","2,327","25,907,172","25,907,172","1,887,779","2,293,344","3,208,481","3,287,335","4,041,808","4,256,144","3,551,817","2,025,696","1,147,163","198,870","8,735"
"서울특별시  (1100000000)","9,575,355","9,575,355","605,053","768,326","1,445,718","1,455,366","1,503,313","1,509,933","1,264,139","696,670","283,490","40,827","2,520","4,654,720","4,654,720","310,505","393,586","698,539","727,357","744,902","743,420","597,120","317,430","110,869","10,357","635","4,920,635","4,920,635","294,548","374,740","747,179","728,009","758,411","766,513","667,019","379,240","172,621","30,470","1,885"
"부산광역시  (2600000000)","3,367,334","3,367,334","226,629","268,529","425,129","412,056","506,123","559,326","540,745","294,051","119,162","14,830","754","1,648,965","1,648,965","116,268","138,490","221,156","211,072","255,182","272,092","255,579","132,747","43,098","3,134","147","1,718,369","1,718,369","110,361","130,039","203,973","200,984","250,941","287,234","285,166","161,304","76,064","11,696","607"
"대구광역시  (2700000000)","2,402,940","2,402,940","173,269","221,672","316,866","289,317","378,018","421,792","335,269","176,065","80,339","9,830","503","1,184,977","1,184,977","88,761","115,747","169,020","150,980","186,596","206,719","159,410","77,140","28,380","2,107","117","1,217,963","1,217,963","84,508","105,925","147,846","138,337","191,422","215,073","175,859","98,925","51,959","7,723","386"
"인천광역시  (2800000000)","2,936,382","2,936,382","222,752","272,047","396,381","401,434","480,455","509,592","383,139","177,840","79,701","12,508","533","1,470,528","1,470,528","114,400","139,854","206,594","207,679","245,819","254,664","189,846","81,296","27,624","2,625","127","1,465,854","1,465,854","108,352","132,193","189,787","193,755","234,636","254,928","193,293","96,544","52,077","9,883","406"
"광주광역시  (2900000000)","1,443,154","1,443,154","116,808","154,488","208,001","183,175","238,125","234,190","167,438","93,732","40,969","5,985","243","714,101","714,101","59,943","80,051","108,619","93,653","118,291","116,299","79,766","41,627","14,545","1,279","28","729,053","729,053","56,865","74,437","99,382","89,522","119,834","117,891","87,672","52,105","26,424","4,706","215"
"대전광역시  (3000000000)","1,457,161","1,457,161","111,167","144,225","211,313","191,713","233,876","239,909","185,594","91,503","41,696","5,963","202","727,279","727,279","57,181","74,520","110,845","100,259","116,591","119,735","90,083","41,654","15,015","1,361","35","729,882","729,882","53,986","69,705","100,468","91,454","117,285","120,174","95,511","49,849","26,681","4,602","167"
"울산광역시  (3100000000)","1,127,175","1,127,175","95,327","110,728","141,607","148,396","185,524","207,212","150,619","61,261","23,300","3,116","85","579,316","579,316","48,966","58,274","79,729","78,935","94,749","105,313","75,837","29,164","7,823","515","11","547,859","547,859","46,361","52,454","61,878","69,461","90,775","101,899","74,782","32,097","15,477","2,601","74"
"세종특별자치시  (3600000000)","362,036","362,036","47,074","43,846","38,094","61,318","70,319","46,469","31,833","14,457","7,321","1,268","37","180,778","180,778","24,055","22,029","19,507","29,930","35,768","24,260","15,768","6,693","2,498","262","8","181,258","181,258","23,019","21,817","18,587","31,388","34,551","22,209","16,065","7,764","4,823","1,006","29"
"경기도  (4100000000)","13,488,910","13,488,910","1,126,119","1,325,034","1,812,032","1,900,224","2,295,083","2,247,171","1,600,436","768,097","359,388","53,011","2,315","6,789,327","6,789,327","576,706","681,245","954,382","980,791","1,167,514","1,139,132","795,828","349,523","131,185","12,462","559","6,699,583","6,699,583","549,413","643,789","857,650","919,433","1,127,569","1,108,039","804,608","418,574","228,203","40,549","1,756"
"강원도  (4200000000)","1,535,491","1,535,491","103,387","135,474","177,230","163,622","220,994","264,724","250,142","134,102","74,025","11,329","462","772,893","772,893","52,931","70,384","99,712","85,976","113,383","136,626","124,676","60,273","26,348","2,470","114","762,598","762,598","50,456","65,090","77,518","77,646","107,611","128,098","125,466","73,829","47,677","8,859","348"
"충청북도  (4300000000)","1,596,955","1,596,955","120,558","147,489","197,119","192,514","238,517","270,172","233,727","119,892","67,252","9,385","330","809,946","809,946","61,631","76,671","109,643","102,448","123,676","139,032","117,251","54,234","23,227","2,053","80","787,009","787,009","58,927","70,818","87,476","90,066","114,841","131,140","116,476","65,658","44,025","7,332","250"
"충청남도  (4400000000)","2,117,260","2,117,260","168,278","201,399","240,593","263,718","326,325","338,051","290,722","171,113","101,792","14,746","523","1,081,854","1,081,854","86,129","104,556","132,913","142,098","174,050","179,102","145,794","77,973","35,719","3,433","87","1,035,406","1,035,406","82,149","96,843","107,680","121,620","152,275","158,949","144,928","93,140","66,073","11,313","436"
"전라북도  (4500000000)","1,794,682","1,794,682","124,523","172,288","209,564","185,440","264,055","298,283","262,317","170,496","93,082","14,093","541","892,833","892,833","63,920","89,253","113,292","95,730","135,999","154,800","129,661","75,685","31,300","3,103","90","901,849","901,849","60,603","83,035","96,272","89,710","128,056","143,483","132,656","94,811","61,782","10,990","451"
"전라남도  (4600000000)","1,842,423","1,842,423","128,551","165,018","198,363","182,218","256,081","312,594","278,221","191,406","112,602","16,760","609","927,074","927,074","65,508","85,570","110,985","95,917","136,838","168,207","140,481","84,518","35,674","3,308","68","915,349","915,349","63,043","79,448","87,378","86,301","119,243","144,387","137,740","106,888","76,928","13,452","541"
"경상북도  (4700000000)","2,633,592","2,633,592","184,571","224,023","281,517","285,527","379,683","455,782","422,381","241,308","138,556","19,559","685","1,327,307","1,327,307","95,037","117,709","159,701","152,564","197,873","236,333","210,066","108,264","45,692","3,956","112","1,306,285","1,306,285","89,534","106,314","121,816","132,963","181,810","219,449","212,315","133,044","92,864","15,603","573"
