"행정구역","2020년06월_계_총인구수","2020년06월_계_연령구간인구수","2020년06월_계_0~9세","2020년06월_계_10~19세","2020년06월_계_20~29세","2020년06월_계_30~39세","2020년06월_계_40~49세","2020년06월_계_50~59세","2020년06월_계_60~69세","2020년06월_계_70~79세","2020년06월_계_80~89세","2020년06월_계_90~99세","2020년06월_계_100세 이상","2020년06월_남_총인구수","2020년06월_남_연령구간인구수","2020년06월_남_0~9세","2020년06월_남_10~19세","2020년06월_남_20~29세","2020년06월_남_30~39세","2020년06월_남_40~49세","2020년06월_남_50~59세","2020년06월_남_60~69세","2020년06월_남_70~79세","2020년06월_남_80~89세","2020년06월_남_90~99세","2020년06월_남_100세 이상","2020년06월_여_총인구수","2020년06월_여_연령구간인구수","2020년06월_여_0~9세","2020년06월_여_10~19세","2020년06월_여_20~29세","2020년06월_여_30~39세","2020년06월_여_40~49세","2020년06월_여_50~59세","2020년06월_여_60~69세","2020년06월_여_70~79세","2020년06월_여_80~89세","2020년06월_여_90~99세","2020년06월_여_100세 이상"
"대전광역시 대덕구 (3023000000)","174,882","174,882","11,338","17,108","24,365","19,655","27,720","33,462","23,495","11,872","5,169","664","34","88,967","88,967","5,743","8,911","13,561","10,668","14,105","17,038","11,653","5,310","1,835","135","8","85,915","85,915","5,595","8,197","10,804","8,987","13,615","16,424","11,842","6,562","3,334","529","26"
"대전광역시 대덕구 오정동(3023051000)","15,042","15,042","726","1,046","2,378","1,625","2,055","2,906","2,512","1,261","451","77","5","7,968","7,968","378","561","1,313","924","1,172","1,526","1,300","609","173","10","2","7,074","7,074","348","485","1,065","701","883","1,380","1,212","652","278","67","3"
"대전광역시 대덕구 대화동(3023052000)","7,401","7,401","328","539","837","879","1,142","1,399","1,287","681","264","43","2","3,902","3,902","172","295","489","482","653","749","676","291","91","4","0","3,499","3,499","156","244","348","397","489","650","611","390","173","39","2"
"대전광역시 대덕구 회덕동(3023052500)","13,525","13,525","764","1,094","1,612","1,333","1,933","2,626","2,289","1,212","588","68","6","6,884","6,884","376","566","898","709","1,029","1,338","1,160","564","220","20","4","6,641","6,641","388","528","714","624","904","1,288","1,129","648","368","48","2"
"대전광역시 대덕구 비래동(3023053300)","16,939","16,939","1,050","1,766","2,336","1,759","2,688","3,244","2,359","1,190","490","52","5","8,448","8,448","529","923","1,282","943","1,336","1,607","1,093","533","184","17","1","8,491","8,491","521","843","1,054","816","1,352","1,637","1,266","657","306","35","4"
"대전광역시 대덕구 송촌동(3023054300)","28,431","28,431","2,185","4,049","4,207","2,832","5,330","5,573","2,487","1,132","565","68","3","14,092","14,092","1,109","2,072","2,273","1,389","2,396","2,881","1,254","492","211","14","1","14,339","14,339","1,076","1,977","1,934","1,443","2,934","2,692","1,233","640","354","54","2"
"대전광역시 대덕구 중리동(3023054600)","20,012","20,012","1,074","1,688","3,009","2,338","3,246","3,795","2,865","1,415","524","57","1","10,390","10,390","541","893","1,670","1,367","1,731","1,925","1,396","648","209","10","0","9,622","9,622","533","795","1,339","971","1,515","1,870","1,469","767","315","47","1"
"대전광역시 대덕구 신탄진동(3023055000)","11,269","11,269","550","952","1,510","1,154","1,639","2,213","1,749","997","439","60","6","5,761","5,761","263","507","848","655","862","1,160","848","458","154","6","0","5,508","5,508","287","445","662","499","777","1,053","901","539","285","54","6"
"대전광역시 대덕구 석봉동(3023056000)","14,441","14,441","1,810","1,326","1,737","2,461","2,342","2,319","1,476","621","314","34","1","7,397","7,397","924","695","964","1,274","1,224","1,153","749","292","116","6","0","7,044","7,044","886","631","773","1,187","1,118","1,166","727","329","198","28","1"
"대전광역시 대덕구 덕암동(3023057000)","14,001","14,001","833","1,345","2,047","1,640","2,252","2,703","1,709","978","435","57","2","7,410","7,410","436","699","1,205","935","1,223","1,445","852","442","160","13","0","6,591","6,591","397","646","842","705","1,029","1,258","857","536","275","44","2"
"대전광역시 대덕구 목상동(3023058000)","6,913","6,913","528","659","1,090","1,076","1,235","1,193","678","297","131","25","1","3,760","3,760","265","336","638","654","685","643","357","132","43","7","0","3,153","3,153","263","323","452","422","550","550","321","165","88","18","1"
"대전광역시 대덕구 법1동(3023060000)","9,922","9,922","473","874","1,293","924","1,348","2,003","1,567","941","447","51","1","4,702","4,702","235","446","719","486","648","982","710","349","113","14","0","5,220","5,220","238","428","574","438","700","1,021","857","592","334","37","1"
"대전광역시 대덕구 법2동(3023061000)","16,986","16,986","1,017","1,770","2,309","1,634","2,510","3,488","2,517","1,147","521","72","1","8,253","8,253","515","918","1,262","850","1,146","1,629","1,258","500","161","14","0","8,733","8,733","502","852","1,047","784","1,364","1,859","1,259","647","360","58","1"
