"행정구역","2020년11월_계_총인구수","2020년11월_계_연령구간인구수","2020년11월_계_0~9세","2020년11월_계_10~19세","2020년11월_계_20~29세","2020년11월_계_30~39세","2020년11월_계_40~49세","2020년11월_계_50~59세","2020년11월_계_60~69세","2020년11월_계_70~79세","2020년11월_계_80~89세","2020년11월_계_90~99세","2020년11월_계_100세 이상","2020년11월_남_총인구수","2020년11월_남_연령구간인구수","2020년11월_남_0~9세","2020년11월_남_10~19세","2020년11월_남_20~29세","2020년11월_남_30~39세","2020년11월_남_40~49세","2020년11월_남_50~59세","2020년11월_남_60~69세","2020년11월_남_70~79세","2020년11월_남_80~89세","2020년11월_남_90~99세","2020년11월_남_100세 이상","2020년11월_여_총인구수","2020년11월_여_연령구간인구수","2020년11월_여_0~9세","2020년11월_여_10~19세","2020년11월_여_20~29세","2020년11월_여_30~39세","2020년11월_여_40~49세","2020년11월_여_50~59세","2020년11월_여_60~69세","2020년11월_여_70~79세","2020년11월_여_80~89세","2020년11월_여_90~99세","2020년11월_여_100세 이상"
"충청북도 보은군 (4372000000)","32,456","32,456","1,459","2,119","2,382","2,216","3,356","5,940","6,759","4,591","3,111","495","28","16,326","16,326","749","1,132","1,400","1,213","1,891","3,280","3,455","2,040","1,061","104","1","16,130","16,130","710","987","982","1,003","1,465","2,660","3,304","2,551","2,050","391","27"
"충청북도 보은군 보은읍(4372025000)","14,920","14,920","1,018","1,333","1,410","1,298","1,960","2,680","2,530","1,552","985","143","11","7,432","7,432","509","720","796","653","1,042","1,427","1,248","673","334","30","0","7,488","7,488","509","613","614","645","918","1,253","1,282","879","651","113","11"
"충청북도 보은군 속리산면(4372031500)","1,915","1,915","33","87","113","93","168","402","478","340","159","39","3","993","993","20","44","73","58","107","216","258","142","67","7","1","922","922","13","43","40","35","61","186","220","198","92","32","2"
"충청북도 보은군 장안면(4372032500)","1,474","1,474","75","78","104","142","162","256","268","207","154","26","2","769","769","38","34","71","95","93","150","133","94","54","7","0","705","705","37","44","33","47","69","106","135","113","100","19","2"
"충청북도 보은군 마로면(4372033000)","2,202","2,202","50","92","86","93","156","391","561","430","300","40","3","1,058","1,058","25","49","49","51","97","213","280","189","94","11","0","1,144","1,144","25","43","37","42","59","178","281","241","206","29","3"
"충청북도 보은군 탄부면(4372034000)","1,665","1,665","25","56","85","71","107","271","413","349","255","30","3","809","809","16","30","50","45","67","159","195","150","88","9","0","856","856","9","26","35","26","40","112","218","199","167","21","3"
"충청북도 보은군 삼승면(4372035000)","2,311","2,311","59","143","155","161","193","400","516","389","272","22","1","1,180","1,180","29","80","100","108","118","222","258","166","96","3","0","1,131","1,131","30","63","55","53","75","178","258","223","176","19","1"
"충청북도 보은군 수한면(4372036000)","1,935","1,935","50","92","106","104","164","341","494","302","231","50","1","966","966","27","44","58","62","95","192","270","138","77","3","0","969","969","23","48","48","42","69","149","224","164","154","47","1"
"충청북도 보은군 회남면(4372037000)","759","759","23","24","27","25","57","140","227","140","83","13","0","407","407","14","14","14","11","35","87","124","76","32","0","0","352","352","9","10","13","14","22","53","103","64","51","13","0"
"충청북도 보은군 회인면(4372038500)","1,769","1,769","53","68","89","60","123","340","440","313","240","42","1","882","882","28","35","58","30","87","193","224","144","75","8","0","887","887","25","33","31","30","36","147","216","169","165","34","1"
"충청북도 보은군 내북면(4372039000)","1,710","1,710","34","69","106","82","113","350","398","295","214","48","1","877","877","17","40","64","45","69","208","218","127","74","15","0","833","833","17","29","42","37","44","142","180","168","140","33","1"
"충청북도 보은군 산외면(4372040000)","1,796","1,796","39","77","101","87","153","369","434","274","218","42","2","953","953","26","42","67","55","81","213","247","141","70","11","0","843","843","13","35","34","32","72","156","187","133","148","31","2"
