"ÇàÁ¤±¸¿ª","2020³â01¿ù_°è_ÃÑÀÎ±¸¼ö","2020³â01¿ù_°è_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â01¿ù_°è_0~9¼¼","2020³â01¿ù_°è_10~19¼¼","2020³â01¿ù_°è_20~29¼¼","2020³â01¿ù_°è_30~39¼¼","2020³â01¿ù_°è_40~49¼¼","2020³â01¿ù_°è_50~59¼¼","2020³â01¿ù_°è_60~69¼¼","2020³â01¿ù_°è_70~79¼¼","2020³â01¿ù_°è_80~89¼¼","2020³â01¿ù_°è_90~99¼¼","2020³â01¿ù_°è_100¼¼ ÀÌ»ó","2020³â01¿ù_³²_ÃÑÀÎ±¸¼ö","2020³â01¿ù_³²_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â01¿ù_³²_0~9¼¼","2020³â01¿ù_³²_10~19¼¼","2020³â01¿ù_³²_20~29¼¼","2020³â01¿ù_³²_30~39¼¼","2020³â01¿ù_³²_40~49¼¼","2020³â01¿ù_³²_50~59¼¼","2020³â01¿ù_³²_60~69¼¼","2020³â01¿ù_³²_70~79¼¼","2020³â01¿ù_³²_80~89¼¼","2020³â01¿ù_³²_90~99¼¼","2020³â01¿ù_³²_100¼¼ ÀÌ»ó","2020³â01¿ù_¿©_ÃÑÀÎ±¸¼ö","2020³â01¿ù_¿©_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â01¿ù_¿©_0~9¼¼","2020³â01¿ù_¿©_10~19¼¼","2020³â01¿ù_¿©_20~29¼¼","2020³â01¿ù_¿©_30~39¼¼","2020³â01¿ù_¿©_40~49¼¼","2020³â01¿ù_¿©_50~59¼¼","2020³â01¿ù_¿©_60~69¼¼","2020³â01¿ù_¿©_70~79¼¼","2020³â01¿ù_¿©_80~89¼¼","2020³â01¿ù_¿©_90~99¼¼","2020³â01¿ù_¿©_100¼¼ ÀÌ»ó"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ (2917000000)","433,147","433,147","34,954","44,950","62,838","57,274","68,580","72,762","50,222","28,443","11,432","1,579","113","215,098","215,098","17,868","23,807","33,117","29,602","34,337","35,429","24,012","12,623","3,960","330","13","218,049","218,049","17,086","21,143","29,721","27,672","34,243","37,333","26,210","15,820","7,472","1,249","100"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï1µ¿(2917051000)","5,031","5,031","222","211","1,023","935","617","733","660","431","173","20","6","2,595","2,595","105","116","459","525","367","402","348","196","68","7","2","2,436","2,436","117","95","564","410","250","331","312","235","105","13","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï2µ¿(2917052000)","7,002","7,002","316","508","1,324","815","943","1,005","999","736","312","40","4","3,561","3,561","160","258","698","464","509","507","479","324","147","14","1","3,441","3,441","156","250","626","351","434","498","520","412","165","26","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï3µ¿(2917053000)","4,971","4,971","271","320","858","724","689","767","666","485","172","14","5","2,637","2,637","137","180","470","433","402","410","313","211","77","4","0","2,334","2,334","134","140","388","291","287","357","353","274","95","10","5"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Áß¾Óµ¿(2917055500)","3,351","3,351","99","128","495","431","428","604","587","379","159","38","3","1,793","1,793","54","68","227","265","270","342","318","178","60","10","1","1,558","1,558","45","60","268","166","158","262","269","201","99","28","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÀÓµ¿(2917057000)","8,263","8,263","614","592","970","1,228","1,182","1,317","1,175","872","267","42","4","4,081","4,081","313","313","509","616","622","643","532","413","108","12","0","4,182","4,182","301","279","461","612","560","674","643","459","159","30","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ½Å¾Èµ¿(2917058000)","10,909","10,909","376","675","2,027","1,509","1,487","1,814","1,526","1,028","408","53","6","5,710","5,710","194","341","1,045","870","904","965","740","480","162","9","0","5,199","5,199","182","334","982","639","583","849","786","548","246","44","6"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ëºÀµ¿(2917059000)","38,595","38,595","2,775","4,016","7,005","4,859","5,738","6,776","4,237","2,268","814","101","6","19,231","19,231","1,421","2,142","3,680","2,573","2,819","3,213","2,011","1,044","303","25","0","19,364","19,364","1,354","1,874","3,325","2,286","2,919","3,563","2,226","1,224","511","76","6"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï1µ¿(2917060100)","20,078","20,078","1,907","2,357","2,701","2,535","3,147","3,251","2,547","1,177","389","64","3","9,661","9,661","960","1,203","1,373","1,205","1,448","1,535","1,191","580","156","10","0","10,417","10,417","947","1,154","1,328","1,330","1,699","1,716","1,356","597","233","54","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï2µ¿(2917060200)","12,807","12,807","635","1,045","1,864","1,490","1,793","2,275","1,988","1,215","447","52","3","6,463","6,463","304","532","980","844","936","1,151","942","568","194","12","0","6,344","6,344","331","513","884","646","857","1,124","1,046","647","253","40","3"
