"ÇàÁ¤±¸¿ª","2021³â01¿ù_°è_ÃÑÀÎ±¸¼ö","2021³â01¿ù_°è_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â01¿ù_°è_0~9¼¼","2021³â01¿ù_°è_10~19¼¼","2021³â01¿ù_°è_20~29¼¼","2021³â01¿ù_°è_30~39¼¼","2021³â01¿ù_°è_40~49¼¼","2021³â01¿ù_°è_50~59¼¼","2021³â01¿ù_°è_60~69¼¼","2021³â01¿ù_°è_70~79¼¼","2021³â01¿ù_°è_80~89¼¼","2021³â01¿ù_°è_90~99¼¼","2021³â01¿ù_°è_100¼¼ ÀÌ»ó","2021³â01¿ù_³²_ÃÑÀÎ±¸¼ö","2021³â01¿ù_³²_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â01¿ù_³²_0~9¼¼","2021³â01¿ù_³²_10~19¼¼","2021³â01¿ù_³²_20~29¼¼","2021³â01¿ù_³²_30~39¼¼","2021³â01¿ù_³²_40~49¼¼","2021³â01¿ù_³²_50~59¼¼","2021³â01¿ù_³²_60~69¼¼","2021³â01¿ù_³²_70~79¼¼","2021³â01¿ù_³²_80~89¼¼","2021³â01¿ù_³²_90~99¼¼","2021³â01¿ù_³²_100¼¼ ÀÌ»ó","2021³â01¿ù_¿©_ÃÑÀÎ±¸¼ö","2021³â01¿ù_¿©_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â01¿ù_¿©_0~9¼¼","2021³â01¿ù_¿©_10~19¼¼","2021³â01¿ù_¿©_20~29¼¼","2021³â01¿ù_¿©_30~39¼¼","2021³â01¿ù_¿©_40~49¼¼","2021³â01¿ù_¿©_50~59¼¼","2021³â01¿ù_¿©_60~69¼¼","2021³â01¿ù_¿©_70~79¼¼","2021³â01¿ù_¿©_80~89¼¼","2021³â01¿ù_¿©_90~99¼¼","2021³â01¿ù_¿©_100¼¼ ÀÌ»ó"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ (2917000000)","430,516","430,516","33,347","42,829","62,360","55,559","67,434","71,885","53,606","29,527","12,107","1,740","122","213,745","213,745","17,014","22,568","32,900","28,855","33,830","35,182","25,534","13,230","4,269","352","11","216,771","216,771","16,333","20,261","29,460","26,704","33,604","36,703","28,072","16,297","7,838","1,388","111"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï1µ¿(2917051000)","5,036","5,036","227","198","961","979","619","693","695","457","179","22","6","2,612","2,612","107","109","427","535","376","391","373","212","73","7","2","2,424","2,424","120","89","534","444","243","302","322","245","106","15","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï2µ¿(2917052000)","6,857","6,857","270","468","1,356","779","890","972","1,002","743","332","42","3","3,486","3,486","140","227","700","452","473","503","495","328","151","16","1","3,371","3,371","130","241","656","327","417","469","507","415","181","26","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï3µ¿(2917053000)","4,910","4,910","263","306","914","715","730","680","637","461","183","15","6","2,575","2,575","140","169","475","416","427","371","306","193","74","4","0","2,335","2,335","123","137","439","299","303","309","331","268","109","11","6"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Áß¾Óµ¿(2917055500)","3,267","3,267","83","118","512","410","399","571","579","388","162","40","5","1,740","1,740","45","54","246","252","247","334","303","183","65","10","1","1,527","1,527","38","64","266","158","152","237","276","205","97","30","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÀÓµ¿(2917057000)","7,883","7,883","544","560","910","1,106","1,157","1,238","1,164","872","283","43","6","3,909","3,909","288","293","463","557","619","635","514","406","126","8","0","3,974","3,974","256","267","447","549","538","603","650","466","157","35","6"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ½Å¾Èµ¿(2917058000)","11,854","11,854","444","683","2,226","1,723","1,586","1,908","1,666","1,104","449","57","8","6,197","6,197","223","350","1,129","1,002","933","1,037","823","503","186","11","0","5,657","5,657","221","333","1,097","721","653","871","843","601","263","46","8"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ëºÀµ¿(2917059000)","38,522","38,522","2,646","3,791","7,214","4,717","5,612","6,695","4,503","2,379","851","111","3","19,230","19,230","1,343","2,032","3,812","2,510","2,793","3,177","2,136","1,089","312","26","0","19,292","19,292","1,303","1,759","3,402","2,207","2,819","3,518","2,367","1,290","539","85","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï1µ¿(2917060100)","19,495","19,495","1,755","2,276","2,551","2,281","3,104","3,111","2,664","1,273","411","65","4","9,387","9,387","880","1,159","1,323","1,078","1,415","1,461","1,249","638","170","14","0","10,108","10,108","875","1,117","1,228","1,203","1,689","1,650","1,415","635","241","51","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï2µ¿(2917060200)","12,358","12,358","563","930","1,771","1,372","1,658","2,174","2,094","1,244","500","49","3","6,223","6,223","253","473","942","782","882","1,115","967","592","208","9","0","6,135","6,135","310","457","829","590","776","1,059","1,127","652","292","40","3"
