"ÇàÁ¤±¸¿ª","2020³â02¿ù_°è_ÃÑÀÎ±¸¼ö","2020³â02¿ù_°è_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â02¿ù_°è_0~9¼¼","2020³â02¿ù_°è_10~19¼¼","2020³â02¿ù_°è_20~29¼¼","2020³â02¿ù_°è_30~39¼¼","2020³â02¿ù_°è_40~49¼¼","2020³â02¿ù_°è_50~59¼¼","2020³â02¿ù_°è_60~69¼¼","2020³â02¿ù_°è_70~79¼¼","2020³â02¿ù_°è_80~89¼¼","2020³â02¿ù_°è_90~99¼¼","2020³â02¿ù_°è_100¼¼ ÀÌ»ó","2020³â02¿ù_³²_ÃÑÀÎ±¸¼ö","2020³â02¿ù_³²_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â02¿ù_³²_0~9¼¼","2020³â02¿ù_³²_10~19¼¼","2020³â02¿ù_³²_20~29¼¼","2020³â02¿ù_³²_30~39¼¼","2020³â02¿ù_³²_40~49¼¼","2020³â02¿ù_³²_50~59¼¼","2020³â02¿ù_³²_60~69¼¼","2020³â02¿ù_³²_70~79¼¼","2020³â02¿ù_³²_80~89¼¼","2020³â02¿ù_³²_90~99¼¼","2020³â02¿ù_³²_100¼¼ ÀÌ»ó","2020³â02¿ù_¿©_ÃÑÀÎ±¸¼ö","2020³â02¿ù_¿©_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â02¿ù_¿©_0~9¼¼","2020³â02¿ù_¿©_10~19¼¼","2020³â02¿ù_¿©_20~29¼¼","2020³â02¿ù_¿©_30~39¼¼","2020³â02¿ù_¿©_40~49¼¼","2020³â02¿ù_¿©_50~59¼¼","2020³â02¿ù_¿©_60~69¼¼","2020³â02¿ù_¿©_70~79¼¼","2020³â02¿ù_¿©_80~89¼¼","2020³â02¿ù_¿©_90~99¼¼","2020³â02¿ù_¿©_100¼¼ ÀÌ»ó"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ (2917000000)","432,872","432,872","34,796","44,677","62,636","57,141","68,666","72,734","50,529","28,472","11,498","1,609","114","214,985","214,985","17,795","23,685","32,997","29,612","34,352","35,426","24,127","12,657","3,984","337","13","217,887","217,887","17,001","20,992","29,639","27,529","34,314","37,308","26,402","15,815","7,514","1,272","101"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï1µ¿(2917051000)","5,060","5,060","219","207","1,020","958","627","725","670","435","172","21","6","2,608","2,608","103","116","451","536","375","401","354","196","67","7","2","2,452","2,452","116","91","569","422","252","324","316","239","105","14","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï2µ¿(2917052000)","6,992","6,992","303","501","1,326","809","940","1,017","998","737","317","40","4","3,567","3,567","154","254","696","472","503","515","484","323","150","15","1","3,425","3,425","149","247","630","337","437","502","514","414","167","25","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï3µ¿(2917053000)","4,967","4,967","277","308","857","727","688","759","671","485","176","14","5","2,623","2,623","139","175","464","433","398","409","314","210","77","4","0","2,344","2,344","138","133","393","294","290","350","357","275","99","10","5"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Áß¾Óµ¿(2917055500)","3,339","3,339","97","128","500","425","421","600","586","381","160","37","4","1,789","1,789","55","69","230","260","266","341","314","181","62","10","1","1,550","1,550","42","59","270","165","155","259","272","200","98","27","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÀÓµ¿(2917057000)","8,222","8,222","611","580","958","1,232","1,174","1,310","1,180","867","263","43","4","4,058","4,058","309","310","506","618","617","642","529","408","107","12","0","4,164","4,164","302","270","452","614","557","668","651","459","156","31","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ½Å¾Èµ¿(2917058000)","11,444","11,444","439","721","2,084","1,648","1,576","1,888","1,563","1,048","416","55","6","5,976","5,976","229","363","1,085","940","939","1,003","757","488","163","9","0","5,468","5,468","210","358","999","708","637","885","806","560","253","46","6"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ëºÀµ¿(2917059000)","38,499","38,499","2,754","4,007","6,988","4,810","5,745","6,757","4,250","2,269","811","103","5","19,208","19,208","1,411","2,131","3,682","2,559","2,828","3,208","2,015","1,051","297","26","0","19,291","19,291","1,343","1,876","3,306","2,251","2,917","3,549","2,235","1,218","514","77","5"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï1µ¿(2917060100)","19,959","19,959","1,891","2,325","2,690","2,497","3,146","3,224","2,546","1,181","392","64","3","9,619","9,619","957","1,192","1,369","1,189","1,448","1,526","1,185","585","158","10","0","10,340","10,340","934","1,133","1,321","1,308","1,698","1,698","1,361","596","234","54","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï2µ¿(2917060200)","12,810","12,810","642","1,045","1,854","1,471","1,810","2,256","2,000","1,223","451","55","3","6,465","6,465","310","530","975","831","947","1,148","944","574","194","12","0","6,345","6,345","332","515","879","640","863","1,108","1,056","649","257","43","3"
