"행정구역","2020년02월_계_총인구수","2020년02월_계_연령구간인구수","2020년02월_계_0~9세","2020년02월_계_10~19세","2020년02월_계_20~29세","2020년02월_계_30~39세","2020년02월_계_40~49세","2020년02월_계_50~59세","2020년02월_계_60~69세","2020년02월_계_70~79세","2020년02월_계_80~89세","2020년02월_계_90~99세","2020년02월_계_100세 이상","2020년02월_남_총인구수","2020년02월_남_연령구간인구수","2020년02월_남_0~9세","2020년02월_남_10~19세","2020년02월_남_20~29세","2020년02월_남_30~39세","2020년02월_남_40~49세","2020년02월_남_50~59세","2020년02월_남_60~69세","2020년02월_남_70~79세","2020년02월_남_80~89세","2020년02월_남_90~99세","2020년02월_남_100세 이상","2020년02월_여_총인구수","2020년02월_여_연령구간인구수","2020년02월_여_0~9세","2020년02월_여_10~19세","2020년02월_여_20~29세","2020년02월_여_30~39세","2020년02월_여_40~49세","2020년02월_여_50~59세","2020년02월_여_60~69세","2020년02월_여_70~79세","2020년02월_여_80~89세","2020년02월_여_90~99세","2020년02월_여_100세 이상"
"광주광역시 남구 (2915500000)","217,993","217,993","18,250","23,448","28,552","26,951","34,520","33,852","27,184","17,051","7,004","1,083","98","104,972","104,972","9,308","11,823","14,676","13,359","16,921","15,974","12,508","7,647","2,496","247","13","113,021","113,021","8,942","11,625","13,876","13,592","17,599","17,878","14,676","9,404","4,508","836","85"
"광주광역시 남구 양림동(2915551000)","7,540","7,540","565","759","856","749","1,147","1,159","1,047","855","342","50","11","3,476","3,476","294","364","435","364","563","518","427","363","125","20","3","4,064","4,064","271","395","421","385","584","641","620","492","217","30","8"
"광주광역시 남구 방림1동(2915552000)","7,212","7,212","583","693","895","936","1,149","1,041","936","700","241","31","7","3,436","3,436","308","339","458","447","578","489","409","306","92","8","2","3,776","3,776","275","354","437","489","571","552","527","394","149","23","5"
"광주광역시 남구 방림2동(2915553000)","9,347","9,347","529","816","1,262","993","1,288","1,566","1,380","1,028","408","68","9","4,431","4,431","272","422","649","513","646","718","604","444","150","13","0","4,916","4,916","257","394","613","480","642","848","776","584","258","55","9"
"광주광역시 남구 봉선1동(2915553700)","14,970","14,970","988","1,491","2,134","1,728","2,370","2,437","1,927","1,187","612","92","4","7,087","7,087","519","754","1,109","863","1,126","1,124","869","497","205","20","1","7,883","7,883","469","737","1,025","865","1,244","1,313","1,058","690","407","72","3"
"광주광역시 남구 봉선2동(2915553800)","29,712","29,712","3,099","5,000","3,520","3,098","5,614","4,373","2,802","1,418","658","126","4","13,947","13,947","1,536","2,572","1,789","1,365","2,497","2,022","1,289","614","230","33","0","15,765","15,765","1,563","2,428","1,731","1,733","3,117","2,351","1,513","804","428","93","4"
"광주광역시 남구 사직동(2915554500)","5,566","5,566","321","302","657","704","781","928","847","722","260","30","14","2,841","2,841","154","167","343","388","449","497","401","329","103","7","3","2,725","2,725","167","135","314","316","332","431","446","393","157","23","11"
"광주광역시 남구 월산동(2915560500)","7,854","7,854","389","453","936","881","1,057","1,330","1,243","1,080","412","67","6","4,027","4,027","193","243","529","484","625","724","581","487","146","15","0","3,827","3,827","196","210","407","397","432","606","662","593","266","52","6"
"광주광역시 남구 월산4동(2915563000)","9,112","9,112","411","672","1,243","1,130","1,258","1,607","1,485","925","333","47","1","4,658","4,658","218","362","665","640","702","799","708","437","114","13","0","4,454","4,454","193","310","578","490","556","808","777","488","219","34","1"
"광주광역시 남구 월산5동(2915564000)","6,766","6,766","282","396","976","803","875","1,296","1,157","689","252","35","5","3,391","3,391","143","210","524","458","481","614","555","320","79","6","1","3,375","3,375","139","186","452","345","394","682","602","369","173","29","4"
"광주광역시 남구 백운1동(2915567000)","12,830","12,830","1,126","1,170","1,568","1,681","1,954","1,956","1,790","1,069","443","71","2","6,076","6,076","570","566","810","825","957","889","800","465","172","22","0","6,754","6,754","556","604","758","856","997","1,067","990","604","271","49","2"
"광주광역시 남구 백운2동(2915568000)","6,222","6,222","425","420","948","865","863","939","868","623","237","25","9","3,074","3,074","222","210","444","441","496","468","386","299","97","9","2","3,148","3,148","203","210","504","424","367","471","482","324","140","16","7"
"광주광역시 남구 주월1동(2915569000)","19,985","19,985","1,485","2,141","2,862","2,387","3,165","3,374","2,546","1,439","510","71","5","9,726","9,726","766","1,109","1,476","1,203","1,525","1,588","1,215","649","184","11","0","10,259","10,259","719","1,032","1,386","1,184","1,640","1,786","1,331","790","326","60","5"
"광주광역시 남구 주월2동(2915570000)","8,643","8,643","556","664","1,188","980","1,193","1,504","1,372","854","288","38","6","4,306","4,306","273","346","643","538","601","713","652","412","117","11","0","4,337","4,337","283","318","545","442","592","791","720","442","171","27","6"
"광주광역시 남구 효덕동(2915571000)","47,163","47,163","4,226","6,162","6,741","5,791","7,865","6,947","5,093","2,948","1,205","177","8","22,274","22,274","2,137","2,992","3,345","2,744","3,699","3,162","2,342","1,359","452","42","0","24,889","24,889","2,089","3,170","3,396","3,047","4,166","3,785","2,751","1,589","753","135","8"
"광주광역시 남구 송암동(2915572000)","19,388","19,388","2,959","1,963","2,249","3,774","3,235","2,478","1,640","710","301","77","2","9,421","9,421","1,546","993","1,152","1,843","1,576","1,157","735","326","85","8","0","9,967","9,967","1,413","970","1,097","1,931","1,659","1,321","905","384","216","69","2"
"광주광역시 남구 대촌동(2915573000)","5,683","5,683","306","346","517","451","706","917","1,051","804","502","78","5","2,801","2,801","157","174","305","243","400","492","535","340","145","9","1","2,882","2,882","149","172","212","208","306","425","516","464","357","69","4"
