"ÇàÁ¤±¸¿ª","2021³â12¿ù_°è_ÃÑÀÎ±¸¼ö","2021³â12¿ù_°è_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â12¿ù_°è_0~9¼¼","2021³â12¿ù_°è_10~19¼¼","2021³â12¿ù_°è_20~29¼¼","2021³â12¿ù_°è_30~39¼¼","2021³â12¿ù_°è_40~49¼¼","2021³â12¿ù_°è_50~59¼¼","2021³â12¿ù_°è_60~69¼¼","2021³â12¿ù_°è_70~79¼¼","2021³â12¿ù_°è_80~89¼¼","2021³â12¿ù_°è_90~99¼¼","2021³â12¿ù_°è_100¼¼ ÀÌ»ó","2021³â12¿ù_³²_ÃÑÀÎ±¸¼ö","2021³â12¿ù_³²_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â12¿ù_³²_0~9¼¼","2021³â12¿ù_³²_10~19¼¼","2021³â12¿ù_³²_20~29¼¼","2021³â12¿ù_³²_30~39¼¼","2021³â12¿ù_³²_40~49¼¼","2021³â12¿ù_³²_50~59¼¼","2021³â12¿ù_³²_60~69¼¼","2021³â12¿ù_³²_70~79¼¼","2021³â12¿ù_³²_80~89¼¼","2021³â12¿ù_³²_90~99¼¼","2021³â12¿ù_³²_100¼¼ ÀÌ»ó","2021³â12¿ù_¿©_ÃÑÀÎ±¸¼ö","2021³â12¿ù_¿©_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â12¿ù_¿©_0~9¼¼","2021³â12¿ù_¿©_10~19¼¼","2021³â12¿ù_¿©_20~29¼¼","2021³â12¿ù_¿©_30~39¼¼","2021³â12¿ù_¿©_40~49¼¼","2021³â12¿ù_¿©_50~59¼¼","2021³â12¿ù_¿©_60~69¼¼","2021³â12¿ù_¿©_70~79¼¼","2021³â12¿ù_¿©_80~89¼¼","2021³â12¿ù_¿©_90~99¼¼","2021³â12¿ù_¿©_100¼¼ ÀÌ»ó"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ (2917000000)","427,114","427,114","31,994","41,359","61,142","54,563","65,746","71,348","56,057","30,050","12,971","1,827","57","211,999","211,999","16,375","21,770","32,157","28,456","33,096","34,959","26,636","13,488","4,671","385","6","215,115","215,115","15,619","19,589","28,985","26,107","32,650","36,389","29,421","16,562","8,300","1,442","51"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï1µ¿(2917051000)","4,784","4,784","218","156","863","953","625","635","671","448","194","19","2","2,478","2,478","100","89","383","501","389","360","358","210","80","7","1","2,306","2,306","118","67","480","452","236","275","313","238","114","12","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï2µ¿(2917052000)","6,867","6,867","266","466","1,411","776","852","976","969","773","337","41","0","3,506","3,506","142","231","717","458","451","520","473","347","151","16","0","3,361","3,361","124","235","694","318","401","456","496","426","186","25","0"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï3µ¿(2917053000)","4,809","4,809","246","291","908","687","725","642","628","468","193","20","1","2,535","2,535","126","154","468","410","419","366","303","200","81","8","0","2,274","2,274","120","137","440","277","306","276","325","268","112","12","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Áß¾Óµ¿(2917055500)","3,085","3,085","69","107","472","402","376","514","578","360","166","38","3","1,661","1,661","42","52","219","244","236","304","312","175","67","10","0","1,424","1,424","27","55","253","158","140","210","266","185","99","28","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÀÓµ¿(2917057000)","9,157","9,157","704","592","1,213","1,402","1,295","1,369","1,324","885","326","46","1","4,519","4,519","371","305","602","720","696","682","589","402","146","6","0","4,638","4,638","333","287","611","682","599","687","735","483","180","40","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ½Å¾Èµ¿(2917058000)","12,379","12,379","503","675","2,332","1,974","1,567","1,954","1,758","1,082","489","43","2","6,515","6,515","260","359","1,191","1,145","922","1,064","876","490","198","10","0","5,864","5,864","243","316","1,141","829","645","890","882","592","291","33","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ëºÀµ¿(2917059000)","38,542","38,542","2,570","3,626","7,230","4,797","5,450","6,664","4,739","2,402","948","113","3","19,207","19,207","1,283","1,908","3,842","2,568","2,734","3,141","2,249","1,094","357","31","0","19,335","19,335","1,287","1,718","3,388","2,229","2,716","3,523","2,490","1,308","591","82","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï1µ¿(2917060100)","19,356","19,356","1,676","2,237","2,464","2,207","3,100","3,057","2,779","1,338","441","56","1","9,364","9,364","862","1,153","1,271","1,065","1,425","1,430","1,293","666","186","13","0","9,992","9,992","814","1,084","1,193","1,142","1,675","1,627","1,486","672","255","43","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï2µ¿(2917060200)","12,033","12,033","501","868","1,687","1,302","1,614","2,060","2,107","1,297","532","63","2","6,063","6,063","233","428","893","743","847","1,073","990","612","229","15","0","5,970","5,970","268","440","794","559","767","987","1,117","685","303","48","2"
