"ÇàÁ¤±¸¿ª","2021³â06¿ù_°è_ÃÑÀÎ±¸¼ö","2021³â06¿ù_°è_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â06¿ù_°è_0~9¼¼","2021³â06¿ù_°è_10~19¼¼","2021³â06¿ù_°è_20~29¼¼","2021³â06¿ù_°è_30~39¼¼","2021³â06¿ù_°è_40~49¼¼","2021³â06¿ù_°è_50~59¼¼","2021³â06¿ù_°è_60~69¼¼","2021³â06¿ù_°è_70~79¼¼","2021³â06¿ù_°è_80~89¼¼","2021³â06¿ù_°è_90~99¼¼","2021³â06¿ù_°è_100¼¼ ÀÌ»ó","2021³â06¿ù_³²_ÃÑÀÎ±¸¼ö","2021³â06¿ù_³²_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â06¿ù_³²_0~9¼¼","2021³â06¿ù_³²_10~19¼¼","2021³â06¿ù_³²_20~29¼¼","2021³â06¿ù_³²_30~39¼¼","2021³â06¿ù_³²_40~49¼¼","2021³â06¿ù_³²_50~59¼¼","2021³â06¿ù_³²_60~69¼¼","2021³â06¿ù_³²_70~79¼¼","2021³â06¿ù_³²_80~89¼¼","2021³â06¿ù_³²_90~99¼¼","2021³â06¿ù_³²_100¼¼ ÀÌ»ó","2021³â06¿ù_¿©_ÃÑÀÎ±¸¼ö","2021³â06¿ù_¿©_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â06¿ù_¿©_0~9¼¼","2021³â06¿ù_¿©_10~19¼¼","2021³â06¿ù_¿©_20~29¼¼","2021³â06¿ù_¿©_30~39¼¼","2021³â06¿ù_¿©_40~49¼¼","2021³â06¿ù_¿©_50~59¼¼","2021³â06¿ù_¿©_60~69¼¼","2021³â06¿ù_¿©_70~79¼¼","2021³â06¿ù_¿©_80~89¼¼","2021³â06¿ù_¿©_90~99¼¼","2021³â06¿ù_¿©_100¼¼ ÀÌ»ó"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ (2917000000)","427,858","427,858","32,649","42,027","61,693","54,853","66,478","71,237","54,856","29,713","12,511","1,775","66","212,433","212,433","16,716","22,157","32,425","28,609","33,352","34,962","26,059","13,334","4,457","357","5","215,425","215,425","15,933","19,870","29,268","26,244","33,126","36,275","28,797","16,379","8,054","1,418","61"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï1µ¿(2917051000)","4,889","4,889","232","180","926","939","612","656","682","456","184","20","2","2,525","2,525","112","100","402","503","370","380","367","208","74","8","1","2,364","2,364","120","80","524","436","242","276","315","248","110","12","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï2µ¿(2917052000)","6,817","6,817","266","464","1,351","776","859","972","985","765","337","41","1","3,466","3,466","134","232","692","462","452","513","478","339","147","17","0","3,351","3,351","132","232","659","314","407","459","507","426","190","24","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï3µ¿(2917053000)","4,824","4,824","259","293","916","692","708","657","635","457","187","18","2","2,536","2,536","140","158","467","407","404","370","311","199","75","5","0","2,288","2,288","119","135","449","285","304","287","324","258","112","13","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Áß¾Óµ¿(2917055500)","3,145","3,145","81","110","475","407","374","551","564","372","165","41","5","1,668","1,668","44","48","228","242","233","324","298","177","64","9","1","1,477","1,477","37","62","247","165","141","227","266","195","101","32","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÀÓµ¿(2917057000)","7,998","7,998","547","553","1,004","1,133","1,145","1,210","1,198","857","305","44","2","3,946","3,946","291","288","506","566","610","616","531","391","140","7","0","4,052","4,052","256","265","498","567","535","594","667","466","165","37","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ½Å¾Èµ¿(2917058000)","11,972","11,972","446","688","2,253","1,782","1,575","1,893","1,725","1,097","464","45","4","6,294","6,294","220","359","1,160","1,031","936","1,028","862","499","188","11","0","5,678","5,678","226","329","1,093","751","639","865","863","598","276","34","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ëºÀµ¿(2917059000)","38,493","38,493","2,602","3,764","7,182","4,766","5,530","6,655","4,606","2,373","896","117","2","19,188","19,188","1,299","2,004","3,787","2,564","2,771","3,144","2,180","1,082","330","27","0","19,305","19,305","1,303","1,760","3,395","2,202","2,759","3,511","2,426","1,291","566","90","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï1µ¿(2917060100)","19,398","19,398","1,707","2,267","2,509","2,233","3,093","3,078","2,727","1,298","425","60","1","9,372","9,372","877","1,162","1,289","1,072","1,419","1,444","1,270","654","171","14","0","10,026","10,026","830","1,105","1,220","1,161","1,674","1,634","1,457","644","254","46","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï2µ¿(2917060200)","12,096","12,096","535","880","1,709","1,311","1,625","2,103","2,101","1,264","513","52","3","6,088","6,088","244","447","899","754","844","1,093","983","597","216","11","0","6,008","6,008","291","433","810","557","781","1,010","1,118","667","297","41","3"
