"행정구역","2020년11월_계_총인구수","2020년11월_계_연령구간인구수","2020년11월_계_0~9세","2020년11월_계_10~19세","2020년11월_계_20~29세","2020년11월_계_30~39세","2020년11월_계_40~49세","2020년11월_계_50~59세","2020년11월_계_60~69세","2020년11월_계_70~79세","2020년11월_계_80~89세","2020년11월_계_90~99세","2020년11월_계_100세 이상","2020년11월_남_총인구수","2020년11월_남_연령구간인구수","2020년11월_남_0~9세","2020년11월_남_10~19세","2020년11월_남_20~29세","2020년11월_남_30~39세","2020년11월_남_40~49세","2020년11월_남_50~59세","2020년11월_남_60~69세","2020년11월_남_70~79세","2020년11월_남_80~89세","2020년11월_남_90~99세","2020년11월_남_100세 이상","2020년11월_여_총인구수","2020년11월_여_연령구간인구수","2020년11월_여_0~9세","2020년11월_여_10~19세","2020년11월_여_20~29세","2020년11월_여_30~39세","2020년11월_여_40~49세","2020년11월_여_50~59세","2020년11월_여_60~69세","2020년11월_여_70~79세","2020년11월_여_80~89세","2020년11월_여_90~99세","2020년11월_여_100세 이상"
"충청남도 홍성군 (4480000000)","99,890","99,890","7,770","9,615","9,635","10,503","14,462","15,930","14,622","10,061","6,356","875","61","49,665","49,665","4,037","4,911","5,298","5,457","7,545","8,315","7,175","4,463","2,222","223","19","50,225","50,225","3,733","4,704","4,337","5,046","6,917","7,615","7,447","5,598","4,134","652","42"
"충청남도 홍성군 홍성읍(4480025000)","38,213","38,213","2,503","4,355","4,847","3,607","6,101","6,801","5,104","3,082","1,575","220","18","18,934","18,934","1,280","2,223","2,669","1,887","2,990","3,473","2,434","1,362","549","60","7","19,279","19,279","1,223","2,132","2,178","1,720","3,111","3,328","2,670","1,720","1,026","160","11"
"충청남도 홍성군 광천읍(4480025300)","8,493","8,493","282","461","594","476","811","1,469","1,843","1,572","844","120","21","4,160","4,160","148","250","356","272","475","751","880","685","299","38","6","4,333","4,333","134","211","238","204","336","718","963","887","545","82","15"
"충청남도 홍성군 홍북읍(4480025600)","28,707","28,707","4,385","3,723","2,731","5,140","5,440","3,444","2,074","1,061","627","80","2","14,375","14,375","2,287","1,903","1,368","2,532","2,759","1,811","1,003","490","207","15","0","14,332","14,332","2,098","1,820","1,363","2,608","2,681","1,633","1,071","571","420","65","2"
"충청남도 홍성군 금마면(4480032000)","3,501","3,501","98","131","227","215","318","652","780","583","434","62","1","1,773","1,773","54","73","135","134","194","361","403","253","149","16","1","1,728","1,728","44","58","92","81","124","291","377","330","285","46","0"
"충청남도 홍성군 홍동면(4480033000)","3,448","3,448","129","224","234","187","367","585","706","542","427","45","2","1,737","1,737","73","113","160","105","203","315","366","249","145","8","0","1,711","1,711","56","111","74","82","164","270","340","293","282","37","2"
"충청남도 홍성군 장곡면(4480034000)","2,922","2,922","76","113","148","143","231","466","625","576","492","50","2","1,407","1,407","40","57","86","85","148","257","304","243","174","12","1","1,515","1,515","36","56","62","58","83","209","321","333","318","38","1"
"충청남도 홍성군 은하면(4480035000)","2,300","2,300","40","70","123","96","164","380","544","458","355","69","1","1,162","1,162","21","35","81","65","105","215","278","216","128","18","0","1,138","1,138","19","35","42","31","59","165","266","242","227","51","1"
"충청남도 홍성군 결성면(4480036000)","2,110","2,110","23","64","117","96","129","367","522","422","324","46","0","1,031","1,031","10","26","79","64","87","189","257","188","124","7","0","1,079","1,079","13","38","38","32","42","178","265","234","200","39","0"
"충청남도 홍성군 서부면(4480037000)","3,242","3,242","76","147","201","148","288","553","782","594","386","60","7","1,592","1,592","35","64","120","86","193","283","393","265","137","14","2","1,650","1,650","41","83","81","62","95","270","389","329","249","46","5"
"충청남도 홍성군 갈산면(4480038000)","3,506","3,506","73","144","195","201","271","575","847","616","504","75","5","1,757","1,757","43","76","116","126","180","310","436","258","186","24","2","1,749","1,749","30","68","79","75","91","265","411","358","318","51","3"
"충청남도 홍성군 구항면(4480039000)","3,448","3,448","85","183","218","194","342","638","795","555","388","48","2","1,737","1,737","46","91","128","101","211","350","421","254","124","11","0","1,711","1,711","39","92","90","93","131","288","374","301","264","37","2"
