"ÇàÁ¤±¸¿ª","2020³â09¿ù_°è_ÃÑÀÎ±¸¼ö","2020³â09¿ù_°è_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â09¿ù_°è_0~9¼¼","2020³â09¿ù_°è_10~19¼¼","2020³â09¿ù_°è_20~29¼¼","2020³â09¿ù_°è_30~39¼¼","2020³â09¿ù_°è_40~49¼¼","2020³â09¿ù_°è_50~59¼¼","2020³â09¿ù_°è_60~69¼¼","2020³â09¿ù_°è_70~79¼¼","2020³â09¿ù_°è_80~89¼¼","2020³â09¿ù_°è_90~99¼¼","2020³â09¿ù_°è_100¼¼ ÀÌ»ó","2020³â09¿ù_³²_ÃÑÀÎ±¸¼ö","2020³â09¿ù_³²_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â09¿ù_³²_0~9¼¼","2020³â09¿ù_³²_10~19¼¼","2020³â09¿ù_³²_20~29¼¼","2020³â09¿ù_³²_30~39¼¼","2020³â09¿ù_³²_40~49¼¼","2020³â09¿ù_³²_50~59¼¼","2020³â09¿ù_³²_60~69¼¼","2020³â09¿ù_³²_70~79¼¼","2020³â09¿ù_³²_80~89¼¼","2020³â09¿ù_³²_90~99¼¼","2020³â09¿ù_³²_100¼¼ ÀÌ»ó","2020³â09¿ù_¿©_ÃÑÀÎ±¸¼ö","2020³â09¿ù_¿©_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â09¿ù_¿©_0~9¼¼","2020³â09¿ù_¿©_10~19¼¼","2020³â09¿ù_¿©_20~29¼¼","2020³â09¿ù_¿©_30~39¼¼","2020³â09¿ù_¿©_40~49¼¼","2020³â09¿ù_¿©_50~59¼¼","2020³â09¿ù_¿©_60~69¼¼","2020³â09¿ù_¿©_70~79¼¼","2020³â09¿ù_¿©_80~89¼¼","2020³â09¿ù_¿©_90~99¼¼","2020³â09¿ù_¿©_100¼¼ ÀÌ»ó"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ (2917000000)","432,525","432,525","34,150","43,459","62,934","56,188","68,096","72,210","52,625","29,153","11,910","1,682","118","214,717","214,717","17,420","22,937","33,141","29,197","34,100","35,289","25,088","13,025","4,172","336","12","217,808","217,808","16,730","20,522","29,793","26,991","33,996","36,921","27,537","16,128","7,738","1,346","106"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï1µ¿(2917051000)","5,042","5,042","226","200","996","961","612","702","690","451","174","24","6","2,593","2,593","101","111","440","523","372","394","366","205","73","6","2","2,449","2,449","125","89","556","438","240","308","324","246","101","18","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï2µ¿(2917052000)","6,959","6,959","285","482","1,375","786","918","977","1,024","736","335","38","3","3,552","3,552","144","243","707","466","491","499","505","327","154","15","1","3,407","3,407","141","239","668","320","427","478","519","409","181","23","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï3µ¿(2917053000)","4,998","4,998","269","328","900","723","717","730","653","476","180","16","6","2,616","2,616","142","179","469","416","423","401","306","200","76","4","0","2,382","2,382","127","149","431","307","294","329","347","276","104","12","6"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Áß¾Óµ¿(2917055500)","3,283","3,283","84","126","507","404","419","580","578","384","158","39","4","1,749","1,749","46","60","237","245","264","339","305","177","66","9","1","1,534","1,534","38","66","270","159","155","241","273","207","92","30","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÀÓµ¿(2917057000)","8,062","8,062","574","571","947","1,141","1,184","1,259","1,197","873","268","43","5","3,980","3,980","301","299","486","571","626","631","538","405","114","9","0","4,082","4,082","273","272","461","570","558","628","659","468","154","34","5"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ½Å¾Èµ¿(2917058000)","11,881","11,881","460","728","2,207","1,707","1,613","1,919","1,643","1,093","443","59","9","6,222","6,222","229","376","1,126","999","949","1,042","811","501","177","12","0","5,659","5,659","231","352","1,081","708","664","877","832","592","266","47","9"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ëºÀµ¿(2917059000)","38,136","38,136","2,633","3,843","7,111","4,638","5,633","6,629","4,384","2,323","836","102","4","19,024","19,024","1,351","2,049","3,754","2,476","2,767","3,147","2,073","1,078","308","21","0","19,112","19,112","1,282","1,794","3,357","2,162","2,866","3,482","2,311","1,245","528","81","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï1µ¿(2917060100)","19,654","19,654","1,814","2,282","2,615","2,341","3,153","3,155","2,592","1,231","401","66","4","9,454","9,454","913","1,164","1,344","1,098","1,446","1,489","1,212","611","165","12","0","10,200","10,200","901","1,118","1,271","1,243","1,707","1,666","1,380","620","236","54","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï2µ¿(2917060200)","12,605","12,605","600","961","1,839","1,403","1,730","2,217","2,081","1,245","474","52","3","6,355","6,355","277","491","979","796","911","1,132","970","585","204","10","0","6,250","6,250","323","470","860","607","819","1,085","1,111","660","270","42","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï3µ¿(2917060300)","13,688","13,688","944","1,476","2,068","1,584","1,964","2,482","1,884","857","369","56","4","6,593","6,593","469","795","1,119","805","902","1,115","873","388","118","8","1","7,095","7,095","475","681","949","779","1,062","1,367","1,011","469","251","48","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ µ¿¸²µ¿(2917061500)","23,447","23,447","2,237","2,348","3,089","3,596","3,820","3,813","2,685","1,330","451","76","2","11,590","11,590","1,156","1,260","1,644","1,824","1,931","1,775","1,205","631","145","18","1","11,857","11,857","1,081","1,088","1,445","1,772","1,889","2,038","1,480","699","306","58","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ì»êµ¿(2917062000)","10,801","10,801","418","695","1,368","1,009","1,333","1,866","2,073","1,380","566","80","13","5,252","5,252","214","379","701","556","725","933","948","588","193","12","3","5,549","5,549","204","316","667","453","608","933","1,125","792","373","68","10"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Ç³Çâµ¿(2917063500)","6,064","6,064","552","532","749","838","967","924","755","512","201","32","2","3,013","3,013","279","265","400","435","502","493","338","227","70","4","0","3,051","3,051","273","267","349","403","465","431","417","285","131","28","2"
