"행정구역","2020년01월_계_총인구수","2020년01월_계_연령구간인구수","2020년01월_계_0~9세","2020년01월_계_10~19세","2020년01월_계_20~29세","2020년01월_계_30~39세","2020년01월_계_40~49세","2020년01월_계_50~59세","2020년01월_계_60~69세","2020년01월_계_70~79세","2020년01월_계_80~89세","2020년01월_계_90~99세","2020년01월_계_100세 이상","2020년01월_남_총인구수","2020년01월_남_연령구간인구수","2020년01월_남_0~9세","2020년01월_남_10~19세","2020년01월_남_20~29세","2020년01월_남_30~39세","2020년01월_남_40~49세","2020년01월_남_50~59세","2020년01월_남_60~69세","2020년01월_남_70~79세","2020년01월_남_80~89세","2020년01월_남_90~99세","2020년01월_남_100세 이상","2020년01월_여_총인구수","2020년01월_여_연령구간인구수","2020년01월_여_0~9세","2020년01월_여_10~19세","2020년01월_여_20~29세","2020년01월_여_30~39세","2020년01월_여_40~49세","2020년01월_여_50~59세","2020년01월_여_60~69세","2020년01월_여_70~79세","2020년01월_여_80~89세","2020년01월_여_90~99세","2020년01월_여_100세 이상"
"전라남도 진도군 (4690000000)","30,685","30,685","1,800","2,303","2,488","2,348","3,625","5,183","5,054","4,825","2,712","334","13","15,096","15,096","884","1,193","1,411","1,288","2,102","2,812","2,557","2,020","761","68","0","15,589","15,589","916","1,110","1,077","1,060","1,523","2,371","2,497","2,805","1,951","266","13"
"전라남도 진도군 진도읍(4690025000)","10,547","10,547","894","1,158","1,162","1,084","1,519","1,759","1,358","1,057","493","61","2","5,175","5,175","429","607","660","545","789","868","669","456","141","11","0","5,372","5,372","465","551","502","539","730","891","689","601","352","50","2"
"전라남도 진도군 군내면(4690031000)","3,086","3,086","131","183","205","190","328","534","573","570","334","37","1","1,551","1,551","64","91","126","119","191","318","292","248","94","8","0","1,535","1,535","67","92","79","71","137","216","281","322","240","29","1"
"전라남도 진도군 고군면(4690032000)","3,712","3,712","220","252","280","295","410","606","694","553","356","42","4","1,803","1,803","114","125","145","168","243","324","344","229","100","11","0","1,909","1,909","106","127","135","127","167","282","350","324","256","31","4"
"전라남도 진도군 의신면(4690033000)","3,560","3,560","142","178","233","223","394","637","677","639","385","51","1","1,786","1,786","78","93","125","133","245","359","350","265","127","11","0","1,774","1,774","64","85","108","90","149","278","327","374","258","40","1"
"전라남도 진도군 임회면(4690034000)","3,474","3,474","119","199","235","186","335","632","646","676","383","62","1","1,660","1,660","57","101","127","108","209","340","324","284","100","10","0","1,814","1,814","62","98","108","78","126","292","322","392","283","52","1"
"전라남도 진도군 지산면(4690035000)","3,290","3,290","120","150","218","173","268","542","609","753","404","52","1","1,579","1,579","57","75","135","99","178","302","298","317","105","13","0","1,711","1,711","63","75","83","74","90","240","311","436","299","39","1"
"전라남도 진도군 조도면(4690036000)","2,373","2,373","124","132","120","152","300","372","399","463","288","20","3","1,212","1,212","55","73","71","88","198","233","234","182","77","1","0","1,161","1,161","69","59","49","64","102","139","165","281","211","19","3"
"전라남도 진도군 조도면가사출장소(4690036500)","284","284","20","15","17","20","31","44","40","52","40","5","0","149","149","13","11","9","12","21","30","21","21","10","1","0","135","135","7","4","8","8","10","14","19","31","30","4","0"
"전라남도 진도군 조도면거차출장소(4690036600)","359","359","30","36","18","25","40","57","58","62","29","4","0","181","181","17","17","13","16","28","38","25","18","7","2","0","178","178","13","19","5","9","12","19","33","44","22","2","0"
