"행정구역","2021년10월_계_총인구수","2021년10월_계_연령구간인구수","2021년10월_계_0~9세","2021년10월_계_10~19세","2021년10월_계_20~29세","2021년10월_계_30~39세","2021년10월_계_40~49세","2021년10월_계_50~59세","2021년10월_계_60~69세","2021년10월_계_70~79세","2021년10월_계_80~89세","2021년10월_계_90~99세","2021년10월_계_100세 이상","2021년10월_남_총인구수","2021년10월_남_연령구간인구수","2021년10월_남_0~9세","2021년10월_남_10~19세","2021년10월_남_20~29세","2021년10월_남_30~39세","2021년10월_남_40~49세","2021년10월_남_50~59세","2021년10월_남_60~69세","2021년10월_남_70~79세","2021년10월_남_80~89세","2021년10월_남_90~99세","2021년10월_남_100세 이상","2021년10월_여_총인구수","2021년10월_여_연령구간인구수","2021년10월_여_0~9세","2021년10월_여_10~19세","2021년10월_여_20~29세","2021년10월_여_30~39세","2021년10월_여_40~49세","2021년10월_여_50~59세","2021년10월_여_60~69세","2021년10월_여_70~79세","2021년10월_여_80~89세","2021년10월_여_90~99세","2021년10월_여_100세 이상"
"서울특별시 동작구 (1159000000)","386,246","386,246","23,226","27,055","65,208","61,008","57,327","57,961","50,439","29,617","12,492","1,777","136","186,863","186,863","11,895","13,878","31,477","30,837","28,793","27,927","23,320","13,158","5,079","464","35","199,383","199,383","11,331","13,177","33,731","30,171","28,534","30,034","27,119","16,459","7,413","1,313","101"
"서울특별시 동작구 노량진제1동(1159051000)","32,045","32,045","1,856","1,929","5,552","5,509","4,252","4,683","4,351","2,496","1,243","167","7","16,125","16,125","954","1,007","2,936","3,039","2,256","2,289","2,017","1,100","477","47","3","15,920","15,920","902","922","2,616","2,470","1,996","2,394","2,334","1,396","766","120","4"
"서울특별시 동작구 노량진제2동(1159052000)","11,359","11,359","266","452","2,262","1,905","1,322","1,737","1,807","1,042","480","75","11","5,854","5,854","142","225","1,164","1,106","749","889","885","459","213","18","4","5,505","5,505","124","227","1,098","799","573","848","922","583","267","57","7"
"서울특별시 동작구 상도제1동(1159053000)","44,275","44,275","2,620","3,129","9,634","6,018","6,392","6,324","5,465","3,079","1,378","210","26","21,450","21,450","1,329","1,595","4,891","3,014","3,132","2,977","2,541","1,374","536","56","5","22,825","22,825","1,291","1,534","4,743","3,004","3,260","3,347","2,924","1,705","842","154","21"
"서울특별시 동작구 상도제2동(1159054000)","28,551","28,551","2,490","1,954","4,271","4,834","4,541","4,198","3,368","1,875","867","140","13","13,756","13,756","1,286","995","2,022","2,322","2,313","2,001","1,577","844","356","37","3","14,795","14,795","1,204","959","2,249","2,512","2,228","2,197","1,791","1,031","511","103","10"
"서울특별시 동작구 상도제3동(1159055000)","24,608","24,608","1,112","1,589","4,128","4,058","3,500","3,873","3,321","2,064","861","95","7","11,736","11,736","557","823","1,900","2,090","1,739","1,841","1,513","904","348","19","2","12,872","12,872","555","766","2,228","1,968","1,761","2,032","1,808","1,160","513","76","5"
"서울특별시 동작구 상도제4동(1159056000)","28,657","28,657","1,536","1,841","4,555","4,674","4,258","4,423","3,986","2,300","955","124","5","13,913","13,913","804","982","2,197","2,390","2,179","2,115","1,855","995","356","38","2","14,744","14,744","732","859","2,358","2,284","2,079","2,308","2,131","1,305","599","86","3"
"서울특별시 동작구 흑석동(1159060500)","31,592","31,592","2,250","2,149","4,915","4,315","4,735","5,177","4,150","2,513","1,199","180","9","15,381","15,381","1,144","1,110","2,564","2,120","2,440","2,469","1,945","1,091","451","45","2","16,211","16,211","1,106","1,039","2,351","2,195","2,295","2,708","2,205","1,422","748","135","7"
"서울특별시 동작구 사당제1동(1159062000)","22,884","22,884","757","878","5,227","4,638","2,941","2,977","3,047","1,775","564","76","4","10,897","10,897","400","471","2,252","2,442","1,490","1,405","1,342","809","270","15","1","11,987","11,987","357","407","2,975","2,196","1,451","1,572","1,705","966","294","61","3"
"서울특별시 동작구 사당제2동(1159063000)","27,798","27,798","1,838","1,728","3,656","4,459","4,097","4,363","4,088","2,488","944","131","6","13,348","13,348","929","975","1,735","2,191","2,005","2,102","1,847","1,124","407","32","1","14,450","14,450","909","753","1,921","2,268","2,092","2,261","2,241","1,364","537","99","5"
