"행정구역","2020년04월_계_총인구수","2020년04월_계_연령구간인구수","2020년04월_계_0~9세","2020년04월_계_10~19세","2020년04월_계_20~29세","2020년04월_계_30~39세","2020년04월_계_40~49세","2020년04월_계_50~59세","2020년04월_계_60~69세","2020년04월_계_70~79세","2020년04월_계_80~89세","2020년04월_계_90~99세","2020년04월_계_100세 이상","2020년04월_남_총인구수","2020년04월_남_연령구간인구수","2020년04월_남_0~9세","2020년04월_남_10~19세","2020년04월_남_20~29세","2020년04월_남_30~39세","2020년04월_남_40~49세","2020년04월_남_50~59세","2020년04월_남_60~69세","2020년04월_남_70~79세","2020년04월_남_80~89세","2020년04월_남_90~99세","2020년04월_남_100세 이상","2020년04월_여_총인구수","2020년04월_여_연령구간인구수","2020년04월_여_0~9세","2020년04월_여_10~19세","2020년04월_여_20~29세","2020년04월_여_30~39세","2020년04월_여_40~49세","2020년04월_여_50~59세","2020년04월_여_60~69세","2020년04월_여_70~79세","2020년04월_여_80~89세","2020년04월_여_90~99세","2020년04월_여_100세 이상"
"경기도 여주시 (4167000000)","111,198","111,198","7,636","9,801","12,089","11,782","16,130","20,127","17,544","10,144","5,138","765","42","56,492","56,492","3,934","5,087","6,592","6,141","8,395","10,576","8,919","4,765","1,909","158","16","54,706","54,706","3,702","4,714","5,497","5,641","7,735","9,551","8,625","5,379","3,229","607","26"
"경기도 여주시 가남읍(4167025000)","15,547","15,547","1,074","1,318","1,650","1,854","2,267","2,816","2,421","1,333","706","99","9","8,064","8,064","530","690","924","1,031","1,218","1,506","1,241","635","260","24","5","7,483","7,483","544","628","726","823","1,049","1,310","1,180","698","446","75","4"
"경기도 여주시 점동면(4167031000)","4,623","4,623","180","288","459","297","420","881","999","663","388","47","1","2,409","2,409","109","157","261","168","236","481","511","339","135","11","1","2,214","2,214","71","131","198","129","184","400","488","324","253","36","0"
"경기도 여주시 흥천면(4167032000)","5,022","5,022","182","287","427","362","511","987","1,113","704","383","65","1","2,614","2,614","99","157","238","212","289","527","580","345","153","14","0","2,408","2,408","83","130","189","150","222","460","533","359","230","51","1"
"경기도 여주시 금사면(4167033000)","2,969","2,969","93","140","243","194","283","588","724","451","213","39","1","1,538","1,538","50","68","149","108","159","317","375","223","84","5","0","1,431","1,431","43","72","94","86","124","271","349","228","129","34","1"
"경기도 여주시 능서면(4167034000)","6,415","6,415","296","442","565","512","702","1,222","1,271","848","472","85","0","3,295","3,295","124","237","314","276","414","670","664","419","160","17","0","3,120","3,120","172","205","251","236","288","552","607","429","312","68","0"
"경기도 여주시 대신면(4167035000)","7,118","7,118","232","456","602","469","738","1,384","1,551","1,006","589","87","4","3,684","3,684","124","250","364","264","393","749","824","457","232","25","2","3,434","3,434","108","206","238","205","345","635","727","549","357","62","2"
"경기도 여주시 북내면(4167036000)","4,928","4,928","154","389","411","304","608","998","973","649","385","52","5","2,560","2,560","81","222","232","163","335","570","511","287","143","15","1","2,368","2,368","73","167","179","141","273","428","462","362","242","37","4"
"경기도 여주시 강천면(4167037000)","4,169","4,169","147","260","360","320","495","846","849","540","294","56","2","2,153","2,153","71","139","212","171","276","474","418","271","112","8","1","2,016","2,016","76","121","148","149","219","372","431","269","182","48","1"
"경기도 여주시 산북면(4167038000)","2,563","2,563","118","145","220","197","276","452","575","367","187","24","2","1,271","1,271","51","70","118","105","152","225","289","175","78","7","1","1,292","1,292","67","75","102","92","124","227","286","192","109","17","1"
"경기도 여주시 여흥동(4167051000)","22,019","22,019","1,647","2,062","2,821","2,615","3,574","3,909","3,080","1,540","662","101","8","11,011","11,011","849","1,051","1,489","1,332","1,814","1,972","1,529","709","243","19","4","11,008","11,008","798","1,011","1,332","1,283","1,760","1,937","1,551","831","419","82","4"
"경기도 여주시 중앙동(4167052000)","18,559","18,559","1,441","2,311","2,351","2,028","3,210","3,287","2,232","1,160","473","63","3","9,294","9,294","756","1,207","1,235","1,031","1,565","1,712","1,101","508","170","9","0","9,265","9,265","685","1,104","1,116","997","1,645","1,575","1,131","652","303","54","3"
"경기도 여주시 오학동(4167053000)","17,266","17,266","2,072","1,703","1,980","2,630","3,046","2,757","1,756","883","386","47","6","8,599","8,599","1,090","839","1,056","1,280","1,544","1,373","876","397","139","4","1","8,667","8,667","982","864","924","1,350","1,502","1,384","880","486","247","43","5"
